log_id,n,state_age_count,state_age_median_s,state_age_p95_s
2026.9.6/log_17_2026-9-6-18-34-06.ulg,9289,9289,0.00049,0.000668
2026.9.6/log_18_2026-9-6-18-46-20.ulg,7453,7453,0.000603,0.0008659999999999999
2026.9.6/log_19_2026-9-6-18-52-30.ulg,7953,7953,0.00048199999999999995,0.0006529999999999999
2026.9.6/log_20_2026-9-6-18-58-10.ulg,6315,6315,0.000486,0.000749
2026.9.6/log_24_2026-9-6-06-28-38.ulg,7305,7305,0.0005989999999999999,0.000861
2026.9.6/log_28_2026-9-6-07-01-38.ulg,7881,7881,0.00049,0.000727
9.11数据/log_13_2026-9-11-18-28-08.ulg,4833,0,,
9.11数据/log_14_2026-9-11-18-34-58.ulg,6350,0,,
9.11数据/log_15_2026-9-11-18-40-48.ulg,4616,0,,
9.12数据/log_10_2026-9-12-06-13-40.ulg,8081,0,,
9.12数据/log_11_2026-9-12-06-21-12.ulg,7413,0,,
9.12数据/log_12_2026-9-12-06-29-44.ulg,7190,0,,
9.12数据/log_2_2026-9-12-18-32-54.ulg,7805,0,,
9.12数据/log_3_2026-9-12-18-40-02.ulg,8333,0,,
9.12数据/log_7_2026-9-12-05-49-02.ulg,6756,0,,
9.12数据/log_8_2026-9-12-05-55-30.ulg,8654,0,,
9.12数据/log_9_2026-9-12-06-03-32.ulg,10670,0,,
9.13数据/log_1_2026-9-13-06-11-06.ulg,7329,0,,
9.13数据/log_2_2026-9-13-06-20-06.ulg,7306,0,,
9.13数据/log_3_2026-9-13-06-31-26.ulg,7519,0,,
9.13数据/log_4_2026-9-13-06-36-26.ulg,7239,0,,
9.13数据/log_5_2026-9-13-06-42-40.ulg,7660,0,,
9.13数据/log_7_2026-9-13-18-12-52.ulg,4847,0,,
9.14数据/log_11_2026-9-14-18-13-22.ulg,7770,0,,
9.14数据/log_12_2026-9-14-18-20-30.ulg,7895,0,,
9.14数据/log_13_2026-9-14-18-28-32.ulg,9065,0,,
9.14数据/log_14_2026-9-14-18-34-22.ulg,6148,0,,
9.15数据/log_10_2026-9-15-17-44-04.ulg,6155,0,,
9.15数据/log_11_2026-9-15-17-51-56.ulg,5583,0,,
9.15数据/log_12_2026-9-15-18-03-58.ulg,7253,0,,
9.15数据/log_13_2026-9-15-18-10-58.ulg,7117,0,,
9.15数据/log_14_2026-9-15-18-17-26.ulg,7063,0,,
9.15数据/log_15_2026-9-15-18-23-44.ulg,7241,0,,
9.16数据/log_1_2026-9-16-18-02-34.ulg,6184,0,,
9.16数据/log_2_2026-9-16-18-08-46.ulg,7122,0,,
9.16数据/log_3_2026-9-16-18-13-58.ulg,5429,0,,
9.16数据/log_4_2026-9-16-18-20-50.ulg,7101,0,,
9.16数据/log_5_2026-9-16-18-26-48.ulg,6795,0,,
9.18数据/log_0_2026-9-18-18-15-06.ulg,7635,0,,
9.18数据/log_1_2026-9-18-18-23-36.ulg,7133,0,,
9.18数据/log_2_2026-9-18-18-29-40.ulg,7773,0,,
