log_id,channel,lag_s,n,correlation
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.02,1551,-0.6794798476438868
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,0.08,1486,-0.4015086704659745
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.02,1551,-0.35818589266539097
2026.9.6/log_18_2026-9-6-18-46-20.ulg,common,-0.02,1196,-0.706061829373923
2026.9.6/log_18_2026-9-6-18-46-20.ulg,differential,0.1,1000,-0.22653488817863038
2026.9.6/log_18_2026-9-6-18-46-20.ulg,rudder,0.0,1145,-0.45842057916146706
2026.9.6/log_19_2026-9-6-18-52-30.ulg,common,-0.02,1342,-0.7010827236738973
2026.9.6/log_19_2026-9-6-18-52-30.ulg,differential,0.08,1291,-0.520229436342449
2026.9.6/log_19_2026-9-6-18-52-30.ulg,rudder,-0.04,1512,-0.2645313980754032
2026.9.6/log_20_2026-9-6-18-58-10.ulg,common,-0.02,1044,-0.6764432532620336
2026.9.6/log_20_2026-9-6-18-58-10.ulg,differential,0.08,998,-0.46950939305289097
2026.9.6/log_20_2026-9-6-18-58-10.ulg,rudder,0.0,978,-0.3510228804870091
2026.9.6/log_24_2026-9-6-06-28-38.ulg,common,-0.02,1190,-0.6818995114402945
2026.9.6/log_24_2026-9-6-06-28-38.ulg,differential,0.08,1025,-0.5466646129977234
2026.9.6/log_24_2026-9-6-06-28-38.ulg,rudder,0.0,1130,-0.42612949255611915
2026.9.6/log_28_2026-9-6-07-01-38.ulg,common,-0.02,1262,-0.6261802785311983
2026.9.6/log_28_2026-9-6-07-01-38.ulg,differential,0.08,1220,-0.563279480815348
2026.9.6/log_28_2026-9-6-07-01-38.ulg,rudder,-0.02,1262,-0.354828078300548
9.11数据/log_13_2026-9-11-18-28-08.ulg,common,-0.02,783,-0.6803098398391785
9.11数据/log_13_2026-9-11-18-28-08.ulg,differential,0.08,765,-0.419999708193784
9.11数据/log_13_2026-9-11-18-28-08.ulg,rudder,0.0,755,-0.5812530497833368
9.11数据/log_14_2026-9-11-18-34-58.ulg,common,-0.04,998,-0.7787384952754586
9.11数据/log_14_2026-9-11-18-34-58.ulg,differential,0.06,905,-0.4455050527905853
9.11数据/log_14_2026-9-11-18-34-58.ulg,rudder,0.0,971,-0.6465986156428688
