log_id,channel,lag_s,n,correlation
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.5,1511,-0.0520426987567726
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.5,1511,-0.07793136907329633
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.5,1511,-0.028019207220366313
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.48,1440,0.18144090311266806
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.48,1440,-0.11130679244013074
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.48,1440,0.046531108932144016
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.46,1590,0.335090285141869
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.46,1590,-0.11072086648494932
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.46,1590,0.10191130439412546
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.44,1595,0.3659383053359479
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.44,1595,-0.07609322426192029
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.44,1595,0.11566430264924012
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.42,1455,0.3202187910887284
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.42,1455,-0.06447717466999799
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.42,1455,0.1331159193694825
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.4,1504,0.21083858021933605
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.4,1504,0.034252284027275
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.4,1504,0.10508692438703966
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.38,1615,0.1510321627042298
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.38,1615,0.10815512036104656
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.38,1615,0.071983432732612
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.36,1513,0.019089628012157363
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.36,1513,0.15088459049087335
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.36,1513,0.029444817865152507
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.34,1464,-0.11001209097761191
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.34,1464,0.21190672197540453
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.34,1464,-0.01762812277583905
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.32,1640,-0.3072508008920501
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.32,1640,0.19281680117586755
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.32,1640,-0.03185770887456356
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.3,1589,-0.4218869760349044
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.3,1589,0.14788591961976227
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.3,1589,-0.0829903448416886
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.28,1464,-0.4496031589003746
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.28,1464,0.03286212804537534
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.28,1464,-0.10577256860513778
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.26,1542,-0.29762446087956396
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.26,1542,-0.03268698103316382
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.26,1542,-0.11200711948857164
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.24,1671,0.002821153916996517
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.24,1671,-0.16699400340915252
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.24,1671,-0.04502591788533194
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.22,1499,0.22170131207990557
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.22,1499,-0.21908873170898902
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.22,1499,-0.0041491639684138725
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.2,1482,0.33251218701057195
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.2,1482,-0.262878149386654
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.2,1482,0.0812421771337394
2026.9.6/log_17_2026-9-6-18-34-06.ulg,common,-0.18,1689,0.2822131171598841
2026.9.6/log_17_2026-9-6-18-34-06.ulg,differential,-0.18,1689,-0.26264247445645184
2026.9.6/log_17_2026-9-6-18-34-06.ulg,rudder,-0.18,1689,0.12281847934087327
