log_id,topic,rows,hold_age_median_s,hold_age_p95_s,sample_time_available,publication_minus_sample_median_s,publication_minus_sample_p95_s,negative_publication_steps
2026.9.6/log_17_2026-9-6-18-34-06.ulg,actuator_servos,9289,0.015146,0.020293,9289,0.000126,0.000194,0
2026.9.6/log_17_2026-9-6-18-34-06.ulg,actuator_motors,9289,0.015146,0.020293,9289,0.000126,0.000194,0
2026.9.6/log_17_2026-9-6-18-34-06.ulg,vehicle_angular_velocity,9289,0.005304,0.010287,9289,7.999999999999999e-05,0.000144,0
2026.9.6/log_17_2026-9-6-18-34-06.ulg,vehicle_attitude,9289,0.019575,0.025141,9289,0.000502,0.0007306000000000003,0
2026.9.6/log_17_2026-9-6-18-34-06.ulg,vehicle_local_position,9289,0.0,0.0,9289,0.00049,0.000668,0
2026.9.6/log_18_2026-9-6-18-46-20.ulg,actuator_servos,7453,0.015097999999999999,0.020072,7453,0.000237,0.000265,0
2026.9.6/log_18_2026-9-6-18-46-20.ulg,actuator_motors,7453,0.015097999999999999,0.0200714,7453,0.000237,0.000265,0
2026.9.6/log_18_2026-9-6-18-46-20.ulg,vehicle_angular_velocity,7453,0.0052959999999999995,0.010239,7453,0.000179,0.000188,0
2026.9.6/log_18_2026-9-6-18-46-20.ulg,vehicle_attitude,7453,0.019348,0.0248524,7453,0.0006309999999999999,0.000936,0
2026.9.6/log_18_2026-9-6-18-46-20.ulg,vehicle_local_position,7453,0.0,0.0,7453,0.000603,0.0008659999999999999,0
2026.9.6/log_19_2026-9-6-18-52-30.ulg,actuator_servos,7953,0.015144,0.020293,7953,0.000126,0.000192,0
2026.9.6/log_19_2026-9-6-18-52-30.ulg,actuator_motors,7953,0.015132,0.020293,7953,0.000126,0.000192,0
2026.9.6/log_19_2026-9-6-18-52-30.ulg,vehicle_angular_velocity,7953,0.005307999999999999,0.010327399999999999,7953,7.999999999999999e-05,0.000143,0
2026.9.6/log_19_2026-9-6-18-52-30.ulg,vehicle_attitude,7953,0.019525,0.025136,7953,0.000509,0.0007153999999999996,0
2026.9.6/log_19_2026-9-6-18-52-30.ulg,vehicle_local_position,7953,0.0,0.0,7953,0.00048199999999999995,0.0006529999999999999,0
2026.9.6/log_20_2026-9-6-18-58-10.ulg,actuator_servos,6315,0.013118,0.020287299999999998,6315,0.000126,0.00019229999999999928,0
2026.9.6/log_20_2026-9-6-18-58-10.ulg,actuator_motors,6315,0.013117,0.020287,6315,0.000126,0.000193,0
2026.9.6/log_20_2026-9-6-18-58-10.ulg,vehicle_angular_velocity,6315,0.003284,0.008290599999999976,6315,7.999999999999999e-05,0.000138,0
2026.9.6/log_20_2026-9-6-18-58-10.ulg,vehicle_attitude,6315,0.019462999999999998,0.025136299999999997,6315,0.000493,0.0006749999999999999,0
2026.9.6/log_20_2026-9-6-18-58-10.ulg,vehicle_local_position,6315,0.0,0.0,6315,0.000486,0.000749,0
2026.9.6/log_24_2026-9-6-06-28-38.ulg,actuator_servos,7305,0.015096,0.020064,7305,0.000237,0.000265,0
2026.9.6/log_24_2026-9-6-06-28-38.ulg,actuator_motors,7305,0.015096,0.020064,7305,0.000237,0.000265,0
2026.9.6/log_24_2026-9-6-06-28-38.ulg,vehicle_angular_velocity,7305,0.005293,0.010235,7305,0.000179,0.00018899999999999999,0
2026.9.6/log_24_2026-9-6-06-28-38.ulg,vehicle_attitude,7305,0.019347,0.024841,7305,0.000623,0.0009417999999999991,0
2026.9.6/log_24_2026-9-6-06-28-38.ulg,vehicle_local_position,7305,0.0,0.0,7305,0.0005989999999999999,0.000861,0
2026.9.6/log_28_2026-9-6-07-01-38.ulg,actuator_servos,7881,0.013137,0.02029,7881,0.000126,0.000192,0
