model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows
K25,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.018486400915545823,0.12093876128933549,1.3590294444878475,0.5283660150072576,0.12093876128933549,0.5283660150072576,0.05488326636444003,0.05245692808847347,0.09413969274907116,0.4597430781806876,0.21601202494742514,0.14541579335721652,130
K25,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.03898894236737595,0.18464818333988395,2.3558663199299876,0.5392916302488308,0.18464818333988395,0.5392916302488308,0.07383205959383567,0.07026211790699691,0.1539708198785567,0.48219938490582237,0.20179450493493353,0.1326581826762041,130
K25,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.1356264937584804,0.4150934303154288,5.038957792548811,0.5900114790988052,0.4150934303154288,0.5900114790988052,0.17451004322779823,0.21762396232216938,0.30738999939305234,0.5092753410750144,0.24442750435376973,0.1703154941767645,130
K25,17,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,0.4472570384736632,0.8441479539990792,8.992041534069001,0.7175470855629712,0.8441479539990792,0.7175470855629712,0.4422607299820551,0.5339697779987929,0.48152621023210235,0.5308172835723847,0.43538975690851933,0.20866861536869624,130
K25,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.02059288883674244,0.13073222895616488,1.5394905470580058,0.5158771266764376,0.13073222895616488,0.5158771266764376,0.05934116555248804,0.06129485520068905,0.09905797537122331,0.46088802786190125,0.1876168793063658,0.13605639345817278,145
K25,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.042405698574684,0.22115453898177653,2.252064931626923,0.5409922411716399,0.22115453898177653,0.5409922411716399,0.07192688592539893,0.11500317460550191,0.1746714716946451,0.46452869602725433,0.22923293912192333,0.15600626653008864,145
K25,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.13551315262989744,0.3952417821767393,4.699313098418105,0.5785356277183025,0.3952417821767393,0.5785356277183025,0.1620436126457703,0.23902808051265356,0.269858315983386,0.4942080327405286,0.25243955291181525,0.16351197216054167,145
K25,17,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,0.42391586106153467,0.7919535028830862,7.944435636566871,0.650995204897147,0.7919535028830862,0.650995204897147,0.3893911730831672,0.5223465659398567,0.45024318995909784,0.5061830282136338,0.3521750987726372,0.2086772593073745,145
K25,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.015520509735565822,0.12482451894755923,1.2580912614663604,0.4090641550329217,0.12482451894755923,0.4090641550329217,0.05100042921353938,0.04522022121339096,0.10457173778768489,0.34493978416546933,0.18397195778404432,0.12043399429473155,144
K25,17,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.03536434288246803,0.18938401585331918,2.0959902432176998,0.4979189864400827,0.18938401585331918,0.4979189864400827,0.09332727769808506,0.060222467157245836,0.15339354337027755,0.42189052595736753,0.22163388170494047,0.1442571441743373,144
