cohort,horizon_s,metric,K25,K50,absolute_gain,relative_gain_pct
ALL,0.1,attitude_error_deg,1.3480283706446656,1.4073877652708784,0.05935939462621276,4.2177000604227874
ALL,0.1,body_rate_rmse_rad_s,0.5190208461535685,0.545328817446893,0.026307971293324517,4.824240064277646
ALL,0.1,position_rmse_m,0.035347378953153825,0.03533975990047323,-7.619052680596372e-06,-0.021559435327387005
ALL,0.1,velocity_rmse_m_s,0.1349897049997485,0.1449289623640795,0.009939257364331017,6.858020096329932
ALL,0.2,attitude_error_deg,2.155725607116756,2.196485009819066,0.040759402702310155,1.8556649610673956
ALL,0.2,body_rate_rmse_rad_s,0.5356989320423956,0.5662829067172568,0.03058397467486118,5.400829569826953
ALL,0.2,position_rmse_m,0.07085915297370665,0.07037587473612035,-0.0004832782375863015,-0.6867100968881591
ALL,0.2,velocity_rmse_m_s,0.1855972764333529,0.19543232868331306,0.009835052249960174,5.032459223211384
ALL,0.5,attitude_error_deg,4.2844650492856635,4.078397323464926,-0.20606772582073773,-5.052664306028591
ALL,0.5,body_rate_rmse_rad_s,0.5747006818081856,0.5965765681119546,0.02187588630376902,3.6669033738622727
ALL,0.5,position_rmse_m,0.1978103037082485,0.19239547622942157,-0.0054148274788269335,-2.814425570157395
ALL,0.5,velocity_rmse_m_s,0.3704926348300723,0.3572876015314527,-0.01320503329861955,-3.6959114287812995
ALL,1.0,attitude_error_deg,7.281795235533212,6.692491015924361,-0.5893042196088514,-8.805454026111342
ALL,1.0,body_rate_rmse_rad_s,0.6327741171802891,0.6210730627049943,-0.011701054475294792,-1.8840061142456468
ALL,1.0,position_rmse_m,0.506221195333218,0.474013589738189,-0.03220760559502894,-6.7946586959285495
ALL,1.0,velocity_rmse_m_s,0.7168351718709749,0.6477484181435842,-0.0690867537273907,-10.665676949916762
Sep17,0.1,attitude_error_deg,1.4191136300332732,1.4698279819084552,0.05071435187518203,3.450359667893481
Sep17,0.1,body_rate_rmse_rad_s,0.5044044098298032,0.5273914212369101,0.022987011407106905,4.358624445045891
Sep17,0.1,position_rmse_m,0.018606024384017473,0.01878042327859422,0.0001743988945767487,0.9286206811724377
Sep17,0.1,velocity_rmse_m_s,0.13997593969695998,0.15328337006033152,0.013307430363371536,8.681587805731178
Sep17,0.2,attitude_error_deg,2.4078773128930115,2.376163835792054,-0.03171347710095773,-1.3346502721428122
Sep17,0.2,body_rate_rmse_rad_s,0.5158959507211374,0.5370344702811892,0.02113851956005186,3.9361569377443892
Sep17,0.2,position_rmse_m,0.040552418807769615,0.0403758876117629,-0.00017653119600671147,-0.4372193565232775
Sep17,0.2,velocity_rmse_m_s,0.21076687287091458,0.22052783181036192,0.00976095893944734,4.42618006957102
Sep17,0.5,attitude_error_deg,4.86260493150296,4.56950906185081,-0.2930958696521504,-6.414165410002194
Sep17,0.5,body_rate_rmse_rad_s,0.5505127227676451,0.5609187370666632,0.010406014299018107,1.855173238361868
Sep17,0.5,position_rmse_m,0.13577595004045173,0.12928485762202166,-0.006491092418430072,-5.020767735543699
Sep17,0.5,velocity_rmse_m_s,0.400872407961751,0.3736101737272394,-0.027262234234511573,-7.296973196028339
Sep17,1.0,attitude_error_deg,8.288084838253504,7.565419632078857,-0.7226652061746464,-9.552215756947634
Sep17,1.0,body_rate_rmse_rad_s,0.6404162520995168,0.617365130607673,-0.02305112149184385,-3.733790644955055
Sep17,1.0,position_rmse_m,0.41265587947137616,0.3681691488196273,-0.04448673065174885,-12.08323152398185
Sep17,1.0,velocity_rmse_m_s,0.7781663704665244,0.6881681494601164,-0.08999822100640797,-13.077940482571538
Sep7,0.1,attitude_error_deg,1.2848414734103475,1.3518853504819213,0.06704387707157378,4.959287194559355
Sep7,0.1,body_rate_rmse_rad_s,0.5320132339969152,0.5612731696335446,0.02925993563662932,5.213136351365796
Sep7,0.1,position_rmse_m,0.05022858301460836,0.050059170231032346,-0.0001694127835760173,-0.33842507335648175
Sep7,0.1,velocity_rmse_m_s,0.13055749638000494,0.13750282218963328,0.006945325809628339,5.051042370643041
Sep7,0.2,attitude_error_deg,1.931590757537862,2.0367704978430776,0.10517974030521571,5.1640447667815375
Sep7,0.2,body_rate_rmse_rad_s,0.5533015821057362,0.5922815168826502,0.03897993477691397,6.581318792805945
Sep7,0.2,position_rmse_m,0.09779847223231736,0.09704252995777145,-0.0007559422745459093,-0.7789803860996426
Sep7,0.2,velocity_rmse_m_s,0.16322430182218697,0.17312521479260298,0.00990091297041601,5.718931804519003
Sep7,0.5,attitude_error_deg,3.770562931759178,3.641853556010805,-0.1287093757483726,-3.5341721947039964
Sep7,0.5,body_rate_rmse_rad_s,0.5962010898442216,0.6282724179299914,0.032071328085769846,5.104685033195833
Sep7,0.5,position_rmse_m,0.25295195141295673,0.24849380388044373,-0.0044581475325130016,-1.7940678853537622
Sep7,0.5,velocity_rmse_m_s,0.34348839204635767,0.3427786484685312,-0.0007097435778264938,-0.2070559473285431
Sep7,1.0,attitude_error_deg,6.387315588670731,5.9165544682314755,-0.47076112043925544,-7.956676862639807
Sep7,1.0,body_rate_rmse_rad_s,0.6259811083631978,0.6243690023470577,-0.0016121060161400358,-0.2581976379480705
Sep7,1.0,position_rmse_m,0.5893903649881885,0.568097537221355,-0.0212928277668335,-3.7480936585255615
Sep7,1.0,velocity_rmse_m_s,0.6623185508971531,0.6118197680844445,-0.05049878281270859,-8.25386583549204
