model,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s
K25,0.5062 ± 0.0101,0.7168 ± 0.0161,7.2818 ± 0.1768,0.6328 ± 0.0111
K50,0.4740 ± 0.0063,0.6477 ± 0.0070,6.6925 ± 0.1321,0.6211 ± 0.0108
