model,cohort,horizon_s,metric,mean,std,min,max
K25,ALL,0.1,attitude_error_deg,1.3480283706446656,0.008737236039624476,1.339352093640001,1.3568253157828434
K25,ALL,0.1,body_rate_rmse_rad_s,0.5190208461535685,0.003221060300859667,0.5161757944098714,0.5225180984877582
K25,ALL,0.1,position_rmse_m,0.035347378953153825,8.395853108727368e-05,0.03527609741988158,0.03543992527490631
K25,ALL,0.1,velocity_rmse_m_s,0.1349897049997485,0.002483845347400806,0.13354556849274304,0.1378577788500881
K25,ALL,0.2,attitude_error_deg,2.155725607116756,0.023056485375943375,2.1328238950275185,2.1789338100316233
K25,ALL,0.2,body_rate_rmse_rad_s,0.5356989320423956,0.004967097189838452,0.5306171544023474,0.5405427986100608
K25,ALL,0.2,position_rmse_m,0.07085915297370665,0.00026785672151897805,0.07063482132048939,0.07115571973655613
K25,ALL,0.2,velocity_rmse_m_s,0.1855972764333529,0.0019525471618163637,0.18402248977617963,0.18778197991269666
K25,ALL,0.5,attitude_error_deg,4.2844650492856635,0.03721879977341612,4.241804910209265,4.310303273331019
K25,ALL,0.5,body_rate_rmse_rad_s,0.5747006818081856,0.0009412348008215776,0.5736698461598512,0.5755143551433997
K25,ALL,0.5,position_rmse_m,0.1978103037082485,0.0017626037777293863,0.19595506988544156,0.1994627327844925
K25,ALL,0.5,velocity_rmse_m_s,0.3704926348300723,0.007581459255718824,0.36183766555722974,0.37595904642233346
K25,ALL,1.0,attitude_error_deg,7.281795235533212,0.17682883452501075,7.172106098805497,7.485786230882165
K25,ALL,1.0,body_rate_rmse_rad_s,0.6327741171802891,0.01110940631010252,0.6246536249443781,0.6454344861431711
K25,ALL,1.0,position_rmse_m,0.506221195333218,0.010118659661973556,0.49453886984261264,0.5122347724152666
K25,ALL,1.0,velocity_rmse_m_s,0.7168351718709749,0.016136210679695076,0.7024178153316798,0.7342655020576875
K25,Sep17,0.1,attitude_error_deg,1.4191136300332732,0.020396954512047687,1.396792138887966,1.4367819886978386
K25,Sep17,0.1,body_rate_rmse_rad_s,0.5044044098298032,0.00653264853173602,0.5001242271907184,0.5119236762042448
K25,Sep17,0.1,position_rmse_m,0.018606024384017473,6.817594705083739e-05,0.018539461526298956,0.018675706351822426
K25,Sep17,0.1,velocity_rmse_m_s,0.13997593969695998,0.000730005053714877,0.13942159713680244,0.14080305244933172
K25,Sep17,0.2,attitude_error_deg,2.4078773128930115,0.03625907825294066,2.3664850534458353,2.434026093269825
K25,Sep17,0.2,body_rate_rmse_rad_s,0.5158959507211374,0.008033758327864219,0.5066246779800319,0.5208034311472671
K25,Sep17,0.2,position_rmse_m,0.040552418807769615,0.0002752729194656388,0.04023523936444741,0.04072898297633454
K25,Sep17,0.2,velocity_rmse_m_s,0.21076687287091458,0.0015232013751740468,0.20986953979592388,0.21252559186679773
K25,Sep17,0.5,attitude_error_deg,4.86260493150296,0.0295644285786427,4.831238642308595,4.889957367587343
K25,Sep17,0.5,body_rate_rmse_rad_s,0.5505127227676451,0.0035408985381926057,0.5484220893006052,0.5546010480844004
K25,Sep17,0.5,position_rmse_m,0.13577595004045173,0.0014665878098991528,0.1343806050393856,0.1373046695012371
K25,Sep17,0.5,velocity_rmse_m_s,0.400872407961751,0.01016372869561778,0.39249258233816914,0.41217816737720725
K25,Sep17,1.0,attitude_error_deg,8.288084838253504,0.30097516058176355,8.007528319044981,8.60599214090652
K25,Sep17,1.0,body_rate_rmse_rad_s,0.6404162520995168,0.014501958918674139,0.6258191920543653,0.6548212011223763
K25,Sep17,1.0,position_rmse_m,0.41265587947137616,0.010170778674830294,0.4067652492776516,0.42440006357470555
K25,Sep17,1.0,velocity_rmse_m_s,0.7781663704665244,0.02391904490539301,0.7537236966513412,0.8015249189533052
K25,Sep7,0.1,attitude_error_deg,1.2848414734103475,0.003987299259532591,1.280477426953052,1.2882942756418096
