model,cohort,horizon_s,metric,mean,std,min,max
K25,Sep7,0.1,body_rate_rmse_rad_s,0.5320132339969152,0.0016097287303474931,0.5304438541602295,0.5336604850907463
K25,Sep7,0.1,position_rmse_m,0.05022858301460836,9.958570593862161e-05,0.050153107103066134,0.05034145320653644
K25,Sep7,0.1,velocity_rmse_m_s,0.13055749638000494,0.005139913946389799,0.12713262561826555,0.1364677181507865
K25,Sep7,0.2,attitude_error_deg,1.931590757537862,0.01824215139969298,1.9174620712491277,1.952185113819888
K25,Sep7,0.2,body_rate_rmse_rad_s,0.5533015821057362,0.004273391551553641,0.5498720431847033,0.5580889030214329
K25,Sep7,0.2,position_rmse_m,0.09779847223231736,0.0003542985141330211,0.09753703678100561,0.0982017079678642
K25,Sep7,0.2,velocity_rmse_m_s,0.16322430182218697,0.002393666650135317,0.16104733420307366,0.1657876581757179
K25,Sep7,0.5,attitude_error_deg,3.770562931759178,0.04939289672467731,3.7178638150098613,3.815800596635974
K25,Sep7,0.5,body_rate_rmse_rad_s,0.5962010898442216,0.0021429051499902625,0.5941039614180658,0.598387011413196
K25,Sep7,0.5,position_rmse_m,0.25295195141295673,0.0028787437806958942,0.2506879275263802,0.25619176141005695
K25,Sep7,0.5,velocity_rmse_m_s,0.34348839204635767,0.013611602149771555,0.3297409467904325,0.3569599571084172
K25,Sep7,1.0,attitude_error_deg,6.387315588670731,0.15149923857887312,6.2133256934690415,6.490047644193848
K25,Sep7,1.0,body_rate_rmse_rad_s,0.6259811083631978,0.01013667342093737,0.617235020303548,0.6370907394949888
K25,Sep7,1.0,position_rmse_m,0.5893903649881885,0.01642292927883111,0.5725269092033606,0.6053341165987729
K25,Sep7,1.0,velocity_rmse_m_s,0.6623185508971531,0.024495581581127454,0.6341220993643493,0.6783541996210827
K50,ALL,0.1,attitude_error_deg,1.4073877652708784,0.02064625836209928,1.3845081999116717,1.4246294529035894
K50,ALL,0.1,body_rate_rmse_rad_s,0.545328817446893,0.0026433547186964926,0.5437161480655596,0.5483794331513228
K50,ALL,0.1,position_rmse_m,0.03533975990047323,0.00015990873590763545,0.035169717334037454,0.03548711053487921
K50,ALL,0.1,velocity_rmse_m_s,0.1449289623640795,0.004558853008184915,0.14035855362762467,0.14947617109493305
K50,ALL,0.2,attitude_error_deg,2.196485009819066,0.038513408516639334,2.153924950052745,2.2289348033561684
K50,ALL,0.2,body_rate_rmse_rad_s,0.5662829067172568,0.0028450703929824867,0.5642465257049663,0.5695336495342366
K50,ALL,0.2,position_rmse_m,0.07037587473612035,0.0004976476671810978,0.06988022607147458,0.07087549760215012
K50,ALL,0.2,velocity_rmse_m_s,0.19543232868331306,0.003772095483271523,0.19133724995639803,0.1987649563706586
K50,ALL,0.5,attitude_error_deg,4.078397323464926,0.04607174281450127,4.033739771723627,4.125763726825424
K50,ALL,0.5,body_rate_rmse_rad_s,0.5965765681119546,0.0028140650971415606,0.5933875807324946,0.5987111840019169
K50,ALL,0.5,position_rmse_m,0.19239547622942157,0.0018568135301971834,0.1908963429723979,0.19447252396672085
K50,ALL,0.5,velocity_rmse_m_s,0.3572876015314527,0.007164943745699894,0.3512097180469291,0.3651877075519981
K50,ALL,1.0,attitude_error_deg,6.692491015924361,0.1321126322577559,6.542445487935679,6.791357065137423
K50,ALL,1.0,body_rate_rmse_rad_s,0.6210730627049943,0.010836732534806002,0.6121323463723045,0.6331251400447657
K50,ALL,1.0,position_rmse_m,0.474013589738189,0.0063451990926996224,0.4697262323362134,0.48130270101640393
K50,ALL,1.0,velocity_rmse_m_s,0.6477484181435842,0.007016072072846807,0.6397393092867328,0.6528093336943108
K50,Sep17,0.1,attitude_error_deg,1.4698279819084552,0.012525797846849228,1.4554005293162402,1.4779260556898175
K50,Sep17,0.1,body_rate_rmse_rad_s,0.5273914212369101,0.002736794588936573,0.5247899582661589,0.5302459665563374
K50,Sep17,0.1,position_rmse_m,0.01878042327859422,0.00028830242078524,0.01851927580398196,0.019089797975652693
K50,Sep17,0.1,velocity_rmse_m_s,0.15328337006033152,0.004828245157538848,0.1491563331465141,0.15859305949784008
K50,Sep17,0.2,attitude_error_deg,2.376163835792054,0.05667804461582944,2.315408116422238,2.4276119983785844
K50,Sep17,0.2,body_rate_rmse_rad_s,0.5370344702811892,0.0007091605500894133,0.5362156869348987,0.5374540629190476
K50,Sep17,0.2,position_rmse_m,0.0403758876117629,0.0008328714661951241,0.039687025497768806,0.04130150419862946
K50,Sep17,0.2,velocity_rmse_m_s,0.22052783181036192,0.0008974636379996714,0.21956426359757708,0.2213399085234148
K50,Sep17,0.5,attitude_error_deg,4.56950906185081,0.10540376893244352,4.4925398588152055,4.689643898170552
K50,Sep17,0.5,body_rate_rmse_rad_s,0.5609187370666632,0.004592958152190309,0.5558534135091175,0.5648123314414162
K50,Sep17,0.5,position_rmse_m,0.12928485762202166,0.004018237993935144,0.12689403723965165,0.13392398963709679
K50,Sep17,0.5,velocity_rmse_m_s,0.3736101737272394,0.014307360556249893,0.36104228813823613,0.38918049121549686
K50,Sep17,1.0,attitude_error_deg,7.565419632078857,0.3508166860743171,7.172736071181631,7.847912808215363
K50,Sep17,1.0,body_rate_rmse_rad_s,0.617365130607673,0.016078501370692114,0.6074177776532983,0.635914735532969
K50,Sep17,1.0,position_rmse_m,0.3681691488196273,0.01414639046711567,0.3575994088262163,0.3842396949936463
K50,Sep17,1.0,velocity_rmse_m_s,0.6881681494601164,0.011886375648105635,0.6744544644740484,0.6955118791321241
K50,Sep7,0.1,attitude_error_deg,1.3518853504819213,0.028822407939506432,1.3214927959964997,1.3788268681785065
K50,Sep7,0.1,body_rate_rmse_rad_s,0.5612731696335446,0.0029278176189401896,0.5587820108887416,0.5644980701246431
K50,Sep7,0.1,position_rmse_m,0.050059170231032346,8.744334916525886e-05,0.04997010980519788,0.05014490141148525
K50,Sep7,0.1,velocity_rmse_m_s,0.13750282218963328,0.0045176450632156305,0.13253830516638962,0.14137227029234906
K50,Sep7,0.2,attitude_error_deg,2.0367704978430776,0.022973567441240322,2.0103843577243063,2.052332852225132
K50,Sep7,0.2,body_rate_rmse_rad_s,0.5922815168826502,0.005015444449187387,0.5891628268339152,0.5980669726850055
K50,Sep7,0.2,position_rmse_m,0.09704252995777145,0.00028348760185255447,0.09671862658143528,0.0972454715532661
K50,Sep7,0.2,velocity_rmse_m_s,0.17312521479260298,0.006327707911003988,0.1662465711642389,0.1786983322348753
K50,Sep7,0.5,attitude_error_deg,3.641853556010805,0.05666260393713822,3.59586985452981,3.7051539056506297
K50,Sep7,0.5,body_rate_rmse_rad_s,0.6282724179299914,0.002589991378642911,0.6267512849310521,0.6312629331152156
K50,Sep7,0.5,position_rmse_m,0.24849380388044373,0.0008251530470098745,0.24778728140150572,0.2494006868689943
K50,Sep7,0.5,velocity_rmse_m_s,0.3427786484685312,0.000965469108738829,0.3420055009220494,0.34386078873999915
K50,Sep7,1.0,attitude_error_deg,5.9165544682314755,0.06500476713780902,5.852196404623697,5.982187191717056
K50,Sep7,1.0,body_rate_rmse_rad_s,0.6243690023470577,0.007323327960054259,0.6163230741225322,0.6306454996108073
K50,Sep7,1.0,position_rmse_m,0.568097537221355,0.0034957879998853453,0.5648888009559414,0.5718228821159352
K50,Sep7,1.0,velocity_rmse_m_s,0.6118197680844445,0.0035172979400426084,0.6088813935646746,0.6157170927344298
