model,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s
K25,0.1978 ± 0.0018,0.3705 ± 0.0076,4.2845 ± 0.0372,0.5747 ± 0.0009
K50,0.1924 ± 0.0019,0.3573 ± 0.0072,4.0784 ± 0.0461,0.5966 ± 0.0028
