seed,cohort,horizon_s,metric,K25,K50,paired_error_delta,absolute_gain,relative_gain_pct
17,ALL,0.1,attitude_error_deg,1.339352093640001,1.3845081999116717,-0.04515610627167077,0.04515610627167077,3.2615268204660413
17,ALL,0.1,body_rate_rmse_rad_s,0.5183686455630757,0.5438908711237967,-0.025522225560721035,0.025522225560721035,4.692526923275357
17,ALL,0.1,position_rmse_m,0.03543992527490631,0.03536245183250302,7.747344240328913e-05,-7.747344240328913e-05,-0.2190839107261229
17,ALL,0.1,velocity_rmse_m_s,0.13354556849274304,0.14035855362762467,-0.006812985134881627,0.006812985134881627,4.853986421772823
17,ALL,0.2,attitude_error_deg,2.1328238950275185,2.153924950052745,-0.021101055025226412,0.021101055025226412,0.9796560007677934
17,ALL,0.2,body_rate_rmse_rad_s,0.5405427986100608,0.5642465257049663,-0.023703727094905425,0.023703727094905425,4.200952246057719
17,ALL,0.2,position_rmse_m,0.07115571973655613,0.07037190053473638,0.0007838192018197465,-0.0007838192018197465,-1.1138241199452108
17,ALL,0.2,velocity_rmse_m_s,0.18498735961118243,0.19133724995639803,-0.006349890345215603,0.006349890345215603,3.3186900860457738
17,ALL,0.5,attitude_error_deg,4.241804910209265,4.033739771723627,0.20806513848563846,-0.20806513848563846,-5.158120014190497
17,ALL,0.5,body_rate_rmse_rad_s,0.5736698461598512,0.5987111840019169,-0.025041337842065747,0.025041337842065747,4.182540515559431
17,ALL,0.5,position_rmse_m,0.1994627327844925,0.19181756174914597,0.007645171035346537,-0.007645171035346537,-3.9856470729956905
17,ALL,0.5,velocity_rmse_m_s,0.37368119251065346,0.3512097180469291,0.022471474463724384,-0.022471474463724384,-6.398306569843184
17,ALL,1.0,attitude_error_deg,7.172106098805497,6.743670494699981,0.4284356041055162,-0.4284356041055162,-6.353151513589438
17,ALL,1.0,body_rate_rmse_rad_s,0.6246536249443781,0.6179617016979126,0.006691923246465503,-0.006691923246465503,-1.0829025857231545
17,ALL,1.0,position_rmse_m,0.5118899437417747,0.4710118358619498,0.040878107879824876,-0.040878107879824876,-8.678785705038198
17,ALL,1.0,velocity_rmse_m_s,0.7138221982235573,0.6397393092867328,0.07408288893682446,-0.07408288893682446,-11.580168337540803
17,Sep17,0.1,attitude_error_deg,1.396792138887966,1.4554005293162402,-0.05860839042827415,0.05860839042827415,4.0269595377850305
17,Sep17,0.1,body_rate_rmse_rad_s,0.5011653260944464,0.5271383388882338,-0.025973012793787387,0.025973012793787387,4.927172030128945
17,Sep17,0.1,position_rmse_m,0.018675706351822426,0.018732196056148013,-5.648970432558728e-05,5.648970432558728e-05,0.30156477199077275
17,Sep17,0.1,velocity_rmse_m_s,0.13970316950474582,0.1491563331465141,-0.009453163641768292,0.009453163641768292,6.3377554558696385
17,Sep17,0.2,attitude_error_deg,2.3664850534458353,2.315408116422238,0.05107693702359706,-0.05107693702359706,-2.205958278427433
17,Sep17,0.2,body_rate_rmse_rad_s,0.5208034311472671,0.5362156869348987,-0.015412255787631612,0.015412255787631612,2.874264249099224
17,Sep17,0.2,position_rmse_m,0.04072898297633454,0.04013913313889044,0.0005898498374440966,-0.0005898498374440966,-1.4695131442004075
17,Sep17,0.2,velocity_rmse_m_s,0.20990548695002215,0.21956426359757708,-0.009658776647554934,0.009658776647554934,4.3990658995663265
17,Sep17,0.5,attitude_error_deg,4.831238642308595,4.526343428566673,0.3048952137419221,-0.3048952137419221,-6.7360159155769415
17,Sep17,0.5,body_rate_rmse_rad_s,0.5484220893006052,0.5620904662494559,-0.013668376948850702,0.013668376948850702,2.431704106289658
17,Sep17,0.5,position_rmse_m,0.13564257558073253,0.12703654598931657,0.008606029591415959,-0.008606029591415959,-6.7744518117957195
17,Sep17,0.5,velocity_rmse_m_s,0.39249258233816914,0.36104228813823613,0.031450294199933004,-0.031450294199933004,-8.710972435420445
17,Sep17,1.0,attitude_error_deg,8.25073405480901,7.675610016839577,0.5751240379694336,-0.5751240379694336,-7.49287726588069
17,Sep17,1.0,body_rate_rmse_rad_s,0.6258191920543653,0.6087628786367514,0.017056313417613933,-0.017056313417613933,-2.801799192455595
17,Sep17,1.0,position_rmse_m,0.4067652492776516,0.3575994088262163,0.049165840451435294,-0.049165840451435294,-13.748859544487829
17,Sep17,1.0,velocity_rmse_m_s,0.7537236966513412,0.6744544644740484,0.07926923217729276,-0.07926923217729276,-11.753088807723781
17,Sep7,0.1,attitude_error_deg,1.2882942756418096,1.3214927959964997,-0.033198520354690064,0.033198520354690064,2.5121983604652205
17,Sep7,0.1,body_rate_rmse_rad_s,0.5336604850907463,0.5587820108887416,-0.025121525797995314,0.025121525797995314,4.495764950993963
17,Sep7,0.1,position_rmse_m,0.05034145320653644,0.05014490141148525,0.0001965517950511947,-0.0001965517950511947,-0.3919676567679446
17,Sep7,0.1,velocity_rmse_m_s,0.12807214537096276,0.13253830516638962,-0.004466159795426861,0.004466159795426861,3.3697124690254707
17,Sep7,0.2,attitude_error_deg,1.9251250875445705,2.0103843577243063,-0.08525927017973589,0.08525927017973589,4.240943770386614
17,Sep7,0.2,body_rate_rmse_rad_s,0.5580889030214329,0.5891628268339152,-0.031073923812482307,0.031073923812482307,5.274250580178243
17,Sep7,0.2,position_rmse_m,0.0982017079678642,0.0972454715532661,0.000956236414598105,-0.000956236414598105,-0.9833223072750772
17,Sep7,0.2,velocity_rmse_m_s,0.16283791308776938,0.1662465711642389,-0.003408658076469534,0.003408658076469534,2.0503629353666732
17,Sep7,0.5,attitude_error_deg,3.7178638150098613,3.59586985452981,0.12199396048005129,-0.12199396048005129,-3.392613342954344
17,Sep7,0.5,body_rate_rmse_rad_s,0.5961122967014032,0.6312629331152156,-0.03515063641381244,0.03515063641381244,5.568303565734135
17,Sep7,0.5,position_rmse_m,0.25619176141005695,0.2494006868689943,0.006791074541062647,-0.006791074541062647,-2.722957433004135
17,Sep7,0.5,velocity_rmse_m_s,0.3569599571084172,0.34246965574354504,0.014490301364872171,-0.014490301364872171,-4.231119785900999
17,Sep7,1.0,attitude_error_deg,6.2133256934690415,5.915279808353674,0.2980458851153678,-0.2980458851153678,-5.038576276551813
17,Sep7,1.0,body_rate_rmse_rad_s,0.6236175652910563,0.6261384333078338,-0.0025208680167775332,0.0025208680167775332,0.4026055393948605
17,Sep7,1.0,position_rmse_m,0.6053341165987729,0.5718228821159352,0.03351123448283766,-0.03351123448283766,-5.860422087139102
17,Sep7,1.0,velocity_rmse_m_s,0.6783541996210827,0.6088813935646746,0.06947280605640804,-0.06947280605640804,-11.409907872152564
23,ALL,0.1,attitude_error_deg,1.3568253157828434,1.4246294529035894,-0.06780413712074607,0.06780413712074607,4.7594226682982
23,ALL,0.1,body_rate_rmse_rad_s,0.5161757944098714,0.5437161480655596,-0.027540353655688188,0.027540353655688188,5.065207968104611
23,ALL,0.1,position_rmse_m,0.03532611416467359,0.03548711053487921,-0.0001609963702056197,0.0001609963702056197,0.45367562413226403
23,ALL,0.1,velocity_rmse_m_s,0.13356576765641434,0.14947617109493305,-0.01591040343851871,0.01591040343851871,10.644106898091426
23,ALL,0.2,attitude_error_deg,2.155419116291126,2.2065952760482856,-0.051176159757159834,0.051176159757159834,2.3192363508005616
23,ALL,0.2,body_rate_rmse_rad_s,0.5306171544023474,0.5695336495342366,-0.03891649513188922,0.03891649513188922,6.83304580224804
23,ALL,0.2,position_rmse_m,0.07078691786407444,0.07087549760215012,-8.857973807567532e-05,8.857973807567532e-05,0.12497935262889515
23,ALL,0.2,velocity_rmse_m_s,0.18402248977617963,0.1987649563706586,-0.014742466594478976,0.014742466594478976,7.417035107027164
23,ALL,0.5,attitude_error_deg,4.301286964316707,4.075688471845725,0.22559849247098196,-0.22559849247098196,-5.535224147512358
23,ALL,0.5,body_rate_rmse_rad_s,0.574917844121306,0.5976309396014523,-0.022713095480146328,0.022713095480146328,3.8005220237247457
23,ALL,0.5,position_rmse_m,0.19801310845481143,0.19447252396672085,0.0035405844880905812,-0.0035405844880905812,-1.820609110157106
23,ALL,0.5,velocity_rmse_m_s,0.37595904642233346,0.3651877075519981,0.010771338870335379,-0.010771338870335379,-2.949534896051143
23,ALL,1.0,attitude_error_deg,7.187493376911975,6.542445487935679,0.6450478889762961,-0.6450478889762961,-9.859430852970338
23,ALL,1.0,body_rate_rmse_rad_s,0.6454344861431711,0.6331251400447657,0.012309346098405394,-0.012309346098405394,-1.9442200790723694
23,ALL,1.0,position_rmse_m,0.5122347724152666,0.48130270101640393,0.03093207139886267,-0.03093207139886267,-6.426739624261621
23,ALL,1.0,velocity_rmse_m_s,0.7342655020576875,0.6528093336943108,0.08145616836337666,-0.08145616836337666,-12.477788560774457
23,Sep17,0.1,attitude_error_deg,1.4367819886978386,1.4761573607193075,-0.0393753720214689,0.0393753720214689,2.667423749611757
23,Sep17,0.1,body_rate_rmse_rad_s,0.5001242271907184,0.5247899582661589,-0.024665731075440567,0.024665731075440567,4.700114910150546
23,Sep17,0.1,position_rmse_m,0.01860290527393104,0.019089797975652693,-0.0004868927017216522,0.0004868927017216522,2.550538786961704
23,Sep17,0.1,velocity_rmse_m_s,0.14080305244933172,0.15859305949784008,-0.01779000704850836,0.01779000704850836,11.21739318532451
23,Sep17,0.2,attitude_error_deg,2.423120791963374,2.3854713925753384,0.037649399388035576,-0.037649399388035576,-1.57827922419097
23,Sep17,0.2,body_rate_rmse_rad_s,0.5066246779800319,0.5374336609896214,-0.030808983009589563,0.030808983009589563,5.732611342739197
23,Sep17,0.2,position_rmse_m,0.0406930340825269,0.04130150419862946,-0.0006084701161025649,0.0006084701161025649,1.4732396020645568
23,Sep17,0.2,velocity_rmse_m_s,0.20986953979592388,0.2213399085234148,-0.011470368727490937,0.011470368727490937,5.182241559604479
23,Sep17,0.5,attitude_error_deg,4.889957367587343,4.4925398588152055,0.3974175087721372,-0.3974175087721372,-8.846165448979368
23,Sep17,0.5,body_rate_rmse_rad_s,0.5485150309179296,0.5648123314414162,-0.016297300523486546,0.016297300523486546,2.885436385904571
23,Sep17,0.5,position_rmse_m,0.1373046695012371,0.13392398963709679,0.0033806798641403124,-0.0033806798641403124,-2.524327324253987
23,Sep17,0.5,velocity_rmse_m_s,0.41217816737720725,0.38918049121549686,0.02299767616171039,-0.02299767616171039,-5.909257190637576
23,Sep17,1.0,attitude_error_deg,8.007528319044981,7.172736071181631,0.8347922478633505,-0.8347922478633505,-11.638407430288
23,Sep17,1.0,body_rate_rmse_rad_s,0.6548212011223763,0.635914735532969,0.01890646558940734,-0.01890646558940734,-2.9731133016695344
23,Sep17,1.0,position_rmse_m,0.42440006357470555,0.3842396949936463,0.04016036858105926,-0.04016036858105926,-10.45190517906364
23,Sep17,1.0,velocity_rmse_m_s,0.8015249189533052,0.6945381047741769,0.10698681417912836,-0.10698681417912836,-15.404023687644067
23,Sep7,0.1,attitude_error_deg,1.2857527176361812,1.3788268681785065,-0.09307415054232537,0.09307415054232537,6.750242013000558
23,Sep7,0.1,body_rate_rmse_rad_s,0.5304438541602295,0.5605394278872491,-0.030095573727019542,0.030095573727019542,5.369037792837149
23,Sep7,0.1,position_rmse_m,0.05019118873422253,0.0500624994764139,0.0001286892578086299,-0.0001286892578086299,-0.25705719681307493
23,Sep7,0.1,velocity_rmse_m_s,0.12713262561826555,0.14137227029234906,-0.014239644674083507,0.014239644674083507,10.072445356247592
23,Sep7,0.2,attitude_error_deg,1.9174620712491277,2.0475942835797944,-0.13013221233066674,0.13013221233066674,6.355370952841181
23,Sep7,0.2,body_rate_rmse_rad_s,0.5519438001110725,0.5980669726850055,-0.04612317257393306,0.04612317257393306,7.7120414068117356
23,Sep7,0.2,position_rmse_m,0.09753703678100561,0.09716349173861293,0.0003735450423926895,-0.0003735450423926895,-0.3844499983569879
23,Sep7,0.2,velocity_rmse_m_s,0.16104733420307366,0.1786983322348753,-0.017650998031801646,0.017650998031801646,9.877539320625413
23,Sep7,0.5,attitude_error_deg,3.7780243836316973,3.7051539056506297,0.0728704779810676,-0.0728704779810676,-1.9667328223514497
23,Sep7,0.5,body_rate_rmse_rad_s,0.598387011413196,0.6268030357437067,-0.028416024330510714,0.028416024330510714,4.5334854348296005
23,Sep7,0.5,position_rmse_m,0.25197616530243305,0.24829344337083115,0.0036827219316019066,-0.0036827219316019066,-1.483213524129064
23,Sep7,0.5,velocity_rmse_m_s,0.34376427224022343,0.34386078873999915,-9.651649977571175e-05,9.651649977571175e-05,0.028068480890006346
23,Sep7,1.0,attitude_error_deg,6.458573428349303,5.982187191717056,0.4763862366322469,-0.4763862366322469,-7.963412400264771
23,Sep7,1.0,body_rate_rmse_rad_s,0.6370907394949888,0.6306454996108073,0.006445239884181553,-0.006445239884181553,-1.0220067990906347
23,Sep7,1.0,position_rmse_m,0.590310069162432,0.5675809285921884,0.022729140570243556,-0.022729140570243556,-4.004563829623428
23,Sep7,1.0,velocity_rmse_m_s,0.6744793537060272,0.6157170927344298,0.058762260971597424,-0.058762260971597424,-9.543711172712673
42,ALL,0.1,attitude_error_deg,1.3479077025111526,1.4130256429973742,-0.06511794048622166,0.06511794048622166,4.60840472421226
42,ALL,0.1,body_rate_rmse_rad_s,0.5225180984877582,0.5483794331513228,-0.02586133466356455,0.02586133466356455,4.715956343393396
42,ALL,0.1,position_rmse_m,0.03527609741988158,0.035169717334037454,0.00010638008584412662,-0.00010638008584412662,-0.302476374301625
42,ALL,0.1,velocity_rmse_m_s,0.1378577788500881,0.14495216236968078,-0.007094383519592684,0.007094383519592684,4.894292988537434
42,ALL,0.2,attitude_error_deg,2.1789338100316233,2.2289348033561684,-0.05000099332454511,0.05000099332454511,2.24326854465448
42,ALL,0.2,body_rate_rmse_rad_s,0.5359368431147785,0.5650685449125675,-0.02913170179778901,0.02913170179778901,5.155427967114419
42,ALL,0.2,position_rmse_m,0.07063482132048939,0.06988022607147458,0.0007545952490148056,-0.0007545952490148056,-1.079840881228681
42,ALL,0.2,velocity_rmse_m_s,0.18778197991269666,0.19619477972288255,-0.00841279981018589,0.00841279981018589,4.287983514173333
42,ALL,0.5,attitude_error_deg,4.310303273331019,4.125763726825424,0.18453954650559545,-0.18453954650559545,-4.472857844615104
42,ALL,0.5,body_rate_rmse_rad_s,0.5755143551433997,0.5933875807324946,-0.017873225589094988,0.017873225589094988,3.012066003644998
42,ALL,0.5,position_rmse_m,0.19595506988544156,0.1908963429723979,0.005058726913043654,-0.005058726913043654,-2.6499862879903917
42,ALL,0.5,velocity_rmse_m_s,0.36183766555722974,0.35546537899543096,0.006372286561798779,-0.006372286561798779,-1.7926602528232958
42,ALL,1.0,attitude_error_deg,7.485786230882165,6.791357065137423,0.6944291657447419,-0.6944291657447419,-10.225190033218938
42,ALL,1.0,body_rate_rmse_rad_s,0.6282342404533179,0.6121323463723045,0.016101894081013368,-0.016101894081013368,-2.630459601822781
42,ALL,1.0,position_rmse_m,0.49453886984261264,0.4697262323362134,0.024812637506399227,-0.024812637506399227,-5.282361468933083
42,ALL,1.0,velocity_rmse_m_s,0.7024178153316798,0.650696611449709,0.05172120388197077,-0.05172120388197077,-7.948589707073984
42,Sep17,0.1,attitude_error_deg,1.4237667625140153,1.4779260556898175,-0.05415929317580215,0.05415929317580215,3.664546880900849
42,Sep17,0.1,body_rate_rmse_rad_s,0.5119236762042448,0.5302459665563374,-0.01832229035209254,0.01832229035209254,3.4554322913733735
42,Sep17,0.1,position_rmse_m,0.018539461526298956,0.01851927580398196,2.0185722316996835e-05,-2.0185722316996835e-05,-0.10899844319320824
42,Sep17,0.1,velocity_rmse_m_s,0.13942159713680244,0.15210071753664034,-0.012679120399837901,0.012679120399837901,8.3360030150966
42,Sep17,0.2,attitude_error_deg,2.434026093269825,2.4276119983785844,0.006414094891240563,-0.006414094891240563,-0.26421416995485986
42,Sep17,0.2,body_rate_rmse_rad_s,0.5202597430361132,0.5374540629190476,-0.017194319882934406,0.017194319882934406,3.199216652963371
42,Sep17,0.2,position_rmse_m,0.04023523936444741,0.039687025497768806,0.0005482138666786027,-0.0005482138666786027,-1.3813427935268747
42,Sep17,0.2,velocity_rmse_m_s,0.21252559186679773,0.22067932331009382,-0.008153731443296092,0.008153731443296092,3.694832538451572
42,Sep17,0.5,attitude_error_deg,4.866618784612944,4.689643898170552,0.1769748864423919,-0.1769748864423919,-3.7737382685160905
42,Sep17,0.5,body_rate_rmse_rad_s,0.5546010480844004,0.5558534135091175,-0.0012523654247171834,0.0012523654247171834,0.22530498046435782
42,Sep17,0.5,position_rmse_m,0.1343806050393856,0.12689403723965165,0.007486567799733945,-0.007486567799733945,-5.89985783618409
42,Sep17,0.5,velocity_rmse_m_s,0.39794647416987666,0.3706077418279852,0.027338732341891436,-0.027338732341891436,-7.3767299644216555
42,Sep17,1.0,attitude_error_deg,8.60599214090652,7.847912808215363,0.7580793326911577,-0.7580793326911577,-9.659629906917212
42,Sep17,1.0,body_rate_rmse_rad_s,0.6406083631218089,0.6074177776532983,0.033190585468510614,-0.033190585468510614,-5.46421041490411
