partition,channel,flight_id,window_id,origin_timestamp_us,end_us,sign,persistence,first_mean_departure,late_mean_departure,late_same_sign_fraction,prehistory_rms_departure,prehistory_stable,holds_and_others_quiet_to_1s,both_flags,initial_speed,initial_rate_p,initial_rate_q,initial_rate_r,frequency_hz,actual_horizon_s
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,106512313,107510307.0,1.0,0.9452520338246104,0.07862194161862135,0.06864300396293402,1.0,0.029140936826845733,True,False,False,6.959920353565393,1.107615351676941,0.07393790036439896,0.013246739283204079,3.938889741897583,0.9979939999999998
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,107709929,108717906.0,-1.0,0.951501537493746,-0.07999684290029109,-0.06661507964134217,1.0,0.0417274073235107,False,False,False,7.206132570524494,-0.4879293739795685,-0.20313940942287445,-0.01571786217391491,4.0124735832214355,1.0079769999999997
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,110713817,111711955.0,-1.0,0.884774712170219,-0.04527938857674599,-0.035204931572079656,1.0,0.01769902428643931,True,False,False,7.2289431664899455,-0.3345482647418976,-0.5867700576782227,0.024646025151014328,3.932025909423828,0.9981379999999999
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,112111036,113119007.0,-1.0,0.815906292039497,-0.04655349940061569,-0.1001418231613934,1.0,0.020845871247752328,True,False,False,6.590851487552445,0.3205423951148987,-0.23537445068359375,0.2984957695007324,3.7048521041870117,1.0079710000000002
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,133707496,134715542.0,1.0,0.8793123081284951,0.0368140721321106,0.023776236474514007,0.76,0.03963328026118012,False,False,False,6.768359279607919,0.17299756407737732,-0.504612147808075,0.01801050640642643,3.6952030658721924,1.008046
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,153697419,154695374.0,-1.0,0.9170342953862975,-0.04070400595664978,-0.06976820707321167,1.0,0.032595532091983306,False,False,False,10.66794382845883,0.058492131531238556,-0.3136630356311798,-0.1536901891231537,4.100722312927246,0.9979549999999998
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,169495597,170493596.0,-1.0,0.8936538489561562,-0.035467473035678265,-0.0067351433634758,0.64,0.02921099660922603,False,False,False,5.358050738652417,-0.21047049760818481,-0.43524426221847534,0.3939386010169983,4.076836585998535,0.9979989999999993
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,191491400,192499404.0,1.0,0.8641986140606768,0.036565151214599606,0.08025772631168365,1.0,0.020959856432422683,False,False,False,6.7657174122699395,0.04270518571138382,0.4382132291793823,0.036539893597364426,3.250542640686035,1.008004
train,common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,271450967,272448905.0,1.0,0.8811605805687108,0.10650445327162743,0.14798761814832687,1.0,0.019881180743007116,True,False,False,5.560523426774855,-0.5940614938735962,-0.6081754565238953,0.13852256536483765,3.0305874347686768,0.9979379999999997
train,common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,381024094,382029665.0,1.0,0.9055955594672817,0.035766390003263954,0.09303955286741257,1.0,0.02047491379361772,False,False,False,7.356441718821615,0.5420480370521545,0.12037546187639236,0.3402208387851715,3.884742498397827,1.0055709999999998
