channel,flight_id,window_id,sign,interval,axis,delta_rate,sign_aligned_delta_rate
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,1.0,early_100ms,p,-1.0537365286818585,-1.0537365286818585
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,1.0,early_100ms,q,-0.1938021117640191,-0.1938021117640191
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:835,1.0,early_100ms,r,0.01945358351088918,0.01945358351088918
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,-1.0,early_100ms,p,1.1883212258641538,-1.1883212258641538
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,-1.0,early_100ms,q,0.2768350059086889,-0.2768350059086889
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:895,-1.0,early_100ms,r,0.010347692870083651,-0.010347692870083651
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,-1.0,early_100ms,p,0.3440566025578935,-0.3440566025578935
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,-1.0,early_100ms,q,0.8481800222812996,-0.8481800222812996
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1045,-1.0,early_100ms,r,0.07810898651567481,-0.07810898651567481
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,-1.0,early_100ms,p,-0.5153476015165216,0.5153476015165216
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,-1.0,early_100ms,q,0.4360142209363257,-0.4360142209363257
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:1115,-1.0,early_100ms,r,-0.058056728980651104,0.058056728980651104
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,1.0,early_100ms,p,-0.10245567602851376,-0.10245567602851376
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,1.0,early_100ms,q,0.21618735700582534,0.21618735700582534
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:0:2195,1.0,early_100ms,r,0.039060809527771974,0.039060809527771974
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,-1.0,early_100ms,p,-0.19186559985685525,0.19186559985685525
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,-1.0,early_100ms,q,0.8387592095365578,-0.8387592095365578
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:95,-1.0,early_100ms,r,0.04027684266254577,-0.04027684266254577
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,-1.0,early_100ms,p,0.0886874147517599,-0.0886874147517599
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,-1.0,early_100ms,q,0.6921372660233397,-0.6921372660233397
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:885,-1.0,early_100ms,r,-0.06123264008671733,0.06123264008671733
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,1.0,early_100ms,p,-0.27337082075320507,-0.27337082075320507
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,1.0,early_100ms,q,-0.8149753459700594,-0.8149753459700594
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:2:1985,1.0,early_100ms,r,0.005078759732757362,0.005078759732757362
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,1.0,early_100ms,p,0.2578643308287167,0.2578643308287167
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,1.0,early_100ms,q,0.007947109871190157,0.007947109871190157
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,train:2026.9.6/log_17_2026-9-6-18-34-06.ulg:4:1295,1.0,early_100ms,r,0.0550552699778969,0.0550552699778969
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,train:2026.9.6/log_18_2026-9-6-18-46-20.ulg:0:845,1.0,early_100ms,p,-0.5779596497554136,-0.5779596497554136
