channel,flight_id,interval,axis,n,sign_aligned_mean
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,early_100ms,p,9,-0.23172785960392123
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,early_100ms,q,9,-0.43072985728258606
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,early_100ms,r,9,0.01213380775204218
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_100ms,p,9,-0.10167948032418887
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_100ms,q,9,-0.4402628830737538
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_100ms,r,9,0.03369557929949628
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_1s,p,9,0.10163793712854385
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_1s,q,9,0.13281353894207212
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_1s,r,9,-0.10518306721415785
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_200ms,p,9,-0.04975994262430403
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_200ms,q,9,-0.1327511825495296
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_200ms,r,9,0.10934120959912737
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_500ms,p,9,0.12451533952520953
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_500ms,q,9,0.22745947622590595
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,endpoint_500ms,r,9,0.042544552849398724
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,late_1s,p,9,-0.16935239650046569
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,late_1s,q,9,-0.056506202279225315
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,late_1s,r,9,-0.10645195888166911
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,late_500ms,p,9,0.024253715104746068
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,late_500ms,q,9,-0.11359946232032822
common,2026.9.6/log_17_2026-9-6-18-34-06.ulg,late_500ms,r,9,0.07045383630131791
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,early_100ms,p,3,-0.028871272192451447
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,early_100ms,q,3,-0.14253107383619734
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,early_100ms,r,3,-0.008034587100802133
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_100ms,p,3,-0.13439837532738844
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_100ms,q,3,-0.27197246874372166
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_100ms,r,3,-0.023397352546453476
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_1s,p,3,-0.10812210167447726
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_1s,q,3,-0.3441044973830382
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_1s,r,3,0.07640594864885013
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_200ms,p,3,0.09620967259009679
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_200ms,q,3,-0.35730094835162163
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_200ms,r,3,-0.04591902966300646
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_500ms,p,3,-0.664950010056297
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_500ms,q,3,0.09933324375500281
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,endpoint_500ms,r,3,-0.05953973993503799
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,late_1s,p,3,-0.0784626914575259
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,late_1s,q,3,-0.25458675274814
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,late_1s,r,3,0.11612568691404968
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,late_500ms,p,3,-0.22649294271571022
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,late_500ms,q,3,-0.05646354389846503
common,2026.9.6/log_18_2026-9-6-18-46-20.ulg,late_500ms,r,3,-0.026844975691508812
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,early_100ms,p,1,-0.3665546479065997
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,early_100ms,q,1,-0.39591016037395416
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,early_100ms,r,1,0.05448731188946916
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_100ms,p,1,-0.21144999563694
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_100ms,q,1,0.10934290289878845
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_100ms,r,1,0.01520043611526489
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_1s,p,1,0.38409386575222015
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_1s,q,1,0.36603230237960815
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_1s,r,1,0.39665762335062027
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_200ms,p,1,0.34753063321113586
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_200ms,q,1,0.11115813255310059
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_200ms,r,1,0.053511172533035285
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_500ms,p,1,0.9531734734773636
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_500ms,q,1,0.596981406211853
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,endpoint_500ms,r,1,0.41510923206806183
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,late_1s,p,1,0.1400969722318228
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,late_1s,q,1,-0.2748748208987083
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,late_1s,r,1,0.2746219668060692
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,late_500ms,p,1,0.41176492966427836
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,late_500ms,q,1,0.1532470134851002
common,2026.9.6/log_19_2026-9-6-18-52-30.ulg,late_500ms,r,1,0.22872729779873416
common,2026.9.6/log_20_2026-9-6-18-58-10.ulg,early_100ms,p,2,-0.4351274110247399
