experiment,horizon_s,scope,median,p10,p90
S0,0.2,prefix,0.5846433703486571,0.3360278226732821,0.8790848133689448
S0,0.5,prefix,0.450007953251283,0.2655027666377111,0.700060439481001
S0,1.0,prefix,0.3479583930325793,0.2165680638050476,0.5687005214256429
S0,2.0,prefix,0.2873819211911566,0.1974013028675087,0.4500115253441964
S0,3.0,prefix,0.2725549946215239,0.1888352132950635,0.4033299490650214
S0,5.0,prefix,0.2458189002250995,0.1718335403426226,0.3605859804538436
S0,5.0,last1s,0.0741098181869122,0.0541803462716397,0.113558161333847
R1,0.2,prefix,0.610223665220007,0.3588637873358303,0.9144469434095018
R1,0.5,prefix,0.4783660145824202,0.2840468706390129,0.7268738371977461
R1,1.0,prefix,0.3706159299558165,0.2283873725245765,0.5911361246482485
R1,2.0,prefix,0.3000538689107499,0.2092468147352947,0.4780633003247438
R1,3.0,prefix,0.2844469478941961,0.1974644106977995,0.4259217902436769
R1,5.0,prefix,0.2574277694783422,0.1781748536216646,0.3779569716001397
R1,5.0,last1s,0.0759157565702626,0.0542878609279232,0.1174042118888756
R2,0.2,prefix,0.6055373226000668,0.3607185125193732,0.9059181912510684
R2,0.5,prefix,0.4774751576260732,0.290721227756555,0.722744862616607
R2,1.0,prefix,0.3685117355417557,0.229775474948706,0.5878057464718397
R2,2.0,prefix,0.3020832531350594,0.2091091325325563,0.4785993156372933
R2,3.0,prefix,0.28407486976932,0.1963458873866933,0.4256645272470958
R2,5.0,prefix,0.2566170646700208,0.1782637500004083,0.3779103908819268
R2,5.0,last1s,0.0745444747534062,0.0527388228147888,0.1182894980440301
R3,0.2,prefix,0.5956421728838126,0.3452294911737617,0.898930508591041
R3,0.5,prefix,0.4635756000850344,0.2813696769928143,0.7080850561363666
R3,1.0,prefix,0.3583479123076154,0.2235792315206434,0.5768743943062014
R3,2.0,prefix,0.2966081660697544,0.2048504883103233,0.4722700853163376
R3,3.0,prefix,0.2785537418878724,0.1938201818315963,0.4207296038871055
R3,5.0,prefix,0.2534875955389363,0.1747774242209579,0.372362644226167
R3,5.0,last1s,0.0744698601586068,0.0543849466728119,0.117033908430744
R3-high,0.2,prefix,0.668352226060569,0.433282402029474,0.956671360009608
R3-high,0.5,prefix,0.5401743236905199,0.3640809694171044,0.7846815578929807
R3-high,1.0,prefix,0.4203318240853408,0.283887688314614,0.674698308107682
R3-high,2.0,prefix,0.3345661978668021,0.2376783489702222,0.5525123096099017
R3-high,3.0,prefix,0.3075935424761529,0.216444284711334,0.4870379628273174
R3-high,5.0,prefix,0.2693339855388655,0.1919742133976919,0.4165294249731249
R3-high,5.0,last1s,0.0876296455143323,0.0635039821579888,0.1231791159257062
R3-max,0.2,prefix,0.7385323145725139,0.5099238415478405,0.9799553892241966
R3-max,0.5,prefix,0.649454345220009,0.4715499402999427,0.8397557494028026
R3-max,1.0,prefix,0.5499729798080755,0.3747935723395002,0.7347967847609275
R3-max,2.0,prefix,0.4535474721675971,0.299190655270865,0.6689000920870719
R3-max,3.0,prefix,0.4036028019658599,0.2714537506944931,0.6416223513599336
R3-max,5.0,prefix,0.3560008919357376,0.2410568505877,0.5890707389938513
R3-max,5.0,last1s,0.1854387266318315,0.1086404396121586,0.5008255390046215
Step5_S1,0.2,prefix,0.6742264863579559,0.4622574302855395,0.9498619258185496
Step5_S1,0.5,prefix,0.5843987845050431,0.4387050238386835,0.7828795103431888
Step5_S1,1.0,prefix,0.5150098168692553,0.3711642905264737,0.6983257222478884
Step5_S1,2.0,prefix,0.4807710012213596,0.3283133547046198,0.6386341238709909
Step5_S1,3.0,prefix,0.466215034836993,0.3257543760288371,0.6018248757857647
Step5_S1,5.0,prefix,0.447915649648947,0.3222755092543696,0.5749772317711839
Step5_S1,5.0,last1s,0.4072386230834273,0.2593005302771156,0.5312389193482293
