experiment,horizon_s,metric,change_pct,ci95_low,ci95_high,improved_flights
R1,0.2,position_m,-4.664362700390933,-4.981283444317597,-4.329633661967258,5
R1,0.2,velocity_m_s,-2.389871947985178,-2.696782086888272,-2.0862467531684747,5
R1,0.2,attitude_deg,-0.8212113054734238,-1.5213356276165935,-0.07751256183663457,4
R1,0.2,body_rate_rad_s,-0.560893845362398,-1.1059689310387477,0.10256983963721211,4
R1,0.2,frequency_hz,-1.058941135986069,-1.4235554127583039,-0.8502550622038663,5
R1,0.2,phase_rad,-1.2321863170535297,-1.580870564874337,-0.9266337897737675,5
R1,0.5,position_m,-3.06982851510057,-3.9209397280457026,-2.2131722295627654,5
R1,0.5,velocity_m_s,1.1419713011037391,0.772938359624864,1.4909409152306097,0
R1,0.5,attitude_deg,0.20636121744384006,-0.06594280746984316,0.4383973709812361,1
R1,0.5,body_rate_rad_s,-1.4325091848469307,-1.7122316237398794,-1.1701261055063084,5
R1,0.5,frequency_hz,-0.3091579887557261,-0.7907128459379009,0.0719325918598912,4
R1,0.5,phase_rad,-1.2711987025012195,-1.8762341576945785,-0.5724226586799275,5
R1,1.0,position_m,-0.46513312690189546,-1.187153790950457,0.19504258993321422,3
R1,1.0,velocity_m_s,0.4790409401538964,0.17107330042744895,0.8373611456620411,0
R1,1.0,attitude_deg,0.4526626397526101,0.22719214931894438,0.6464991979515666,0
R1,1.0,body_rate_rad_s,0.023079184313323786,-0.14782278320376596,0.3167632406186893,4
R1,1.0,frequency_hz,0.14930568456652527,-0.00783550733371996,0.3594256245677885,2
R1,1.0,phase_rad,-0.13311744585173813,-1.0428317154344224,0.8079664423404687,3
R1,2.0,position_m,-0.4070099960989171,-0.7883135931851193,-0.07918954389301014,3
R1,2.0,velocity_m_s,-0.4977211987109653,-0.791053153550958,-0.25854536821492413,5
R1,2.0,attitude_deg,-0.12711798959104126,-0.39277219742746006,0.16859336747401255,4
R1,2.0,body_rate_rad_s,0.20772143254894626,-0.22414853141389246,0.5126375334056466,1
R1,2.0,frequency_hz,0.3015943235359586,0.10838705434419449,0.529849249896519,0
R1,2.0,phase_rad,1.0006390619559768,0.016308579926227473,2.1140339729266877,1
R1,3.0,position_m,-0.7162301431649754,-1.044819909153638,-0.43304163108048854,5
R1,3.0,velocity_m_s,-0.5389934798899376,-0.859009411610645,-0.139706220223057,4
R1,3.0,attitude_deg,-0.646585651149012,-0.9332001635929954,-0.32161659723702885,5
R1,3.0,body_rate_rad_s,0.00036176235622686903,-0.14105025903944357,0.15142964756535982,2
R1,3.0,frequency_hz,0.5433648988277584,0.25340680066212595,1.0195888137201736,0
R1,3.0,phase_rad,2.0972963102844133,1.235847529751788,3.1002290801442456,0
R1,5.0,position_m,-0.8997871875575325,-1.1217919123717945,-0.5838780458053083,5
R1,5.0,velocity_m_s,-1.0508241550602593,-1.446376182090281,-0.645264639500398,5
R1,5.0,attitude_deg,-1.2159809023204016,-1.405185353904358,-1.008492467357125,5
R1,5.0,body_rate_rad_s,-0.17021443636291433,-0.27270461238197985,-0.04637434176524291,4
R1,5.0,frequency_hz,0.6027894674410561,0.2800431466021269,0.9923702228268105,0
R1,5.0,phase_rad,1.3885772874143054,-0.35248242144599873,3.245579656029207,2
R2,0.2,position_m,-6.432889869017955,-6.918565444079605,-5.9184290206379275,5
R2,0.2,velocity_m_s,-4.321303580195335,-4.638856253174806,-3.9911114713765183,5
R2,0.2,attitude_deg,-0.8066550744211143,-1.5768738440186336,-0.06963432026556582,4
R2,0.2,body_rate_rad_s,-1.287791093324142,-1.8944616439151685,-0.5777785590644458,5
R2,0.2,frequency_hz,-1.3882228857749812,-1.807049058503496,-1.1381660145447403,5
R2,0.2,phase_rad,-1.6996189692470964,-2.142833095286867,-1.3130721849025084,5
R2,0.5,position_m,-4.081981694805748,-5.140731397804399,-3.016334134193066,5
R2,0.5,velocity_m_s,1.2021994218621268,0.6972707759035579,1.725221646333861,0
R2,0.5,attitude_deg,0.5281150348330765,0.13663031248327684,0.84813442794478,1
R2,0.5,body_rate_rad_s,-1.5382862377760764,-1.870300274643799,-1.1872809125409223,5
R2,0.5,frequency_hz,-0.3329291513893162,-0.9785672130448786,0.16974461858094703,4
R2,0.5,phase_rad,-1.6082265676270469,-2.370170256970048,-0.7519337637744705,5
R2,1.0,position_m,-0.5568443349188823,-1.4464673415982787,0.25657768385600743,3
R2,1.0,velocity_m_s,0.5726183485861069,0.15985493982824117,1.0033956659749155,1
R2,1.0,attitude_deg,0.9294195290602714,0.4792003874706019,1.2549829257730627,0
R2,1.0,body_rate_rad_s,0.08491669354115938,-0.1565988075757696,0.47845746787014143,3
R2,1.0,frequency_hz,0.23024377016391817,-0.05532335033521241,0.5574156383447271,2
R2,1.0,phase_rad,-0.004573037526511836,-1.3499552263682157,1.4569268310394845,3
R2,2.0,position_m,-0.6587286953252058,-1.172021844467086,-0.2216082731724467,5
R2,2.0,velocity_m_s,-0.7830148604618725,-1.0865025269001127,-0.3859985851862979,5
R2,2.0,attitude_deg,0.1234143035469204,-0.5448205146178053,0.7396022327036622,2
R2,2.0,body_rate_rad_s,0.22003116872368889,-0.314847010087127,0.5708922990118381,1
R2,2.0,frequency_hz,0.24990002260734112,0.02532388647962236,0.47668110177638834,0
R2,2.0,phase_rad,1.1943667890132792,-0.4582715558795081,3.048447481645722,2
R2,3.0,position_m,-1.0960923268737321,-1.4593216503327233,-0.7076629831771819,5
R2,3.0,velocity_m_s,-0.7575878655350476,-1.307398449361885,-0.10911827487400938,4
R2,3.0,attitude_deg,-0.7424181438726918,-1.4388763455567277,-0.05864013546819091,4
R2,3.0,body_rate_rad_s,0.014248114628800934,-0.12252533204436533,0.1832802847119508,3
R2,3.0,frequency_hz,0.6777951187748155,0.3523895448651171,1.226382445367502,0
R2,3.0,phase_rad,2.1980316138256795,0.7866807468831949,3.841182159992207,0
R2,5.0,position_m,-1.2978612853290716,-1.7936720769464953,-0.6845181219180541,5
