experiment,partition,step,largest_singular_median,largest_singular_p95,spectral_radius_median,dynamic_singular_median,dynamic_radius_median,rigid_singular_median,rigid_radius_median,epsilon_max_singular_difference,epsilon_max_radius_difference
R1,train,0,1.1631977998695582,1.2455500231360996,1.0013051639311144,1.1631905169191676,1.0007200989515894,1.0403083124703403,0.9996765326038606,0.0001984854515302,0.0066757202148437
R1,validation,0,1.163129605867355,1.2131920287675284,1.0011758563731077,1.1631108635159553,1.0005714612293817,1.0411349084969956,0.999131849504207,0.0002510221562284,0.0066757202148437
R1,validation,25,1.1623019025162147,1.2482779777965702,1.0017962462042165,1.1622957632062088,1.00115812867365,1.039019820740216,1.0003820744744523,0.0002020900550598,0.0066757202148437
R1,validation,50,1.162256545482272,1.2103275369669473,1.003390125905244,1.1622505609799556,1.0018979258589473,1.0391808645576555,0.9989094882715644,0.0002082586651543,0.0066757202148437
R1,validation,100,1.1623420893121652,1.2489977755269939,1.0028719154591843,1.162322651659911,1.0024512590092323,1.038970386875274,0.9984653596308792,0.0002090047857383,0.0066757202148437
R1,validation,249,1.1622212757837527,1.170506122967461,1.0024384260305963,1.1622088585299377,1.0008764567628494,1.0384681766735575,0.998280643810923,0.0001809863602979,0.0066757202148437
R2,train,0,1.1633561923093731,1.245709177620977,1.001357090773006,1.163351198725866,1.0006989987699317,1.040185851943842,0.9996545807350079,0.0002605315647259,0.0066757202148437
R2,validation,0,1.1631697696096461,1.2132372067439516,1.0011116796568031,1.1631672396351422,1.0005064359066231,1.0411079391054612,0.9993538435793623,0.0002331882675044,0.0066757202148437
R2,validation,25,1.1624340078406332,1.2484896411920041,1.0018822225922799,1.1624299583355429,1.0012697028149744,1.039011911746921,1.0003479927356786,0.0002753770891559,0.0066757202148437
R2,validation,50,1.1623242340654465,1.2103304694471635,1.0035091683170414,1.1623181458434253,1.0017872784897284,1.0390256812338805,0.9989683458886904,0.0002135319295843,0.0066757202148437
R2,validation,100,1.1623580929756525,1.249115588468365,1.0028430850113574,1.1623530382131089,1.0025200791878266,1.0388877791427964,0.9986404487127796,0.0001870859962731,0.0066757202148437
R2,validation,249,1.1622874191098163,1.1706095564964811,1.0025001047235937,1.1622819495980206,1.0010217359310443,1.0384246336734198,0.9981935484451265,0.0002919849341027,0.0066757202148437
R3,train,0,1.1633907876555527,1.245821856855576,1.0012983928291406,1.1633862151419359,1.0006625399689666,1.0404021085207156,0.9995870307474191,0.0001908915990274,0.0066757202148437
R3,validation,0,1.1632117341328843,1.213316561012129,1.0011855901674243,1.1632099351519636,1.000485225183013,1.0411380651582083,0.9991943567283201,0.0002228549648861,0.0066757202148437
R3,validation,25,1.1625090215605418,1.2485532278316502,1.0018013413517917,1.162503559171202,1.001103378793756,1.0392044683309638,1.0003339077197295,0.0002009070692174,0.0066757202148437
R3,validation,50,1.1623252527867785,1.210504199024139,1.0035584804773325,1.1623204934763656,1.0022826659584498,1.0391858409975865,0.998939509131739,0.0003370091906695,0.0066757202148437
R3,validation,100,1.1624077283711534,1.2492289787086526,1.0028604895997049,1.1624026629910045,1.002344485291414,1.0391015094041576,0.9984417297562592,0.0001720107918492,0.0066757202148437
R3,validation,249,1.1623443545952479,1.1705031685868088,1.002528663841935,1.162334761305726,1.001127399780649,1.0387690856242933,0.9982678300921839,0.0001949739693485,0.0066757202148437
R3-high,train,0,1.1632111636765567,1.245438798974283,1.0014721433408162,1.1632048276246345,1.0007799893635192,1.039123489695178,0.9995958974904956,0.000247419404056,0.0066757202148437
R3-high,validation,0,1.163239742226537,1.2132726157627363,1.0011829963320626,1.1632363129683103,1.0005608969757158,1.0399994421383838,0.9998351150086623,0.0003145542312006,0.0066757202148437
R3-high,validation,25,1.162477007228464,1.2487119202873254,1.0017161757093467,1.162472280587294,1.0008229375112707,1.037625023677613,1.0001038384776397,0.0002830022948006,0.0066757202148437
R3-high,validation,50,1.1623531996493426,1.2106085542007134,1.0033019506626664,1.162342148926747,1.001668279058885,1.0375728657594012,0.9991116366576289,0.0001833585435815,0.0066757202148437
R3-high,validation,100,1.1624091781424517,1.249507155871646,1.0028509263264493,1.162401635790173,1.0022630701239863,1.0372082558444427,0.9985569799156505,0.0002922664410072,0.0066757202148437
R3-high,validation,249,1.1624293172273505,1.1706188695495876,1.0021674314163678,1.1624247195289446,1.000962198400727,1.0369882058212287,0.9982538995024695,0.0002392186003055,0.0066757202148437
R3-max,train,0,1.1632405983685707,1.2452650570451804,1.0019749611575317,1.1632344245450068,1.001044442245086,1.038863442508812,0.9997347231563456,0.0001664453115095,0.0066757202148437
R3-max,validation,0,1.1632878415468162,1.2138299717217649,1.0028476343311397,1.1632825280748247,1.0020624003208203,1.0395726557779645,1.0003858368174359,0.000221297591453,0.0066757202148437
R3-max,validation,25,1.1625237114097362,1.2490835928324227,1.0020967275885462,1.1625177577049208,1.001738178093413,1.0366500414889392,1.0001727018229234,0.0001928390791816,0.0066757202148437
R3-max,validation,50,1.1626203098796695,1.2107558130980112,1.003162656724046,1.1626131891309657,1.002405955991321,1.0364372052493886,1.0001251194365997,0.0001545662165378,0.0066757202148437
R3-max,validation,100,1.1624607426613567,1.2497042844537096,1.0022451367340368,1.162449544373699,1.0019793031453417,1.0359697675813555,0.9992376121332482,0.0002544089161349,0.0066757202148437
R3-max,validation,249,1.16257210011034,1.1702159415702373,1.0021953862224044,1.1625648874600056,1.0010708260162795,1.0358377883520014,0.9984530629950373,0.0002950078613401,0.0066757202148437
S0,train,0,1.1631478583136334,1.2453916660946012,1.0011347746620816,1.1631408983053761,1.0004137463962723,1.0409586603905494,0.9996330581239975,0.0002026204677469,0.0066757202148437
S0,validation,0,1.1630415064637365,1.213130414658289,1.001313251429101,1.1630385242692753,1.0010105722449354,1.0416087177140148,0.998965089301272,0.0002217806845852,0.0066757202148437
S0,validation,25,1.1622747815651153,1.2480039587703327,1.001905283291616,1.1622710106093863,1.0011952083080322,1.039930827636011,1.0001626630453337,0.0002218823841872,0.0066757202148437
S0,validation,50,1.1620946536350933,1.21021180156782,1.0036313727882178,1.1620881979816962,1.0020741426894417,1.0399746932522702,0.9990175579719526,0.0001632318727688,0.0066757202148437
S0,validation,100,1.1620741901527716,1.2486688407724307,1.0026569905174663,1.1620648288738824,1.0023246826256895,1.0398849240207817,0.9985465586473442,0.0002703104130323,0.0066757202148437
S0,validation,249,1.1621619283011069,1.1700748165563915,1.0030671941369427,1.1621578285123784,1.001542442288836,1.0395600086746537,0.998242939240682,0.0001669254520062,0.0066757202148437
Step5_S1,train,0,1.1652018364706218,1.2493605033887236,1.003856585978107,1.1651994809257267,1.003076384037404,1.0416766991483666,1.0016046240699081,0.0002974216710767,0.0066757202148437
Step5_S1,validation,0,1.1650355839787099,1.2171091697000487,1.0044601114398306,1.1650343742639113,1.0036398736968872,1.0423980176190408,1.0012675178548676,0.0001712461060943,0.0066757202148437
Step5_S1,validation,25,1.164252721609166,1.2508307067760414,1.003126083378303,1.164248780778438,1.002899862221589,1.0386121924579559,1.0010482838618626,0.000210583522727,0.0054407934578319
Step5_S1,validation,50,1.164485646335026,1.2117834734630135,1.0035384416652855,1.164483363998372,1.0029983711449553,1.0380738366643465,1.0005428459129337,0.0003061372698913,0.0057017651759325
Step5_S1,validation,100,1.1642378064889733,1.2515990042900924,1.002935952793882,1.1642352649888306,1.002251525989624,1.0375904265984897,1.000178899597099,0.000245616818961,0.0065578798183767
Step5_S1,validation,249,1.1645506089017381,1.1715372403712736,1.003328179129618,1.1645432251432901,1.0022701384912407,1.0382271363454412,1.0000260748157404,0.0002175512837183,0.0066757202148437
