experiment,step,horizon_s,actual_time_s,log_id,metric,rmse,median,p95
S0,1,0.02,0.0198209655172413,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_m,0.0076879896254586,0.0041638988966857,0.0181372872995945
S0,1,0.02,0.0202991777777777,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_m,0.0049318863010362,0.003628113026113,0.0077925622262649
S0,1,0.02,0.0196660294117647,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_m,0.0072171675194277,0.00394985051501,0.0160971762680532
S0,1,0.02,0.0202619848484848,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,position_m,0.0070197803304836,0.0039691857741009,0.0160541714361858
S0,1,0.02,0.02003135,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,position_m,0.0079116764888579,0.0059306878347223,0.0135083263302833
S0,1,0.02,0.0198209655172413,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_m_s,0.2187388740867665,0.1649162486252649,0.3811674957860286
S0,1,0.02,0.0202991777777777,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_m_s,0.2161839489697318,0.156213499789847,0.4072116618040223
S0,1,0.02,0.0196660294117647,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_m_s,0.1934785052812823,0.1356778845160268,0.3584514285591939
S0,1,0.02,0.0202619848484848,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,velocity_m_s,0.2133840034391674,0.1689086671235239,0.3745893117556253
S0,1,0.02,0.02003135,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,velocity_m_s,0.2161249050479493,0.1682233763950066,0.3794311767213499
S0,1,0.02,0.0198209655172413,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,attitude_deg,0.5190471384440979,0.345359025090689,0.9779064081275564
S0,1,0.02,0.0202991777777777,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,attitude_deg,0.5514667976154117,0.359239502024976,1.0443335901860349
S0,1,0.02,0.0196660294117647,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,attitude_deg,0.5509906507087906,0.37735516266987,1.0666840672288846
S0,1,0.02,0.0202619848484848,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,attitude_deg,0.5782965752530221,0.3661502518308793,1.180045194109065
S0,1,0.02,0.02003135,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,attitude_deg,0.5918051873409778,0.349903028680617,1.195940899356532
S0,1,0.02,0.0198209655172413,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_rad_s,0.5229684371905953,0.3965279239755937,0.9942662985483004
S0,1,0.02,0.0202991777777777,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_rad_s,0.4922271546004525,0.4230476718096552,0.8712986439947903
S0,1,0.02,0.0196660294117647,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,body_rate_rad_s,0.5118848778002041,0.4322201761455669,0.8818279900786539
S0,1,0.02,0.0202619848484848,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_rad_s,0.5904820889085697,0.4537940413563299,1.0440083776276918
S0,1,0.02,0.02003135,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,body_rate_rad_s,0.5700550810874737,0.4497658563806949,1.0246258585925885
S0,1,0.02,0.0198209655172413,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_hz,0.1087360615361778,0.0920977592468261,0.1850891590118408
S0,1,0.02,0.0202991777777777,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,frequency_hz,0.1134331847572092,0.0955309867858886,0.1836937904357909
S0,1,0.02,0.0196660294117647,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,frequency_hz,0.1064428120546007,0.0944764614105224,0.1804145574569702
S0,1,0.02,0.0202619848484848,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,frequency_hz,0.1080638533853302,0.0896137952804565,0.1893118023872375
S0,1,0.02,0.02003135,2026.8.10-8.20/log_22_2026-8-20-07-09-54.ulg,frequency_hz,0.1074852271131293,0.0980414152145385,0.171163237094879
S0,1,0.02,0.0198209655172413,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,phase_rad,0.0439507450018309,0.0344077206098418,0.0678000315221297
S0,1,0.02,0.0202991777777777,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,phase_rad,0.0546263750877276,0.0362193466343967,0.0880867566709952
