experiment,partition,perturbation,step,actual_duration_s,amplification_median,amplification_p90,velocity_rmse,attitude_rmse,body_rate_rmse,nominal_velocity_rmse
R1,train,attitude_0_+1,0,0.0,0.9999999252948054,1.000000224115584,0.0,1.9999998692745469,0.0,0.0
R1,train,attitude_0_+1,1,0.019418666247899286,0.998764151965307,0.999672492426761,0.26074524659574655,2.137069368875156,0.6371885539122188,0.26056204965055446
R1,train,attitude_0_+1,2,0.03983761618534719,0.9956523444357703,0.997875466440559,0.5254419708847806,2.1658947374739355,0.8274435041717441,0.5244199004630118
R1,train,attitude_0_+1,3,0.05942251582940416,0.9899577542124391,0.994749666628069,0.7882345886911495,2.556171135375559,1.0694263099618277,0.7864086495417898
R1,train,attitude_0_+1,4,0.07967704907059665,0.9800512851161105,0.9881314288489049,0.9648180765567422,3.038351937419263,1.1764255057082944,0.9625758427736131
R1,train,attitude_0_+1,5,0.09976108148694035,0.9647499803898865,0.9767181858590537,1.099450596176898,3.738610565789034,1.1092773105555824,1.0969574131443778
R1,train,attitude_0_+1,6,0.11951449786623315,0.9443403344551564,0.9543802569111643,1.1933388111022623,4.5026567445266465,1.0346379349887647,1.190740315656034
R1,train,attitude_0_+1,7,0.1400955148041248,0.9182900728002122,0.9349474934539573,1.2310532148473063,5.296502395320437,1.0064944561684304,1.2286863351351145
R1,train,attitude_0_+1,8,0.15985106527805326,0.8980439191839205,0.9175853114646326,1.2270509903116,5.857063824792942,0.9519230381752155,1.2246896083814838
R1,train,attitude_0_+1,9,0.17993723129232722,0.8791255756969061,0.9135684505022057,1.1968977073374552,6.358700700125266,0.9311942959722708,1.1945383755718477
R1,train,attitude_0_+1,10,0.20002128159006433,0.866204378471457,0.9171483981338643,1.168686744376562,6.811747626012209,0.9301034131849026,1.1663856273438737
R1,train,attitude_0_+1,11,0.21977459862828252,0.8678061325494268,0.9326327380574408,1.1910957617477804,7.186172989916958,0.9437277688649359,1.1892545064488875
R1,train,attitude_0_+1,12,0.23936379800240196,0.8723655026352257,0.9409735058027261,1.23668990702605,7.481118817400398,0.8862579751474422,1.2354423880911545
R1,train,attitude_0_+1,13,0.2597764144341151,0.8821789637642453,0.9561930979870685,1.2920447779401203,7.73616360185386,0.8682237624060519,1.2908457478397384
R1,train,attitude_0_+1,14,0.27986662884553276,0.9007768219663155,0.9731185758201696,1.3173780491766998,7.904446532098203,1.0253860644723858,1.3162071186826625
R1,train,attitude_0_+1,15,0.2996200790007909,0.9111053754122792,0.9789590279360075,1.322092807803036,8.127392854140378,1.0145787735936038,1.3212079952942293
R1,train,attitude_0_+1,16,0.32019907732804614,0.91647720184223,0.9768606934883216,1.3091935522197222,8.425684789620922,0.9710652657924189,1.3079016430889647
R1,train,attitude_0_+1,17,0.33962389876445137,0.9249039851486073,0.9837131245821178,1.31216628546494,8.662597741545934,0.9010525587117746,1.3102372995997387
R1,train,attitude_0_+1,18,0.35954357832670214,0.9190607315879709,1.0001263339546314,1.3219989128128273,8.861887554907193,0.9433100992471211,1.3201546866309426
R1,train,attitude_0_+1,19,0.37995829780896506,0.9196984898344907,1.0030383125590638,1.3302990064534819,9.174114716731816,0.8992217520862689,1.3286692855277578
R1,train,attitude_0_+1,20,0.40021076301733655,0.9294565570616953,1.015823658388086,1.3130526182275724,9.541137657690198,0.9261945843571954,1.3115498024534673
R1,train,attitude_0_-1,0,0.0,0.9999999252948054,1.0000002689387009,0.0,1.9999998952260696,0.0,0.0
R1,train,attitude_0_-1,1,0.019418666247899286,0.9987333734251211,0.9996410938334598,0.2604486933254742,2.066666953179076,0.6337890346924495,0.26056204965055446
R1,train,attitude_0_-1,2,0.03983761618534719,0.9955360658003354,0.9975123693126,0.5236153833840689,2.4951952603091687,0.8213574489302132,0.5244199004630118
R1,train,attitude_0_-1,3,0.05942251582940416,0.9897787979187133,0.9942124914555934,0.7849533294912239,3.060684069584331,1.062640678854644,0.7864086495417898
R1,train,attitude_0_-1,4,0.07967704907059665,0.9796808967611562,0.9864154281167942,0.9609261227826134,3.671413293218957,1.1692796302460655,0.9625758427736131
