experiment,partition,kind,step,amplification_median,amplification_p90,contraction_fraction,velocity_rmse,attitude_rmse,body_rate_rmse
R1,train,attitude,0,0.9999999252948054,1.0000006723467516,0.5555555555555556,0.0,1.9999999099850856,0.0
R1,train,attitude,1,0.999115303732645,0.9999522484395953,0.9444444444444444,0.2605913788161965,2.1033594043697232,0.6354686525365523
R1,train,attitude,2,0.9969575935962707,0.9999437843410441,0.9083333333333333,0.5245135765229354,2.3422056581921766,0.8242962185821672
R1,train,attitude,3,0.9927080259525847,1.0006915609276892,0.8305555555555556,0.7865813138596724,2.8330301621351173,1.065788566085461
R1,train,attitude,4,0.9878025467000848,1.0031595142668246,0.7194444444444444,0.9628857237215899,3.3930169326105974,1.1724247062560103
R1,train,attitude,5,0.9844641956678457,1.0073212510131893,0.6361111111111111,1.097423545051764,4.04027595959173,1.1072848474924057
R1,train,attitude,6,0.9907988226461327,1.0141985439957568,0.5666666666666667,1.1913750266897845,4.77200947957075,1.0362228653950183
R1,train,attitude,7,0.9985243856431557,1.0263156742704105,0.5138888888888888,1.2295124901946453,5.488455542262888,1.008003534368839
R1,train,attitude,8,1.0001817203859271,1.0428056507009216,0.49444444444444446,1.2256831731474198,6.01872899694544,0.9528435680688552
R1,train,attitude,9,1.000826911799312,1.0574036732544199,0.4777777777777778,1.195684619463601,6.470944394998869,0.9342637649295847
R1,train,attitude,10,1.0012650204131945,1.0692375587836502,0.46944444444444444,1.1676579914442884,6.904821626688638,0.9320630413304556
R1,train,attitude,11,1.002406366376686,1.0750107089896497,0.46111111111111114,1.1905839341037652,7.279492137790644,0.9417578569128982
R1,train,attitude,12,1.0035738218056993,1.076366339333406,0.4666666666666667,1.2368093597775882,7.579018584973512,0.8817765431411979
R1,train,attitude,13,1.0055906379450095,1.0663483428520202,0.45,1.2922482494050744,7.8873502889146305,0.8616439206004138
R1,train,attitude,14,1.0063249153029856,1.0622179524053206,0.44722222222222224,1.3176914048118278,8.054897346696114,1.0182250664333692
R1,train,attitude,15,1.0054578868141597,1.0590101935238068,0.4527777777777778,1.3228264478411849,8.323891492941444,1.0115407820229747
R1,train,attitude,16,0.9979171444686405,1.0619987374822109,0.5111111111111111,1.3097572215591127,8.627852799287464,0.9678696685598802
R1,train,attitude,17,0.990856644466773,1.065652292142134,0.5333333333333333,1.312347434445341,8.87444310991622,0.8979445327282749
R1,train,attitude,18,0.9908070402175415,1.0651235138335344,0.5194444444444445,1.3225684920207126,9.062605145173317,0.9423768655865297
R1,train,attitude,19,0.9945901112733875,1.0731037468390365,0.5111111111111111,1.3313327006317335,9.345327669355841,0.8991700805889049
R1,train,attitude,20,0.9912949398436421,1.0774594556232469,0.5138888888888888,1.3144621754642234,9.68722204879079,0.9307359412215849
R1,train,rate,0,0.9999999573113164,1.000000170754734,0.5,0.0,1.428636563053906e-06,0.08726645536306915
R1,train,rate,1,0.9316636565452937,0.9668440068418007,1.0,0.2605653072119127,0.668940649230473,0.6405639251026364
R1,train,rate,2,0.7975014911157166,0.9279554442841816,1.0,0.5244254557010062,1.2561148009903378,0.8269813280704285
R1,train,rate,3,0.630136430471319,0.8964996987032714,1.0,0.7864209472351343,2.0531639190054496,1.0669117495446128
R1,train,rate,4,0.4813453867961852,0.8751923509392279,1.0,0.9626106638275543,2.795860016598436,1.172729960291687
R1,train,rate,5,0.4013840183472547,0.8623335034619669,1.0,1.0970140884023756,3.569164877447686,1.1072724913023024
R1,train,rate,6,0.42984652735243245,0.858299064281132,1.0,1.1908182776336453,4.39114511462907,1.0361861430327421
R1,train,rate,7,0.4614608272418005,0.8650539764252598,0.9916666666666667,1.2287845430199975,5.168370082022893,1.008092094748456
R1,train,rate,8,0.4623181227292822,0.8755342446058152,0.9888888888888889,1.2248009655975016,5.733507700377014,0.9528990349083615
R1,train,rate,9,0.43664762438329796,0.8902731700087068,0.9861111111111112,1.1946614083475167,6.210181973968906,0.9342087908754625
R1,train,rate,10,0.3961993496635192,0.9093190676859813,0.9833333333333333,1.1665245099660997,6.663861006600259,0.9320050816556543
R1,train,rate,11,0.37826570563625517,0.9298521451831883,0.9666666666666667,1.1894004633128126,7.053851194665706,0.9414158639069927
R1,train,rate,12,0.3796296731088443,0.944752536262756,0.9472222222222222,1.235594601448835,7.365395294466103,0.8814510280805724
R1,train,rate,13,0.40214910627825884,0.9604947823329639,0.9361111111111111,1.2910010881098286,7.685402933945197,0.861367630682004
R1,train,rate,14,0.41006117629862815,0.9896929112708884,0.9111111111111111,1.3163696403700245,7.861137794023823,1.017948125197732
R1,train,rate,15,0.397561246734956,1.0113971357259375,0.8888888888888888,1.321386973261805,8.140293585851731,1.0108249058102978
R1,train,rate,16,0.3850069744771191,1.0366391848305592,0.875,1.308110586752016,8.454803172238933,0.9670859716150119
R1,train,rate,17,0.3792200965344814,1.0568142494142687,0.8666666666666667,1.310473436838348,8.709769371604432,0.8971392071809096
R1,train,rate,18,0.37938594207009035,1.070008023764961,0.85,1.320422477188867,8.90460301855947,0.9417036195577009
R1,train,rate,19,0.385118413285538,1.077024540699647,0.8388888888888889,1.328959154782117,9.195003957995665,0.8984654625875311
R1,train,rate,20,0.3770742644782512,1.0883266684914659,0.8194444444444444,1.3118587291122674,9.544667095313994,0.9298001065502342
R1,train,velocity,0,1.0,1.000000443066556,0.4708333333333333,0.5639186291714184,1.428636563053906e-06,0.0
R1,train,velocity,1,0.9944127293860698,0.996421669548692,1.0,0.618337279468107,0.6620936628062827,0.6354061600551104
R1,train,velocity,2,0.9884362789359584,0.9912632359938507,1.0,0.7652803409851163,1.242898124081555,0.8241465785240288
