experiment,log_id,metric,linear_slope,exponential_log_slope,linear_fit_rmse,exponential_fit_rmse,late_3to5_slope
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,attitude_deg,7.990583756891251,0.3616346907571464,0.3997190519685467,2.766291368381947,7.286484664277719
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,body_rate_rad_s,0.003147854365626611,0.004104510835733417,0.02909126100472892,0.029097941239490825,-0.0018327239362562662
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,frequency_hz,0.0026598029118989376,0.013760337680058047,0.009325171007466186,0.009334338876693994,0.000237166477538535
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,phase_rad,0.3112759656993283,0.3030539469960339,0.07272652717830345,0.1600745523788575,0.18434701448388816
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,position_m,2.546918347947097,0.8078623139703867,0.675048190033847,1.5086652225220263,3.6034329804516534
R1,2026.8.10-8.20/log_15_2026-8-20-06-08-16.ulg,velocity_m_s,0.9392907919745737,0.3809522271836707,0.15217987304938843,0.464346270565834,0.6201781795363682
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,attitude_deg,7.573592279471663,0.3950758506203282,0.6762454729755605,1.9526408208759418,8.567963622080407
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,body_rate_rad_s,0.006020687969489528,0.008676364502130602,0.020196514049192434,0.020205974840412422,-0.0016408267630232333
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,frequency_hz,0.0018522752387159461,0.009823857189145128,0.007263285387030253,0.00726506307125016,0.0013536157600311837
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,phase_rad,0.2439869264074827,0.2887109350718247,0.020388250362197314,0.05747108962750498,0.2681165573337749
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,position_m,2.1624353525502644,0.8049746702731914,0.6436614501179798,1.1335647589731142,3.247700438966783
R1,2026.8.10-8.20/log_16_2026-8-20-06-20-52.ulg,velocity_m_s,0.8689228636604052,0.4018408632555115,0.07363602994470317,0.26803336248912485,0.8806879431504789
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,attitude_deg,8.485486597915573,0.4065458137406115,0.8553354664244998,2.2383234616472185,9.480571412474331
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,body_rate_rad_s,0.006346210850282436,0.00858842727119852,0.02369517416134188,0.02370597204609294,0.00020924753869596162
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,frequency_hz,0.0015282935857542765,0.00788441353216067,0.011005483116367816,0.0110104118032586,0.0006721572977334684
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,phase_rad,0.27641524777711557,0.2817394253240961,0.042360977554620885,0.10480846373166455,0.2245090872052609
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,position_m,2.316529662096457,0.7801281996597865,0.635397533138254,1.2201059794612013,3.3781032455693834
R1,2026.8.10-8.20/log_17_2026-8-20-06-29-34.ulg,velocity_m_s,0.9273778730943654,0.38665754521041196,0.0646547577210883,0.28483038969321955,0.9283717749536903
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,attitude_deg,8.164731978188271,0.376283354836658,0.40747684539694856,2.689204308499403,7.853965241653203
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,body_rate_rad_s,0.00961132127786448,0.01248070597075437,0.026934935461086575,0.02696319321531454,0.0005976998387263021
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,frequency_hz,0.0007793166073481035,0.004171642401723484,0.010776470445667001,0.010781037729342057,-0.001966214508485581
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,phase_rad,0.2762939663832332,0.28942546905236155,0.04442022812492178,0.10519366536647903,0.26272606771111534
R1,2026.8.10-8.20/log_19_2026-8-20-06-51-18.ulg,position_m,2.495492094960153,0.8240246578683307,0.7129360409668319,1.4434090522850018,3.642550891637635
