experiment,partition,n_windows,horizon_steps,position,velocity,attitude,body_rate,phase,frequency,group_A,group_B,group_C,group_priority,legacy_state_sum,candidate_added_weighted_loss
R2,train,4214,20,0.008601756246409529,0.08168891488119613,0.04644990835284021,0.1823154943259225,0.004224175559449632,0.00037200950872293164,0.09029067112760567,0.22876540267876272,0.3194280833150913,0.3104543175599589,0.32365225887454097,0.0
R2,train,4214,50,0.07495390048129444,0.13807810942001914,0.11748141103026762,0.1953013286199624,0.015478092900821678,0.00039464868381091246,0.21303200990131357,0.31278273965023,0.5262093982353545,0.45086084907024915,0.5416874911361762,0.0
R3,train,4214,5,0.0007337179611720796,0.06767100934690641,0.010899123385651138,0.16934066314266144,0.0012935693417757566,0.00038810318975594896,0.06840472730807849,0.18023978652831257,0.24903261702614704,0.24791079587521897,0.2503261863679228,0.0
R3,train,4214,10,0.0031399893646022834,0.08005909050634023,0.021956801781361,0.17683424578920381,0.0024249832954533544,0.0003951432937957297,0.08319907987094252,0.19879104757056482,0.28238527073530306,0.27885013807690506,0.28481025403075644,0.0
R3,train,4214,20,0.008961054254022676,0.08451720811232154,0.046402016733289045,0.18425326379600385,0.004292656250048728,0.00037569213356565475,0.09347826236634421,0.2306552805292929,0.32450923502920276,0.3151724886416144,0.32880189127925147,0.03151724886416144
R3,train,4214,50,0.07669872005558942,0.14017293498620187,0.11755588827155244,0.19703146389552526,0.015637442141180787,0.0003968988372494547,0.2168716550417913,0.31458735216707767,0.5318559060461184,0.45476028715327954,0.5474933481872992,0.0
R3-high,train,4214,5,0.0006241903263485651,0.051417038093953545,0.010463615174846848,0.16176780694799509,0.001254619399382232,0.00036525408929140063,0.05204122842030211,0.17223142212284193,0.22463790463243544,0.22364846021679546,0.22589252403181767,0.0
R3-high,train,4214,10,0.0025209506420444255,0.06091858780760306,0.021253151997683396,0.16580467815782768,0.002303361520193266,0.0003720717637224621,0.06343953844964748,0.18705783015551108,0.250869440368881,0.24797641796311415,0.25317280188907426,0.0
R3-high,train,4214,20,0.007453008453875752,0.06981007627325993,0.045832043887599136,0.17107817699658004,0.004078125002107521,0.0003603138360118615,0.07726308472713568,0.21691022088417916,0.2945336194473267,0.2867202971574391,0.2986117444494342,0.14336014857871954
R3-high,train,4214,50,0.07069220009697914,0.12975153837602288,0.11817044364823286,0.18635955630431653,0.015340377429458672,0.0003868233245008682,0.200443738473002,0.30452999995254937,0.5053605617500523,0.4342815383285723,0.520700939179511,0.0
R3-max,train,4214,5,0.0004612905991672108,0.029237642177916783,0.010087377486788496,0.15551043561017508,0.0011798239368980721,0.00032735745202419343,0.029698932777083995,0.1655978130969636,0.19562410332607177,0.19483545527488036,0.19680392726296986,0.0
R3-max,train,4214,10,0.0017724962772224248,0.036328196035822706,0.020465460113958268,0.15654492746697368,0.0020747880930302902,0.00032600222827754404,0.03810069231304513,0.17701038758093196,0.21543708212225465,0.21333858361675467,0.21751187021528495,0.0
R3-max,train,4214,20,0.0060999542717854165,0.04894074582281303,0.044532760903486776,0.1595355784463045,0.0037544478035094787,0.00032490004498768365,0.055040700094598445,0.2040683393497913,0.25943393948937743,0.25300908517260434,0.2631883872928869,0.25300908517260434
R3-max,train,4214,50,0.06653364375410456,0.11348341747686995,0.117788827275715,0.17573050364646858,0.014808103013880936,0.0003610747163475716,0.1800170612309745,0.2935193309221836,0.4738974668695056,0.40700274839905354,0.48870556988338654,0.0
