experiment,partition,n_windows,horizon_steps,position,velocity,attitude,body_rate,phase,frequency,group_A,group_B,group_C,group_priority,legacy_state_sum,candidate_added_weighted_loss
S0,train,4214,5,0.0007547358349909343,0.07112837970030494,0.011119332776714768,0.17320966346460775,0.0013009313826913772,0.0003927301455080937,0.07188311553529587,0.1843289962413225,0.2566048419221265,0.2554573759416275,0.2579057733048179,0.0
S0,train,4214,10,0.003279157488893737,0.08446014568909797,0.022356589582466266,0.18153635655385258,0.00245030381039181,0.0003997686658961602,0.08773930317799171,0.20389294613631886,0.29203201798020667,0.2883530918254168,0.29448232179059847,0.0
S0,train,4214,20,0.009361113693015266,0.08806771547394338,0.046634911521951,0.18984185541106108,0.004347216942814794,0.00037816203190541974,0.09742882916695864,0.23647676693301206,0.33428375813187616,0.32454448240695544,0.338630975074691,0.0
S0,train,4214,50,0.07859615770826761,0.14297806710980773,0.1176692565004012,0.20257708402708577,0.01571872173779784,0.00039797037325275237,0.22157422481807534,0.32024634052748696,0.5422185357188151,0.46322440763729467,0.5579372574566129,0.0
R1,train,4214,5,0.0007202106735012244,0.06559410718666132,0.010705052482916328,0.16725587151064147,0.0012885480777700407,0.00038492564716622566,0.06631431786016255,0.1779609239935578,0.24466016750088657,0.24355503118021912,0.2459487155786566,0.024355503118021912
R1,train,4214,10,0.0030699173966709987,0.07808996761048864,0.021785434907435747,0.17585827687452005,0.002409073404059889,0.00039172514170380846,0.08115988500715964,0.1976437117819558,0.27919532193081925,0.2757336793924444,0.28160439533487913,0.0
R1,train,4214,20,0.008783060240267109,0.08299004250459327,0.04641500692310693,0.1831821592628079,0.004259859329981506,0.00037368470623887684,0.09177310274486038,0.22959716618591483,0.3217439536370141,0.3125872086905081,0.3260038129669956,0.0
R1,train,4214,50,0.07585049793654615,0.13902554257565558,0.11727649086974049,0.19624173588163207,0.015570862555551936,0.00039560466317279156,0.21487604051220172,0.31351822675137253,0.5287898719267471,0.4525437693270281,0.544360734482299,0.0
R2,train,4214,5,0.000715031575389568,0.06461252089842666,0.01082690370476424,0.16797544253087462,0.0012847243794507476,0.00038297037097528635,0.06532755247381623,0.17880234623563887,0.2445128690804304,0.24341486713406552,0.24579759345988114,0.0
R2,train,4214,10,0.0030069742552886573,0.07597629358531402,0.021845545262579223,0.17508226914546135,0.0023910107735746,0.00038877191237741076,0.07898326784060268,0.19692781440804058,0.27629985416102065,0.2729041079933546,0.2786908649345953,0.027290410799335463
