experiment,n_origins,numeric_failures,support_failures,clipping_failures
S0,722,0,255,0
R1,722,0,225,0
R2,722,0,207,0
R3,722,0,228,0
R3-high,722,0,234,0
R3-max,722,0,125,0
Step5_S1,722,0,40,0
