comparison,horizon_s,metric,logs_improved,log_count,mean_absolute_gain
drive_gain,0.1,position_rmse_m,2,5,-1.4771523275447506e-06
drive_gain,0.1,velocity_rmse_m_s,0,5,-0.0007494064847599624
drive_gain,0.1,attitude_rmse_deg,0,5,-0.0006584496882806156
drive_gain,0.1,body_rate_rmse_rad_s,0,5,-0.00019836056558140137
drive_gain,0.2,position_rmse_m,0,5,-0.00019549823282280775
drive_gain,0.2,velocity_rmse_m_s,0,5,-0.004898030291640665
drive_gain,0.2,attitude_rmse_deg,5,5,0.003812228175712029
drive_gain,0.2,body_rate_rmse_rad_s,5,5,0.0026428466550352026
drive_gain,0.5,position_rmse_m,0,5,-0.0018028023240912127
drive_gain,0.5,velocity_rmse_m_s,0,5,-0.0076292294954733554
drive_gain,0.5,attitude_rmse_deg,4,5,-8.232533253060836e-05
drive_gain,0.5,body_rate_rmse_rad_s,5,5,0.003106030927620651
drive_gain,1.0,position_rmse_m,0,5,-0.006223921167225299
drive_gain,1.0,velocity_rmse_m_s,0,5,-0.010225263650412741
drive_gain,1.0,attitude_rmse_deg,0,5,-0.08278886298999026
drive_gain,1.0,body_rate_rmse_rad_s,5,5,0.0044213065882943384
drive_gain,2.0,position_rmse_m,0,5,-0.01984071001939016
drive_gain,2.0,velocity_rmse_m_s,2,5,-0.012225454854342566
drive_gain,2.0,attitude_rmse_deg,0,5,-0.3267179763698735
drive_gain,2.0,body_rate_rmse_rad_s,2,5,-0.0007030765303886133
ungated_tail_gain,0.1,position_rmse_m,3,5,0.00018950950739863998
ungated_tail_gain,0.1,velocity_rmse_m_s,0,5,-0.03775424303420953
ungated_tail_gain,0.1,attitude_rmse_deg,5,5,0.015516730159716108
ungated_tail_gain,0.1,body_rate_rmse_rad_s,3,5,0.0018371606118671169
ungated_tail_gain,0.2,position_rmse_m,2,5,-0.0003611420775150864
ungated_tail_gain,0.2,velocity_rmse_m_s,0,5,-0.013090511310809627
ungated_tail_gain,0.2,attitude_rmse_deg,2,5,-0.012247904043094593
ungated_tail_gain,0.2,body_rate_rmse_rad_s,0,5,-0.002610480546956584
ungated_tail_gain,0.5,position_rmse_m,0,5,-0.007510668558409717
ungated_tail_gain,0.5,velocity_rmse_m_s,0,5,-0.04204040269565099
ungated_tail_gain,0.5,attitude_rmse_deg,0,5,-0.16761195352553476
ungated_tail_gain,0.5,body_rate_rmse_rad_s,3,5,0.0013290199129750047
ungated_tail_gain,1.0,position_rmse_m,0,5,-0.040908113588192754
ungated_tail_gain,1.0,velocity_rmse_m_s,1,5,-0.04610003331621075
ungated_tail_gain,1.0,attitude_rmse_deg,1,5,-0.204672800577438
ungated_tail_gain,1.0,body_rate_rmse_rad_s,5,5,0.00630880928898121
ungated_tail_gain,2.0,position_rmse_m,3,5,-0.001857139763803506
ungated_tail_gain,2.0,velocity_rmse_m_s,4,5,0.15451746762622656
ungated_tail_gain,2.0,attitude_rmse_deg,4,5,0.8184837524145401
ungated_tail_gain,2.0,body_rate_rmse_rad_s,5,5,0.017550691521627894
gated_tail_gain,0.1,position_rmse_m,3,5,4.4744625688834806e-05
gated_tail_gain,0.1,velocity_rmse_m_s,0,5,-0.00769397514732093
gated_tail_gain,0.1,attitude_rmse_deg,5,5,0.008561097702815167
gated_tail_gain,0.1,body_rate_rmse_rad_s,2,5,-0.0017997043922623579
gated_tail_gain,0.2,position_rmse_m,0,5,-0.000510696406240807
gated_tail_gain,0.2,velocity_rmse_m_s,0,5,-0.014380984890525328
gated_tail_gain,0.2,attitude_rmse_deg,0,5,-0.038945128506763016
gated_tail_gain,0.2,body_rate_rmse_rad_s,0,5,-0.0010713394308534685
gated_tail_gain,0.5,position_rmse_m,0,5,-0.009252317463548104
gated_tail_gain,0.5,velocity_rmse_m_s,0,5,-0.04899773088801303
gated_tail_gain,0.5,attitude_rmse_deg,0,5,-0.17285992368419228
gated_tail_gain,0.5,body_rate_rmse_rad_s,5,5,0.003172820545586963
gated_tail_gain,1.0,position_rmse_m,0,5,-0.03993028633229847
gated_tail_gain,1.0,velocity_rmse_m_s,1,5,-0.04583807601882661
gated_tail_gain,1.0,attitude_rmse_deg,1,5,-0.14146838179481094
gated_tail_gain,1.0,body_rate_rmse_rad_s,5,5,0.006900747712151545
gated_tail_gain,2.0,position_rmse_m,3,5,0.015131621437784747
gated_tail_gain,2.0,velocity_rmse_m_s,4,5,0.17145017461525675
gated_tail_gain,2.0,attitude_rmse_deg,4,5,1.0182145618212899
gated_tail_gain,2.0,body_rate_rmse_rad_s,5,5,0.017414095330968403
gating_gain,0.1,position_rmse_m,2,5,-0.00014476488170980518
gating_gain,0.1,velocity_rmse_m_s,5,5,0.030060267886888602
gating_gain,0.1,attitude_rmse_deg,2,5,-0.00695563245690094
gating_gain,0.1,body_rate_rmse_rad_s,0,5,-0.003636865004129475
gating_gain,0.2,position_rmse_m,2,5,-0.00014955432872572062
gating_gain,0.2,velocity_rmse_m_s,1,5,-0.0012904735797157007
gating_gain,0.2,attitude_rmse_deg,0,5,-0.02669722446366842
gating_gain,0.2,body_rate_rmse_rad_s,4,5,0.0015391411161031153
gating_gain,0.5,position_rmse_m,0,5,-0.0017416489051383876
gating_gain,0.5,velocity_rmse_m_s,0,5,-0.006957328192362033
gating_gain,0.5,attitude_rmse_deg,2,5,-0.005247970158657545
gating_gain,0.5,body_rate_rmse_rad_s,4,5,0.0018438006326119583
gating_gain,1.0,position_rmse_m,3,5,0.0009778272558942814
gating_gain,1.0,velocity_rmse_m_s,3,5,0.0002619572973841411
gating_gain,1.0,attitude_rmse_deg,5,5,0.06320441878262706
gating_gain,1.0,body_rate_rmse_rad_s,4,5,0.0005919384231703351
gating_gain,2.0,position_rmse_m,4,5,0.016988761201588255
gating_gain,2.0,velocity_rmse_m_s,4,5,0.0169327069890302
gating_gain,2.0,attitude_rmse_deg,5,5,0.1997308094067499
gating_gain,2.0,body_rate_rmse_rad_s,2,5,-0.00013659619065948815
main_v2_control_gain,0.1,position_rmse_m,3,5,4.326747336129006e-05
main_v2_control_gain,0.1,velocity_rmse_m_s,0,5,-0.008443381632080893
main_v2_control_gain,0.1,attitude_rmse_deg,5,5,0.007902648014534552
main_v2_control_gain,0.1,body_rate_rmse_rad_s,2,5,-0.001998064957843759
main_v2_control_gain,0.2,position_rmse_m,0,5,-0.0007061946390636148
main_v2_control_gain,0.2,velocity_rmse_m_s,0,5,-0.019279015182165994
main_v2_control_gain,0.2,attitude_rmse_deg,0,5,-0.03513290033105099
main_v2_control_gain,0.2,body_rate_rmse_rad_s,5,5,0.0015715072241817341
main_v2_control_gain,0.5,position_rmse_m,0,5,-0.011055119787639317
main_v2_control_gain,0.5,velocity_rmse_m_s,0,5,-0.05662696038348638
main_v2_control_gain,0.5,attitude_rmse_deg,0,5,-0.1729422490167229
main_v2_control_gain,0.5,body_rate_rmse_rad_s,5,5,0.006278851473207614
main_v2_control_gain,1.0,position_rmse_m,0,5,-0.04615420749952377
main_v2_control_gain,1.0,velocity_rmse_m_s,1,5,-0.056063339669239355
main_v2_control_gain,1.0,attitude_rmse_deg,1,5,-0.2242572447848012
main_v2_control_gain,1.0,body_rate_rmse_rad_s,5,5,0.011322054300445883
main_v2_control_gain,2.0,position_rmse_m,3,5,-0.004709088581605414
main_v2_control_gain,2.0,velocity_rmse_m_s,4,5,0.15922471976091418
main_v2_control_gain,2.0,attitude_rmse_deg,4,5,0.6914965854514165
main_v2_control_gain,2.0,body_rate_rmse_rad_s,5,5,0.01671101880057979
