model,split,horizon_s,flap_frequency_rmse_hz_per_log_macro,flap_frequency_rmse_hz_per_log_min,flap_frequency_rmse_hz_per_log_max,log_count,window_count
history_no_control_multistep,validation,0.1,0.24627992589018155,0.23970086680286237,0.25812532456912696,5,3920
history_no_control_multistep,validation,0.2,0.2537020140158708,0.2463834446915815,0.2632679406241933,5,3920
history_no_control_multistep,validation,0.5,0.2589985522498351,0.25295086574484066,0.2665217608091168,5,3920
history_no_control_multistep,validation,1.0,0.3236459567458613,0.31555232623969537,0.3345160866212781,5,3920
history_no_control_multistep,validation,2.0,0.37735121535136507,0.3572898344047607,0.4089304378621305,5,3920
v2_drive_state,validation,0.1,0.21137265462013133,0.20600144520038657,0.220988643130438,5,3920
v2_drive_state,validation,0.2,0.19942281651100222,0.1951953678669757,0.20451999882105695,5,3920
v2_drive_state,validation,0.5,0.19031242325788256,0.18801975791998882,0.19381540054059446,5,3920
v2_drive_state,validation,1.0,0.1906290952083472,0.1872620580597086,0.1959807484363269,5,3920
v2_drive_state,validation,2.0,0.19648365758163747,0.19046855823865683,0.20832558910447627,5,3920
v2_drive_tail_ungated,validation,0.1,0.21097228190425604,0.20574002315863424,0.22053411883452717,5,3920
v2_drive_tail_ungated,validation,0.2,0.19937947822900265,0.19541286536033928,0.2043459747459514,5,3920
v2_drive_tail_ungated,validation,0.5,0.18923895738784519,0.18527369027555857,0.1939353846251202,5,3920
v2_drive_tail_ungated,validation,1.0,0.18875147806969697,0.18323312614062698,0.19442901291085152,5,3920
v2_drive_tail_ungated,validation,2.0,0.1943780515554388,0.18782959513039885,0.20756610955765278,5,3920
main_v2_drive_tail_gated,validation,0.1,0.21126972992375603,0.2058960441729974,0.22089302846726724,5,3920
main_v2_drive_tail_gated,validation,0.2,0.19923321292440554,0.1947156065275164,0.20424178469419815,5,3920
main_v2_drive_tail_gated,validation,0.5,0.18924151232927264,0.18533950805840005,0.19399664950506423,5,3920
main_v2_drive_tail_gated,validation,1.0,0.1893402713596592,0.18428082400729812,0.19507322236919608,5,3920
main_v2_drive_tail_gated,validation,2.0,0.1956693243174804,0.18902075078823474,0.20882367862351373,5,3920
