comparison,reference_model,candidate_model,horizon_s,position_rmse_m_per_log_macro_gain_percent,velocity_rmse_m_s_per_log_macro_gain_percent,attitude_rmse_deg_per_log_macro_gain_percent,body_rate_rmse_rad_s_per_log_macro_gain_percent
drive_gain,history_no_control_multistep,v2_drive_state,0.1,-0.0032971184663034715,-0.1072927154411352,-0.026160760515822754,-0.027325355755774276
drive_gain,history_no_control_multistep,v2_drive_state,0.2,-0.20691969645529185,-0.9339512404277162,0.11377269833588277,0.3710071380419686
drive_gain,history_no_control_multistep,v2_drive_state,0.5,-0.9030072135242949,-1.1601750872855683,-0.0012757398614897015,0.4246698382798561
drive_gain,history_no_control_multistep,v2_drive_state,1.0,-1.1530459286833792,-0.9185742186553991,-0.7922066325068774,0.5856927678565425
drive_gain,history_no_control_multistep,v2_drive_state,2.0,-1.0047338749207113,-0.5355119051163654,-1.7217351280717237,-0.08986062937686512
ungated_tail_gain,v2_drive_state,v2_drive_tail_ungated,0.1,0.42298596011516365,-5.3994912369532795,0.6163315169852074,0.25301073970922694
ungated_tail_gain,v2_drive_state,v2_drive_tail_ungated,0.2,-0.38145154328158376,-2.472988358991828,-0.3659445945866484,-0.36782819970442643
ungated_tail_gain,v2_drive_state,v2_drive_tail_ungated,0.5,-3.728357921582693,-6.319753679430836,-2.597335667305117,0.18248424456036547
ungated_tail_gain,v2_drive_state,v2_drive_tail_ungated,1.0,-7.492262963139901,-4.103645820010425,-1.9431205055213474,0.8406548805633799
ungated_tail_gain,v2_drive_state,v2_drive_tail_ungated,2.0,-0.09311007904351518,6.732280340916264,4.240231939287487,2.2411504066247296
gated_tail_gain,v2_drive_state,main_v2_drive_tail_gated,0.1,0.0998701791629624,-1.1003677480078873,0.34005066015345814,-0.24785233071236915
gated_tail_gain,v2_drive_state,main_v2_drive_tail_gated,0.2,-0.5394163251463552,-2.716777624701267,-1.1636080110023075,-0.15095644155731477
gated_tail_gain,v2_drive_state,main_v2_drive_tail_gated,0.5,-4.592926826679398,-7.365619028556935,-2.6786588652473005,0.4356516819157215
gated_tail_gain,v2_drive_state,main_v2_drive_tail_gated,1.0,-7.313175288566698,-4.0803273993694456,-1.343071051809911,0.9195312424309379
gated_tail_gain,v2_drive_state,main_v2_drive_tail_gated,2.0,0.7586432080067441,7.4700333738387235,5.2749561531865075,2.22370764046006
gating_gain,v2_drive_tail_ungated,main_v2_drive_tail_gated,0.1,-0.32448832099221175,4.078884478939601,-0.27799422284252573,-0.502133522160342
gating_gain,v2_drive_tail_ungated,main_v2_drive_tail_gated,0.2,-0.15736451250325023,-0.23790588096774967,-0.7947550532580568,0.21607696613261015
gating_gain,v2_drive_tail_ungated,main_v2_drive_tail_gated,0.5,-0.83349329192149,-0.9836980550947577,-0.07926443451308737,0.2536302726423639
gating_gain,v2_drive_tail_ungated,main_v2_drive_tail_gated,1.0,0.16660517662988925,0.02239923535559531,0.5886120129890836,0.07954506130768813
gating_gain,v2_drive_tail_ungated,main_v2_drive_tail_gated,2.0,0.8509609566309109,0.7910057580684149,1.0805416876563405,-0.01784264671405386
main_v2_control_gain,history_no_control_multistep,main_v2_drive_tail_gated,0.1,0.09657635353477843,-1.2088410778856986,0.31397885947647064,-0.27524541299925953
main_v2_control_gain,history_no_control_multistep,main_v2_drive_tail_gated,0.2,-0.7474521802242702,-3.6761022434545434,-1.0485114444342547,0.2206107556581656
main_v2_control_gain,history_no_control_multistep,main_v2_drive_tail_gated,0.5,-5.537408500760501,-8.611248192836186,-2.6799687778276873,0.8584714389025226
main_v2_control_gain,history_no_control_multistep,main_v2_drive_tail_gated,1.0,-8.550545487172373,-5.036382453552185,-2.145917582268506,1.4998383823023809
main_v2_control_gain,history_no_control_multistep,main_v2_drive_tail_gated,2.0,-0.23846832161333814,6.97452438675543,3.6440417981945767,2.135845248764414
