policy,destination,steps,offset,origin,log_id,window_id,assessable,action_index,selected_abs_error,hold_abs_error,effect,beneficial,harmful,empirical_allowance,nominal_improvement,margin,passes_empirical_gate
nominal_seed17,ensemble,5,-0.2,32,9.17数据/log_11_2026-9-17-06-40-30.ulg,validation:9.17数据/log_11_2026-9-17-06-40-30.ulg:2:1075,False,0,1.2810699939727783,1.2810699939727783,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,33,9.17数据/log_12_2026-9-17-06-46-02.ulg,validation:9.17数据/log_12_2026-9-17-06-46-02.ulg:0:25,False,0,1.25231671333313,1.25231671333313,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,34,9.17数据/log_12_2026-9-17-06-46-02.ulg,validation:9.17数据/log_12_2026-9-17-06-46-02.ulg:1:3025,True,2,0.7622506618499756,0.7926138043403625,-0.0303631424903869,True,False,1.054569421708583,0.030363142490386963,-1.024206279218196,False
nominal_seed17,ensemble,5,-0.2,35,9.17数据/log_12_2026-9-17-06-46-02.ulg,validation:9.17数据/log_12_2026-9-17-06-46-02.ulg:2:875,False,0,1.9846405982971191,1.9846405982971191,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,36,9.17数据/log_13_2026-9-17-06-52-30.ulg,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:0:25,False,0,0.1248008012771606,0.1248008012771606,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,37,9.17数据/log_13_2026-9-17-06-52-30.ulg,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:1:2925,True,2,0.5834258794784546,0.6095632314682007,-0.026137351989746,True,False,1.054569421708583,0.026137351989746094,-1.028432069718837,False
nominal_seed17,ensemble,5,-0.2,38,9.17数据/log_13_2026-9-17-06-52-30.ulg,validation:9.17数据/log_13_2026-9-17-06-52-30.ulg:2:1325,False,0,0.7534052133560181,0.7534052133560181,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,39,9.17数据/log_6_2026-9-17-06-02-24.ulg,validation:9.17数据/log_6_2026-9-17-06-02-24.ulg:0:25,False,0,1.1142010688781738,1.1142010688781738,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,40,9.17数据/log_6_2026-9-17-06-02-24.ulg,validation:9.17数据/log_6_2026-9-17-06-02-24.ulg:1:2625,True,1,0.3022718429565429,0.3206610083580017,-0.0183891654014587,True,False,1.054569421708583,0.018389165401458796,-1.0361802563071243,False
nominal_seed17,ensemble,5,-0.2,41,9.17数据/log_6_2026-9-17-06-02-24.ulg,validation:9.17数据/log_6_2026-9-17-06-02-24.ulg:2:1275,False,0,0.6882073283195496,0.6882073283195496,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,42,9.17数据/log_7_2026-9-17-06-12-16.ulg,validation:9.17数据/log_7_2026-9-17-06-12-16.ulg:0:25,False,0,1.3830981254577637,1.3830981254577637,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,43,9.17数据/log_7_2026-9-17-06-12-16.ulg,validation:9.17数据/log_7_2026-9-17-06-12-16.ulg:1:2575,True,1,0.9527342915534972,0.9797061085700988,-0.0269718170166015,True,False,1.054569421708583,0.026971817016601562,-1.0275976046919815,False
nominal_seed17,ensemble,5,-0.2,44,9.17数据/log_7_2026-9-17-06-12-16.ulg,validation:9.17数据/log_7_2026-9-17-06-12-16.ulg:2:925,False,0,0.405704140663147,0.405704140663147,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,45,9.17数据/log_8_2026-9-17-06-17-52.ulg,validation:9.17数据/log_8_2026-9-17-06-17-52.ulg:0:25,False,0,1.347541332244873,1.347541332244873,,False,False,1.054569421708583,0.0,-1.054569421708583,False
nominal_seed17,ensemble,5,-0.2,46,9.17数据/log_8_2026-9-17-06-17-52.ulg,validation:9.17数据/log_8_2026-9-17-06-17-52.ulg:1:2925,True,1,0.6294333934783936,0.656631588935852,-0.0271981954574584,True,False,1.054569421708583,0.027198195457458496,-1.0273712262511245,False
nominal_seed17,ensemble,5,-0.2,47,9.17数据/log_8_2026-9-17-06-17-52.ulg,validation:9.17数据/log_8_2026-9-17-06-17-52.ulg:2:1275,False,0,0.2448810040950775,0.2448810040950775,,False,False,1.054569421708583,0.0,-1.054569421708583,False
