split,flight_id,event_id,start_us,end_us,duration_s,sign,neutral_before,neutral_after,full_cycle,yaw_neutral_fraction,roll_stick_mean,roll_change_deg,differential_range,rudder_range,yaw_rate_sp_range
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:113061650,113061650,114037517,0.9758669999999938,1,False,True,False,1.0,0.6898602283000946,7.381371243394295,0.6363649070262909,0.08835253119468689,0.225627139210701
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:115259836,115259836,115624717,0.3648809999999969,1,False,True,False,1.0,0.19571379297658018,3.0197526281021663,0.25725358398631215,0.039500705897808075,0.13267584890127182
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:210062198,210062198,210417144,0.354945999999984,1,False,False,False,1.0,0.32597957473052175,0.48314916744200775,0.267747700214386,0.034478411078453064,0.043706970289349556
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:210860580,210860580,212003924,1.1433439999999848,1,False,False,False,1.0,0.3314405110632551,6.477551596111595,0.33953720331192017,0.078327476978302,0.1614086739718914
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:212063050,212063050,212428073,0.36502299999997945,1,False,False,False,1.0,0.43723075483974655,-3.2276029223117337,0.1581885814666748,0.03605218231678009,0.062191697768867016
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:212457289,212457289,213226424,0.7691349999999773,1,False,True,False,1.0,0.38917032801187956,7.1641751334624,0.5667585656046867,0.05262904614210129,0.13112078234553337
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:213659840,213659840,214024790,0.3649499999999932,1,False,False,False,1.0,0.3420526949982894,0.7555460238929754,0.22607922554016113,0.0041037797927856445,0.02441430278122425
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:214063952,214063952,214823117,0.7591649999999959,1,False,False,False,1.0,0.660678580785409,7.9509211310698005,0.24184852093458176,0.04846126586198807,0.11917709559202194
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:214862318,214862318,215227252,0.3649340000000052,1,False,False,False,1.0,0.5600377603581077,2.4773976393956136,0.1275903806090355,0.03800836205482483,0.10207980871200562
train,2026.9.6/log_24_2026-9-6-06-28-38.ulg,2026.9.6/log_24_2026-9-6-06-28-38.ulg:215266453,215266453,215621508,0.355054999999993,1,False,False,False,1.0,0.7146758437156677,2.568401167610215,0.06948387995362282,0.04790245741605759,0.06578120589256287
