steps,channel,caliper,partition,pairs,flights,context_median,contrast_rmse,observed_contrast_rms,direction_n,direction_agreement,train_contrast_error_p95,coverage,contrast_exceeds_error_fraction,descriptive_data_gate
5,common,0.5,train,14,15,0.46367120753824986,0.19020018829202853,0.601391176519331,9,1.0,0.30386182144284246,0.9285714285714286,0.5,False
5,common,0.5,validation,6,7,0.44818721147481533,0.3972720986457412,0.9513750138585554,4,1.0,0.30386182144284246,0.6666666666666666,0.6666666666666666,False
5,common,1.0,train,332,41,0.6638471314894794,0.2418000669931176,1.009407973747732,245,0.9959183673469387,0.4681999444961547,0.9487951807228916,0.6265060240963856,True
5,common,1.0,validation,108,17,0.6695819036286821,0.28625541713359454,1.0546602622172465,84,1.0,0.4681999444961547,0.8703703703703703,0.6574074074074074,True
5,differential,0.5,train,63,31,0.44970588873516,0.4590905392740247,0.8223302085765729,49,0.9183673469387755,0.9681468700990079,0.9365079365079365,0.1111111111111111,False
5,differential,0.5,validation,9,12,0.4524883257087233,0.790537363370056,1.1619565654920145,7,1.0,0.9681468700990079,0.8888888888888888,0.0,False
5,differential,1.0,train,540,41,0.6319567801955679,0.5149853870887439,1.0291939194188,434,0.880184331797235,1.0165386347100132,0.95,0.21666666666666667,True
5,differential,1.0,validation,177,17,0.679449626791702,0.6793846414880469,1.1828597374752194,144,0.8958333333333334,1.0165386347100132,0.8813559322033898,0.288135593220339,True
5,drive,0.5,train,70,25,0.45193852044342814,0.10192442913437769,0.36702616626756107,13,1.0,0.2037382200360298,0.9428571428571428,0.38571428571428573,False
5,drive,0.5,validation,5,6,0.4587724751710964,0.11187960961829248,0.43741841261671827,2,1.0,0.2037382200360298,0.8,0.6,False
5,drive,1.0,train,317,40,0.5895785933113111,0.11729282363291615,0.7232236541071845,122,1.0,0.23718100190162658,0.9495268138801262,0.526813880126183,True
5,drive,1.0,validation,96,14,0.6773986031342459,0.12330311375135072,0.8922995528546687,55,1.0,0.23718100190162658,0.9583333333333334,0.7083333333333334,True
5,rudder,0.5,train,66,32,0.45100438246992236,0.13188026834770794,0.20216326915065155,57,0.9298245614035088,0.2531357700936496,0.9393939393939394,0.030303030303030304,True
5,rudder,0.5,validation,11,11,0.4672268172804614,0.07590815504985399,0.12084741659539867,7,0.8571428571428571,0.2531357700936496,1.0,0.0,True
5,rudder,1.0,train,505,41,0.652577099947446,0.14995398896750858,0.23396572707541932,410,0.8341463414634146,0.2927069436758756,0.9485148514851485,0.07920792079207921,True
5,rudder,1.0,validation,163,17,0.6536366703378194,0.1688402431489641,0.2043981751796388,130,0.7076923076923077,0.2927069436758756,0.9141104294478528,0.06748466257668712,True
