steps,channel,caliper,partition,pairs,flights,context_median,contrast_rmse,observed_contrast_rms,direction_n,direction_agreement,train_contrast_error_p95,coverage,contrast_exceeds_error_fraction,descriptive_data_gate
10,common,0.5,train,15,16,0.4581213037993623,0.2632411459744531,0.945028091323219,13,1.0,0.4113432735204695,0.9333333333333333,0.7333333333333333,False
10,common,0.5,validation,9,12,0.4672879817650642,0.24752115246565023,1.010717580045352,8,1.0,0.4113432735204695,0.8888888888888888,1.0,False
10,common,1.0,train,382,41,0.6666573839947163,0.25853246680216835,1.1253008433565812,319,0.9905956112852664,0.5090235002338886,0.9476439790575916,0.680628272251309,True
10,common,1.0,validation,113,17,0.6736755499205396,0.27191313029768666,1.1248400790536641,96,0.9895833333333334,0.5090235002338886,0.9557522123893806,0.7079646017699115,True
10,differential,0.5,train,79,30,0.4544954788681047,0.4747277170536657,0.7052891549336616,60,0.8333333333333334,0.8304975874722,0.9493670886075949,0.16455696202531644,True
10,differential,0.5,validation,15,13,0.4615549717001386,0.6994361070621884,0.6519716476267697,12,0.75,0.8304975874722,0.8,0.06666666666666667,True
10,differential,1.0,train,554,41,0.6285167057858551,0.5375782509276721,0.9615548654759556,449,0.8930957683741648,1.1766964331269265,0.9494584837545126,0.10649819494584838,True
10,differential,1.0,validation,181,17,0.6618535351146606,0.707536179078693,1.1822063397591183,147,0.8979591836734694,1.1766964331269265,0.9060773480662984,0.16574585635359115,True
10,drive,0.5,train,117,28,0.455550897856629,0.15523092717695822,0.30145201234517743,46,0.9782608695652174,0.28310482902452333,0.9487179487179487,0.2222222222222222,False
10,drive,0.5,validation,9,10,0.4455043180944474,0.1268008198343315,0.20961121141795908,2,1.0,0.28310482902452333,1.0,0.1111111111111111,False
10,drive,1.0,train,476,40,0.5879474179720886,0.16016582728586373,0.4327626982389191,253,0.9604743083003953,0.32346112094819546,0.9495798319327731,0.29831932773109243,True
10,drive,1.0,validation,125,15,0.664344938956441,0.17677464173505933,0.5192881967818286,70,1.0,0.32346112094819546,0.928,0.44,True
10,rudder,0.5,train,66,28,0.4389443874656078,0.12987623560807096,0.22508696752638993,47,0.9361702127659575,0.24542740383185446,0.9393939393939394,0.25757575757575757,False
10,rudder,0.5,validation,7,10,0.471125741513129,0.14028083137130282,0.22261077737220603,6,0.8333333333333334,0.24542740383185446,1.0,0.14285714285714285,False
10,rudder,1.0,train,501,41,0.6470163831860022,0.18201577750751008,0.27910957284877685,392,0.8520408163265306,0.37165316194295883,0.9500998003992016,0.08183632734530938,True
10,rudder,1.0,validation,144,17,0.6511102242337172,0.17395319455502617,0.2685786331953386,121,0.859504132231405,0.37165316194295883,0.9722222222222222,0.06944444444444445,True
25,common,0.5,train,5,9,0.4285547533984637,0.252905271364541,0.7006533082967829,4,1.0,0.35632449984550474,0.8,0.6,False
25,common,0.5,validation,1,2,0.4635406894455582,0.3141079843044281,0.6167252212762833,1,1.0,0.35632449984550474,1.0,0.0,False
25,common,1.0,train,135,41,0.6882399395141173,0.2818205620184895,0.8483045415680659,105,0.9523809523809523,0.589732590317726,0.9481481481481482,0.4962962962962963,True
25,common,1.0,validation,30,16,0.6825440891175827,0.28115043757998465,0.9351403922695498,25,0.92,0.589732590317726,0.9666666666666667,0.4,True
25,differential,0.5,train,35,25,0.4494517295279375,0.485548307050824,0.5958635744150015,26,0.7692307692307693,1.0094877913594245,0.9428571428571428,0.11428571428571428,False
25,differential,0.5,validation,5,7,0.4635406894455582,0.42156996025579985,0.7991172968001031,4,0.75,1.0094877913594245,1.0,0.0,False
25,differential,1.0,train,221,40,0.6364973335607015,0.5496279524385866,0.8727523884161769,182,0.8516483516483516,1.0991923809051514,0.9502262443438914,0.08597285067873303,True
25,differential,1.0,validation,45,16,0.73328088300814,0.622476689678422,1.070983505556385,37,0.8648648648648649,1.0991923809051514,0.9555555555555556,0.24444444444444444,True
25,drive,0.5,train,38,20,0.4448487765299236,0.1877406461872559,0.3462891784651312,24,0.9166666666666666,0.33067081430926915,0.9473684210526315,0.42105263157894735,False
25,drive,0.5,validation,1,2,0.4235900748106466,0.02054101973772049,0.133675467222929,0,,0.33067081430926915,1.0,0.0,False
25,drive,1.0,train,206,39,0.5957200376852124,0.2449338894356266,0.5021117337605524,152,0.9539473684210527,0.456308213993907,0.9466019417475728,0.33495145631067963,True
25,drive,1.0,validation,33,13,0.6240117502036251,0.3404437732656931,0.5634679548265921,21,0.8095238095238095,0.456308213993907,0.8484848484848485,0.30303030303030304,True
25,rudder,0.5,train,14,15,0.47174050248471355,0.21421458935321247,0.3709478774653408,11,0.7272727272727273,0.3867002442479133,0.9285714285714286,0.2857142857142857,False
25,rudder,0.5,validation,1,2,0.4549773710926866,0.04849605821073055,0.2514864504337311,1,1.0,0.3867002442479133,1.0,0.0,False
25,rudder,1.0,train,130,40,0.6339980294996014,0.20841629879247117,0.3644347424695097,104,0.8653846153846154,0.40462017711251974,0.9461538461538461,0.17692307692307693,True
25,rudder,1.0,validation,40,17,0.7321908804834008,0.21062131050740393,0.3942382557051416,30,0.9333333333333333,0.40462017711251974,0.975,0.25,True
