window_id,log_id,segment_id,start_sample_in_segment,state_sample_count,history_start_timestamp_us,origin_timestamp_us,end_timestamp_us,history_span_s,cohort,mode,command_pattern,n_high_channels,drive_activity,drive_high,common_activity,common_high,differential_activity,differential_high,rudder_activity,rudder_high
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7525,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7525,51,256197400,256690189,257695715,0.492789,Sep7,Stabilized,mixed_change,2,0.010142491274614685,False,0.2020815576107774,True,0.34502689436576184,False,0.4297026668802544,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7575,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7575,51,257192795,257695715,258691344,0.5029199999999999,Sep7,Stabilized,sustained,2,0.41613126026681224,True,0.14963560483272506,False,0.45539370601323953,False,0.22760180361255888,True
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7625,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7625,51,258188250,258691344,259696356,0.5030939999999999,Sep7,Stabilized,sustained,1,0.033125939644574304,False,0.4121260402190689,True,0.27988437007705746,False,0.20451416545530707,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7675,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7675,51,259193484,259696356,260691827,0.502872,Sep7,Stabilized,sustained,2,0.005856119103240683,False,0.19110774737772362,True,0.6363583737474883,True,0.05410266649224138,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7725,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7725,51,260198713,260691827,261697027,0.493114,Sep7,Stabilized,mixed_change,3,0.42369463175764666,True,0.18331552652091365,True,1.027318008738384,True,0.06783950184530953,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7775,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7775,51,261194148,261697027,262692124,0.502879,Sep7,Stabilized,sustained,1,0.0020703273619530464,False,0.26426044206155247,True,0.37299932950073644,False,0.11634115477972881,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7825,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7825,51,262189515,262692124,263697684,0.502609,Sep7,Stabilized,lower_change,0,0.004140654723906093,False,0.09810478303414354,False,0.18025176657890551,False,0.12724503250823682,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7875,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7875,51,263194801,263697684,264692752,0.502883,Sep7,Stabilized,sustained,2,0.0,False,0.3676396292217408,True,0.848339690291322,True,0.14315174147911514,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7925,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7925,51,264190163,264692752,265688181,0.502589,Sep7,Stabilized,sustained,2,0.006866499052804569,False,0.31120432940827847,True,1.025624455914272,True,0.0783556488905672,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:7975,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,7975,51,265195412,265688181,266694020,0.4927689999999999,Sep7,Stabilized,sustained,1,0.35586585211384414,True,0.15091269834884144,False,0.2357665427681628,False,0.11967608415087144,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:8025,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,8025,51,266190820,266694020,267699094,0.5032,Sep7,Stabilized,lower_change,0,0.23345443072119987,False,0.11662675146615768,False,0.08979982482873351,False,0.09048476331797804,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:8075,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,8075,51,267196127,267699094,268694168,0.5029669999999999,Sep7,Stabilized,mixed_change,2,0.449467394029538,True,0.2095606311818817,True,0.11469321903842628,False,0.13143395310530423,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:8125,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,8125,51,268191538,268694168,269689506,0.50263,Sep7,Stabilized,lower_change,0,0.011711889170892904,False,0.12633747984060187,False,0.31415412572546453,False,0.16071871558739953,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:8175,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,8175,51,269196731,269689506,270695054,0.4927749999999999,Sep7,Stabilized,sustained,1,0.005855944585446452,False,0.19080284219219626,True,0.40062152413729313,False,0.08335043209160513,False
validation:2026.9.7/log_21_2026-9-7-05-54-56.ulg:0:8225,2026.9.7/log_21_2026-9-7-05-54-56.ulg,0,8225,51,270192161,270695054,271690188,0.5028929999999999,Sep7,Stabilized,lower_change,0,0.0,False,0.15605574140916248,False,0.14009762647614374,False,0.07174148938661296,False
