mode,pattern,horizon,cohort,metric,seed,value
ALL_original,ALL,1s,ALL,attitude_deg,42,6.791357065137423
ALL_original,ALL,1s,ALL,body_rate_rad_s,17,0.6179617016979126
ALL_original,ALL,1s,ALL,body_rate_rad_s,23,0.6331251400447657
ALL_original,ALL,1s,ALL,body_rate_rad_s,42,0.6121323463723045
ALL_original,ALL,1s,ALL,p_rad_s,17,0.5146079867613826
ALL_original,ALL,1s,ALL,p_rad_s,23,0.5141008205211633
ALL_original,ALL,1s,ALL,p_rad_s,42,0.5184803036774817
ALL_original,ALL,1s,ALL,position_m,17,0.4710118358619498
ALL_original,ALL,1s,ALL,position_m,23,0.48130270101640393
ALL_original,ALL,1s,ALL,position_m,42,0.46972623233621336
ALL_original,ALL,1s,ALL,q_rad_s,17,0.2947057140912929
ALL_original,ALL,1s,ALL,q_rad_s,23,0.32710857783312025
ALL_original,ALL,1s,ALL,q_rad_s,42,0.27503089305570877
ALL_original,ALL,1s,ALL,r_rad_s,17,0.16743041035874964
ALL_original,ALL,1s,ALL,r_rad_s,23,0.16288493862009604
ALL_original,ALL,1s,ALL,r_rad_s,42,0.16733937987892838
ALL_original,ALL,1s,ALL,roll_deg,17,5.112954101594484
ALL_original,ALL,1s,ALL,roll_deg,23,4.676657141061616
ALL_original,ALL,1s,ALL,roll_deg,42,5.26912134035858
ALL_original,ALL,1s,ALL,velocity_m_s,17,0.6397393092867327
ALL_original,ALL,1s,ALL,velocity_m_s,23,0.6528093336943106
ALL_original,ALL,1s,ALL,velocity_m_s,42,0.6506966114497089
ALL_original,ALL,1s,Sep17,attitude_deg,17,7.675610016839577
ALL_original,ALL,1s,Sep17,attitude_deg,23,7.172736071181631
ALL_original,ALL,1s,Sep17,attitude_deg,42,7.847912808215364
ALL_original,ALL,1s,Sep17,body_rate_rad_s,17,0.6087628786367514
ALL_original,ALL,1s,Sep17,body_rate_rad_s,23,0.635914735532969
ALL_original,ALL,1s,Sep17,body_rate_rad_s,42,0.6074177776532983
ALL_original,ALL,1s,Sep17,p_rad_s,17,0.4987098657638182
ALL_original,ALL,1s,Sep17,p_rad_s,23,0.4950106325132614
ALL_original,ALL,1s,Sep17,p_rad_s,42,0.4976883174289375
ALL_original,ALL,1s,Sep17,position_m,17,0.3575994088262163
ALL_original,ALL,1s,Sep17,position_m,23,0.3842396949936463
ALL_original,ALL,1s,Sep17,position_m,42,0.3626683426390193
ALL_original,ALL,1s,Sep17,q_rad_s,17,0.2930436391331126
ALL_original,ALL,1s,Sep17,q_rad_s,23,0.35501170240496566
ALL_original,ALL,1s,Sep17,q_rad_s,42,0.28940901023317717
ALL_original,ALL,1s,Sep17,r_rad_s,17,0.18682440245442547
ALL_original,ALL,1s,Sep17,r_rad_s,23,0.17759286559566986
ALL_original,ALL,1s,Sep17,r_rad_s,42,0.19086966079333864
ALL_original,ALL,1s,Sep17,roll_deg,17,6.028053271012955
ALL_original,ALL,1s,Sep17,roll_deg,23,5.292171704910113
ALL_original,ALL,1s,Sep17,roll_deg,42,6.3436344297770875
ALL_original,ALL,1s,Sep17,velocity_m_s,17,0.6744544644740484
ALL_original,ALL,1s,Sep17,velocity_m_s,23,0.6945381047741767
ALL_original,ALL,1s,Sep17,velocity_m_s,42,0.6955118791321241
ALL_original,ALL,1s,Sep7,attitude_deg,17,5.915279808353674
ALL_original,ALL,1s,Sep7,attitude_deg,23,5.982187191717056
ALL_original,ALL,1s,Sep7,attitude_deg,42,5.852196404623697
ALL_original,ALL,1s,Sep7,body_rate_rad_s,17,0.6261384333078338
ALL_original,ALL,1s,Sep7,body_rate_rad_s,23,0.6306454996108074
ALL_original,ALL,1s,Sep7,body_rate_rad_s,42,0.6163230741225322
ALL_original,ALL,1s,Sep7,p_rad_s,17,0.528739649870329
ALL_original,ALL,1s,Sep7,p_rad_s,23,0.5310698765281874
