mode,pattern,interval,axis,true_amplitude,pred_amplitude,ratio
ALL_original,ALL,early,p,0.8004581122269115,0.6421804084514154,0.8022661006768235
ALL_original,ALL,early,q,0.7215625776398621,0.6878810235950789,0.9533213679748315
ALL_original,ALL,early,r,0.13529606769243163,0.09401255641241611,0.6948654016030587
ALL_original,ALL,late1s,p,0.8575579258877188,0.7143816397403465,0.833041848456872
ALL_original,ALL,late1s,q,0.7453948691803355,0.7141696125052155,0.9581091070435507
ALL_original,ALL,late1s,r,0.270764889646328,0.21648283278483627,0.7995232803913582
ALL_original,ALL,late500,p,0.8607228190780543,0.7267187888820209,0.8443122138442094
ALL_original,ALL,late500,q,0.7668881383157456,0.7270818793876974,0.9480937871650076
ALL_original,ALL,late500,r,0.26924766882938944,0.23646537934173742,0.8782448530374287
ALL_original,lower_change,early,p,0.7840467895548265,0.6168561691188719,0.7867593839254368
ALL_original,lower_change,early,q,0.7359092176765812,0.7106301763863234,0.9656492394944188
ALL_original,lower_change,early,r,0.12593819546734322,0.08518767863760186,0.6764244820364422
ALL_original,lower_change,late1s,p,0.8141676199238196,0.6698176839877323,0.8227024357102364
ALL_original,lower_change,late1s,q,0.7561538715583964,0.7280735273166096,0.9628642458922883
ALL_original,lower_change,late1s,r,0.2517520650443561,0.19888388441998708,0.7899990190147826
ALL_original,lower_change,late500,p,0.8238614794820914,0.6874895582573884,0.8344722691605496
ALL_original,lower_change,late500,q,0.7682579181528583,0.7375517645695364,0.9600314518630026
ALL_original,lower_change,late500,r,0.2405519739999877,0.21165999331807203,0.8798929802924121
ALL_original,mixed_change,early,p,0.7896624493873149,0.6406076607462112,0.811242400146097
ALL_original,mixed_change,early,q,0.7069024540600425,0.6433119498341932,0.9100434524443621
ALL_original,mixed_change,early,r,0.1461232902399405,0.10101598568040597,0.6913065365181248
ALL_original,mixed_change,late1s,p,0.8410196199515405,0.690816539166209,0.8214035948483744
ALL_original,mixed_change,late1s,q,0.7776284692251062,0.7108529394880074,0.9141292630352905
ALL_original,mixed_change,late1s,r,0.2977872849004888,0.23785968641599184,0.7987570271695016
ALL_original,mixed_change,late500,p,0.8397180098309317,0.6960632137072739,0.8289249552327915
ALL_original,mixed_change,late500,q,0.8089216655346657,0.733000128485383,0.9061447600131942
ALL_original,mixed_change,late500,r,0.3153340788710433,0.2688724645543415,0.8526590767384123
ALL_original,multi_high,early,p,0.8341171326066794,0.6937837122211886,0.8317581369574101
ALL_original,multi_high,early,q,0.7359990409969838,0.6796225731073139,0.9234014383859762
ALL_original,multi_high,early,r,0.15549619308792414,0.10577014446172567,0.6802105078027135
ALL_original,multi_high,late1s,p,0.9556661893964113,0.801288730523335,0.8384608971354532
ALL_original,multi_high,late1s,q,0.7829855427447806,0.7301382909044486,0.9325054564161245
ALL_original,multi_high,late1s,r,0.32495499813301076,0.26069930016977794,0.8022627799775166
ALL_original,multi_high,late500,p,0.936173721346361,0.805605915664856,0.8605303666356618
ALL_original,multi_high,late500,q,0.815815092963032,0.7495492519172468,0.9187734553854496
ALL_original,multi_high,late500,r,0.32569381900592387,0.28003901275983334,0.8598229269887983
ALL_original,reversing,early,p,0.6891702549645546,0.5350293177851903,0.7763383778261118
ALL_original,reversing,early,q,0.7047215488531015,0.6620826760738033,0.9394954321338822
ALL_original,reversing,early,r,0.13571297857801892,0.08674579114351351,0.6391856700252506
ALL_original,reversing,late1s,p,0.8676469606072743,0.6417758214413619,0.7396739118318089
ALL_original,reversing,late1s,q,0.8040206446332917,0.8205711177982432,1.0205846370679947
ALL_original,reversing,late1s,r,0.3608644588983549,0.2934377966266035,0.8131523883576922
ALL_original,reversing,late500,p,0.8763130728166905,0.6400148576650989,0.7303495491718848
ALL_original,reversing,late500,q,0.9292777094396318,0.7871019866449789,0.847004053416511
ALL_original,reversing,late500,r,0.3258318438681212,0.2964840085434641,0.9099295054275435
ALL_original,sustained,early,p,0.8206278125436577,0.6683003263325323,0.8143768906162665
ALL_original,sustained,early,q,0.7166558913891699,0.6751641971035386,0.942103742138778
ALL_original,sustained,early,r,0.14194352419603784,0.10058518234372704,0.7086281879602278
ALL_original,sustained,late1s,p,0.8916512021621438,0.7461083940798346,0.8367715899116316
ALL_original,sustained,late1s,q,0.730351990793891,0.6993803561720021,0.9575935507641695
ALL_original,sustained,late1s,r,0.2800416694298103,0.22747207923708349,0.8122794000629865
ALL_original,sustained,late500,p,0.8922167306715286,0.759230104027094,0.8509480689245291
ALL_original,sustained,late500,q,0.7561235925969744,0.7174947895846217,0.9489120516929268
ALL_original,sustained,late500,r,0.28142262621004477,0.24881153151028387,0.8841205657876953
Mission,ALL,early,p,0.7793236870583504,0.6370259185383675,0.8174086443373707
Mission,ALL,early,q,0.7317704231301593,0.6935659564754393,0.9477917316044289
Mission,ALL,early,r,0.13486970086751057,0.09732587658472808,0.7216289200517786
Mission,ALL,late1s,p,0.8474950115024177,0.7062860271058264,0.8333807485825084
Mission,ALL,late1s,q,0.7539050232961042,0.7192023223270271,0.9539693994644638
Mission,ALL,late1s,r,0.27872511543938816,0.22105614644265117,0.7930973356820522
Mission,ALL,late500,p,0.840428768203293,0.7131386091204092,0.8485414066024768
Mission,ALL,late500,q,0.7735446460281165,0.7333221689966668,0.9480023845579203
Mission,ALL,late500,r,0.2843972802342922,0.24917514647406735,0.8761516504967692
Mission,lower_change,early,p,0.7315730464664282,0.5819132167129086,0.7954273596103743
Mission,lower_change,early,q,0.7326957655496499,0.7079067848122994,0.9661674300536535
Mission,lower_change,early,r,0.12292183907957194,0.08718594270687917,0.709279517453692
Mission,lower_change,late1s,p,0.7816582297974993,0.6312082315421409,0.8075245772128122
Mission,lower_change,late1s,q,0.7740851823235121,0.7413719565162831,0.9577395013439784
Mission,lower_change,late1s,r,0.26212048817604355,0.209896014542592,0.8007615734395515
Mission,lower_change,late500,p,0.7896303687319076,0.6472486040738316,0.819685551245032
Mission,lower_change,late500,q,0.7924235023746475,0.756109519839669,0.954173516527265
Mission,lower_change,late500,r,0.2613336082279983,0.23028886888840808,0.8812064795259495
Mission,mixed_change,early,p,0.7691833687360249,0.6085281220212964,0.791135308894252
Mission,mixed_change,early,q,0.7195027622367722,0.6463571542825014,0.8983386697128478
Mission,mixed_change,early,r,0.15125981760604687,0.0971358755197738,0.6421789808894404
Mission,mixed_change,late1s,p,0.8160464848307679,0.6555914511928097,0.803375130436064
Mission,mixed_change,late1s,q,0.7328327805981601,0.6937184044348746,0.9466257825811788
Mission,mixed_change,late1s,r,0.28286285450089876,0.2261038349842971,0.799340851534745
Mission,mixed_change,late500,p,0.7557334608721131,0.6436601211776596,0.8517025571884546
Mission,mixed_change,late500,q,0.7391978618006053,0.7247766100983221,0.9804906744898386
Mission,mixed_change,late500,r,0.31253265097517297,0.26044229569794103,0.8333282774945332
Mission,multi_high,early,p,0.8275998521835272,0.6888483579521659,0.8323447087801171
Mission,multi_high,early,q,0.7548791406738005,0.6949957652636393,0.9206715721980214
Mission,multi_high,early,r,0.14959676006319936,0.10687822558940911,0.714442114550187
Mission,multi_high,late1s,p,0.9380462059947114,0.793893913915063,0.8463270879851934
Mission,multi_high,late1s,q,0.7392469125810144,0.7022036084064137,0.9498904851083283
Mission,multi_high,late1s,r,0.3011535803591176,0.23456029721106178,0.7788726832712893
Mission,multi_high,late500,p,0.9107770219567075,0.7964551705905923,0.8744787707527943
Mission,multi_high,late500,q,0.7619788600470399,0.7136734387810505,0.9366052999646115
Mission,multi_high,late500,r,0.3031835448101907,0.2564291360687804,0.8457884356135451
Mission,reversing,early,p,0.752484232630942,0.6957195987682727,0.9245636899736747
Mission,reversing,early,q,0.7714260040069908,0.6737168955171903,0.8733396230069073
Mission,reversing,early,r,0.15901634218517394,0.08453121219404786,0.5315882067995978
Mission,reversing,late1s,p,0.8772354773765593,0.7283609324463133,0.8302912401861963
Mission,reversing,late1s,q,0.8138710926289194,0.7978776749971447,0.9803489547956376
Mission,reversing,late1s,r,0.44462784263891275,0.3309781289179031,0.7443936190624351
Mission,reversing,late500,p,0.9018525235816769,0.7277772542511327,0.8069803379390567
Mission,reversing,late500,q,0.9682231865185699,0.8061910546109027,0.8326500189586613
Mission,reversing,late500,r,0.3914397050796492,0.3531495467106991,0.9021812098464592
Mission,sustained,early,p,0.8074126761319239,0.666395592380551,0.8253469533981753
Mission,sustained,early,q,0.7326300298530243,0.6884741133163601,0.9397295841865471
Mission,sustained,early,r,0.1382626207713305,0.10205831440604389,0.73814827056429
Mission,sustained,late1s,p,0.8752419070168989,0.7402761653203346,0.8457960700755632
