seed,mode,pattern,horizon,flight_id,cohort,n_origins,metric,value
17,ALL_original,ALL,100ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,velocity_m_s,0.09883831951477882
17,ALL_original,ALL,100ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,attitude_deg,1.2146077739879366
17,ALL_original,ALL,100ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,body_rate_rad_s,0.5445749022317898
17,ALL_original,ALL,100ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,p_rad_s,0.49260528484642396
17,ALL_original,ALL,100ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,q_rad_s,0.198774501959985
17,ALL_original,ALL,100ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,r_rad_s,0.1199606387641256
17,ALL_original,ALL,100ms,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155,roll_deg,0.8213758722270595
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,position_m,0.08520116605069258
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,velocity_m_s,0.11586115213308812
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,attitude_deg,1.2225402637720633
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,body_rate_rad_s,0.5449412823835681
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,p_rad_s,0.48115222889698256
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,q_rad_s,0.21614532167912165
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,r_rad_s,0.13687488370604195
17,ALL_original,ALL,100ms,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140,roll_deg,0.8734872639338684
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,position_m,0.0392252047248909
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,velocity_m_s,0.09883087135281901
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,attitude_deg,1.2962024433458859
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,body_rate_rad_s,0.6126144949965737
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,p_rad_s,0.5660647982409918
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,q_rad_s,0.21002364888275435
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,r_rad_s,0.10371706986926464
17,ALL_original,ALL,100ms,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201,roll_deg,1.003787306111821
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,position_m,0.12782978464594535
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,velocity_m_s,0.11875372556944026
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,attitude_deg,1.3529983087127793
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,body_rate_rad_s,0.5578743898629629
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,p_rad_s,0.508482925791042
17,ALL_original,ALL,100ms,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164,q_rad_s,0.18981900424685394
