seed,mode,pattern,step,elapsed_median_s,elapsed_p05_s,elapsed_p95_s,metric,value
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,position_m,0.008607583569834454
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,velocity_m_s,0.05066389423543039
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,attitude_deg,0.38383432787529065
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,body_rate_rad_s,0.5028783411100951
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,p_rad_s,0.4695486054964819
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,q_rad_s,0.16023997770636825
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,r_rad_s,0.08046851712198026
17,ALL_original,ALL,1,0.019868,0.00998905,0.029610849999999998,roll_deg,0.2805857834393646
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,position_m,0.015687348674336285
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,velocity_m_s,0.07749573231014248
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,attitude_deg,0.7295940304789115
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,body_rate_rad_s,0.5245872246692268
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,p_rad_s,0.4782826988374462
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,q_rad_s,0.1895483001232345
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,r_rad_s,0.09985412668792333
17,ALL_original,ALL,2,0.0397,0.02995105,0.049379,roll_deg,0.5697345882356585
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,position_m,0.022361944512166842
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,velocity_m_s,0.10278933503116061
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,attitude_deg,1.0208710855180567
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,body_rate_rad_s,0.5581680516342287
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,p_rad_s,0.5031632888900901
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,q_rad_s,0.20797848705662855
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,r_rad_s,0.11892105376439416
17,ALL_original,ALL,3,0.0596015,0.058936,0.068976,roll_deg,0.7955365541445738
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,position_m,0.02867883036404174
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,velocity_m_s,0.1233440973692109
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,attitude_deg,1.2148717589201583
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,body_rate_rad_s,0.545181060443151
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,p_rad_s,0.4824534489426623
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,q_rad_s,0.2160017807212791
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,r_rad_s,0.12789571400894548
17,ALL_original,ALL,4,0.0796505,0.07855909999999999,0.088748,roll_deg,0.9234704062942556
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,position_m,0.03536245183250302
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,velocity_m_s,0.14035855362762464
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,attitude_deg,1.3845081999116717
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,body_rate_rad_s,0.5438908711237967
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,p_rad_s,0.4762783239684384
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,q_rad_s,0.2220844076613292
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,r_rad_s,0.13502715242563715
17,ALL_original,ALL,5,0.0996335,0.0901122,0.10864744999999999,roll_deg,1.0327790865519713
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,position_m,0.042081911122717024
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,velocity_m_s,0.15549573422887364
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,attitude_deg,1.5315594946941655
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,body_rate_rad_s,0.5566458988017358
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,p_rad_s,0.4933538281863232
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,q_rad_s,0.2124357924920438
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,r_rad_s,0.14062586583464268
17,ALL_original,ALL,6,0.1196145,0.11802205,0.12828235000000002,roll_deg,1.1269633060724855
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,position_m,0.04872988102079822
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,velocity_m_s,0.16896110314552068
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,attitude_deg,1.686611572134849
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,body_rate_rad_s,0.5576873208165423
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,p_rad_s,0.4937761193520771
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,q_rad_s,0.2121308027635548
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,r_rad_s,0.14540355789285955
17,ALL_original,ALL,7,0.139635,0.1378791,0.147883,roll_deg,1.223749400578256
17,ALL_original,ALL,8,0.15959800000000002,0.15744399999999997,0.16789549999999995,position_m,0.055760363513512684
17,ALL_original,ALL,8,0.15959800000000002,0.15744399999999997,0.16789549999999995,velocity_m_s,0.17850649164108456
17,ALL_original,ALL,8,0.15959800000000002,0.15744399999999997,0.16789549999999995,attitude_deg,1.8371771627306697
17,ALL_original,ALL,8,0.15959800000000002,0.15744399999999997,0.16789549999999995,body_rate_rad_s,0.5647842340388349
17,ALL_original,ALL,8,0.15959800000000002,0.15744399999999997,0.16789549999999995,p_rad_s,0.5024761015388985
17,ALL_original,ALL,8,0.15959800000000002,0.15744399999999997,0.16789549999999995,q_rad_s,0.21018026652683144
17,ALL_original,ALL,8,0.15959800000000002,0.15744399999999997,0.16789549999999995,r_rad_s,0.14535122196268158
