seed,mode,pattern,interval,axis,true_amplitude,pred_amplitude
23,Other_or_transition,multi_high,late1s,p,0.9065431580667067,0.7529636031236117
23,Other_or_transition,multi_high,late1s,q,0.659197356320204,0.6843574415255027
23,Other_or_transition,multi_high,late1s,r,0.134286391490614,0.0934930601687852
42,ALL_original,ALL,early,p,0.8004581122269115,0.6440395667580645
42,ALL_original,ALL,early,q,0.7215625776398621,0.6910170613681433
42,ALL_original,ALL,early,r,0.13529606769243163,0.09336911878760744
42,ALL_original,ALL,late500,p,0.8607228190780543,0.7364933788850174
42,ALL_original,ALL,late500,q,0.7668881383157455,0.7275739765442095
42,ALL_original,ALL,late500,r,0.26924766882938944,0.23489960280836555
42,ALL_original,ALL,late1s,p,0.8575579258877188,0.7245743994324698
42,ALL_original,ALL,late1s,q,0.7453948691803356,0.713577125729805
42,ALL_original,ALL,late1s,r,0.270764889646328,0.21805625589663838
42,ALL_original,lower_change,early,p,0.7840467895548265,0.6180037230816182
42,ALL_original,lower_change,early,q,0.7359092176765812,0.7145299736389125
42,ALL_original,lower_change,early,r,0.12593819546734322,0.08482501928472681
42,ALL_original,lower_change,late500,p,0.8238614794820914,0.698632799274913
42,ALL_original,lower_change,late500,q,0.7682579181528582,0.7391879369766045
42,ALL_original,lower_change,late500,r,0.2405519739999877,0.21037006550244855
42,ALL_original,lower_change,late1s,p,0.8141676199238195,0.6822890985119826
42,ALL_original,lower_change,late1s,q,0.7561538715583964,0.7278622885171779
42,ALL_original,lower_change,late1s,r,0.2517520650443561,0.20071796821405408
42,ALL_original,sustained,early,p,0.8206278125436577,0.67062597855691
42,ALL_original,sustained,early,q,0.7166558913891699,0.6782581358020554
42,ALL_original,sustained,early,r,0.14194352419603784,0.09951302975711862
42,ALL_original,sustained,late500,p,0.8922167306715287,0.7676610293432327
42,ALL_original,sustained,late500,q,0.7561235925969745,0.7169523796925334
42,ALL_original,sustained,late500,r,0.28142262621004477,0.24679271596727811
42,ALL_original,sustained,late1s,p,0.8916512021621437,0.7543535538612905
42,ALL_original,sustained,late1s,q,0.730351990793891,0.6983596611395291
42,ALL_original,sustained,late1s,r,0.2800416694298103,0.22762811001730535
42,ALL_original,reversing,early,p,0.6891702549645546,0.5219733938052132
42,ALL_original,reversing,early,q,0.7047215488531015,0.6700961637635744
42,ALL_original,reversing,early,r,0.13571297857801892,0.0866920935852433
42,ALL_original,reversing,late500,p,0.8763130728166904,0.6447344580067566
42,ALL_original,reversing,late500,q,0.9292777094396318,0.7907856699449266
42,ALL_original,reversing,late500,r,0.3258318438681212,0.2987544375309335
42,ALL_original,reversing,late1s,p,0.8676469606072743,0.6495099038806832
42,ALL_original,reversing,late1s,q,0.8040206446332918,0.8221566987557625
42,ALL_original,reversing,late1s,r,0.36086445889835483,0.31588917520455934
42,ALL_original,mixed_change,early,p,0.7896624493873149,0.6405183271670596
42,ALL_original,mixed_change,early,q,0.7069024540600425,0.6457062662324348
42,ALL_original,mixed_change,early,r,0.1461232902399405,0.10199571686276736
42,ALL_original,mixed_change,late500,p,0.8397180098309317,0.7052739428895368
42,ALL_original,mixed_change,late500,q,0.8089216655346657,0.7319395367267281
42,ALL_original,mixed_change,late500,r,0.3153340788710433,0.2667917285268864
42,ALL_original,mixed_change,late1s,p,0.8410196199515405,0.6954013112034041
42,ALL_original,mixed_change,late1s,q,0.7776284692251062,0.7088910755007343
42,ALL_original,mixed_change,late1s,r,0.2977872849004888,0.2367946231403446
42,ALL_original,multi_high,early,p,0.8341171326066794,0.6946115099756165
42,ALL_original,multi_high,early,q,0.7359990409969838,0.6832162509475542
42,ALL_original,multi_high,early,r,0.15549619308792414,0.10522398439012993
42,ALL_original,multi_high,late500,p,0.936173721346361,0.8111382785665735
42,ALL_original,multi_high,late500,q,0.8158150929630319,0.7489564697996107
42,ALL_original,multi_high,late500,r,0.32569381900592387,0.2806071502558916
42,ALL_original,multi_high,late1s,p,0.9556661893964113,0.8065883873557874
42,ALL_original,multi_high,late1s,q,0.7829855427447806,0.7290177685167661
42,ALL_original,multi_high,late1s,r,0.32495499813301076,0.26048487006550347
42,Stabilized,ALL,early,p,0.7969325507856525,0.6352120612563
42,Stabilized,ALL,early,q,0.737046833923047,0.7030123011810436
42,Stabilized,ALL,early,r,0.13861281622054422,0.09310403433732999
42,Stabilized,ALL,late500,p,0.8627035378356329,0.7312437025818262
42,Stabilized,ALL,late500,q,0.8001205844583392,0.7460718102743599
42,Stabilized,ALL,late500,r,0.27700831128223097,0.24235933143127147
42,Stabilized,ALL,late1s,p,0.8447380862455783,0.7117896695881323
42,Stabilized,ALL,late1s,q,0.7863461424654397,0.7428988791779362
42,Stabilized,ALL,late1s,r,0.28416592192439255,0.2305326202431308
42,Stabilized,lower_change,early,p,0.8347156401784009,0.6580197791444793
42,Stabilized,lower_change,early,q,0.778212352122561,0.7468201862604329
42,Stabilized,lower_change,early,r,0.13332721143280662,0.0847980668259597
42,Stabilized,lower_change,late500,p,0.8493136858624699,0.7338651485622565
42,Stabilized,lower_change,late500,q,0.7783617331915693,0.7473621867594176
42,Stabilized,lower_change,late500,r,0.2318051060180157,0.20591230031376986
42,Stabilized,lower_change,late1s,p,0.8454821620682786,0.7169356583595581
42,Stabilized,lower_change,late1s,q,0.790314854032096,0.7495468017595379
42,Stabilized,lower_change,late1s,r,0.2598131296681003,0.20407015673499493
42,Stabilized,sustained,early,p,0.7849561005339893,0.6290612407407148
42,Stabilized,sustained,early,q,0.7104188074565606,0.6755361019444605
42,Stabilized,sustained,early,r,0.1435718870511441,0.09913862695412744
42,Stabilized,sustained,late500,p,0.8745246279013811,0.7467914689972617
42,Stabilized,sustained,late500,q,0.7714055726871974,0.723187773329629
42,Stabilized,sustained,late500,r,0.29852019330071966,0.2651648853715698
42,Stabilized,sustained,late1s,p,0.8557872304813673,0.7212878284829627
42,Stabilized,sustained,late1s,q,0.7609213265545601,0.7185344413944721
42,Stabilized,sustained,late1s,r,0.2997469880218714,0.24391602115668523
42,Stabilized,reversing,early,p,0.6549930718627603,0.45459750471418886
42,Stabilized,reversing,early,q,0.6599460438998695,0.6337876553908591
42,Stabilized,reversing,early,r,0.1266489455390605,0.0816998997082366
42,Stabilized,reversing,late500,p,0.8558961295796047,0.5958848155355103
42,Stabilized,reversing,late500,q,0.9315852483498225,0.7853447198919373
42,Stabilized,reversing,late500,r,0.30066855363049416,0.2783728612700773
42,Stabilized,reversing,late1s,p,0.859337460575945,0.6160485931737801
42,Stabilized,reversing,late1s,q,0.7979328028559589,0.7958313276915618
42,Stabilized,reversing,late1s,r,0.35563480744371695,0.2907607612880332
42,Stabilized,mixed_change,early,p,0.7544534417930545,0.6445827195833104
42,Stabilized,mixed_change,early,q,0.6975227793624459,0.634252595888766
42,Stabilized,mixed_change,early,r,0.13930669634790163,0.09868213387836308
42,Stabilized,mixed_change,late500,p,0.8290848179978338,0.6849698850331434
42,Stabilized,mixed_change,late500,q,0.8388083890233903,0.717056664251548
42,Stabilized,mixed_change,late500,r,0.32279782556902115,0.2789719586010973
42,Stabilized,mixed_change,late1s,p,0.8012696777914936,0.6495303220087791
42,Stabilized,mixed_change,late1s,q,0.8054958673844901,0.7263197127918473
42,Stabilized,mixed_change,late1s,r,0.31715503657342575,0.2502785682593185
42,Stabilized,multi_high,early,p,0.8113468845839384,0.6725973591677129
42,Stabilized,multi_high,early,q,0.7184799603665513,0.6647905605010072
42,Stabilized,multi_high,early,r,0.15718018364769812,0.10279853676045682
42,Stabilized,multi_high,late500,p,0.9369901100518714,0.7885071555295119
42,Stabilized,multi_high,late500,q,0.860817665833138,0.7710574196693741
42,Stabilized,multi_high,late500,r,0.3468143531033683,0.30051993165758994
42,Stabilized,multi_high,late1s,p,0.9285049797067033,0.7744278358214871
42,Stabilized,multi_high,late1s,q,0.8233720679641677,0.7585472835924625
42,Stabilized,multi_high,late1s,r,0.34040128991766455,0.27937569143253294
42,Mission,ALL,early,p,0.7793236870583504,0.6386127569838186
42,Mission,ALL,early,q,0.7317704231301593,0.6975943394288371
42,Mission,ALL,early,r,0.13486970086751057,0.09563174541400243
42,Mission,ALL,late500,p,0.840428768203293,0.7267011720596988
42,Mission,ALL,late500,q,0.7735446460281165,0.7353532715321998
42,Mission,ALL,late500,r,0.2843972802342922,0.24650789203751963
42,Mission,ALL,late1s,p,0.8474950115024177,0.718893422979416
42,Mission,ALL,late1s,q,0.7539050232961042,0.7188641108244088
42,Mission,ALL,late1s,r,0.27872511543938816,0.22465259113463673
42,Mission,lower_change,early,p,0.7315730464664282,0.5842170009015063
42,Mission,lower_change,early,q,0.7326957655496499,0.7126629474566196
42,Mission,lower_change,early,r,0.12292183907957194,0.08548780387980115
42,Mission,lower_change,late500,p,0.7896303687319076,0.662021030516141
42,Mission,lower_change,late500,q,0.7924235023746475,0.7582364553504598
42,Mission,lower_change,late500,r,0.2613336082279983,0.22843535726703024
42,Mission,lower_change,late1s,p,0.7816582297974993,0.6461511672074366
42,Mission,lower_change,late1s,q,0.7740851823235121,0.741431328951884
42,Mission,lower_change,late1s,r,0.26212048817604355,0.21422402824290065
42,Mission,sustained,early,p,0.8074126761319239,0.6690699407683015
42,Mission,sustained,early,q,0.7326300298530243,0.6919301569948441
42,Mission,sustained,early,r,0.1382626207713305,0.10047351835442964
42,Mission,sustained,late500,p,0.867458708385656,0.757442645472249
42,Mission,sustained,late500,q,0.7687322268862443,0.7266093427401442
42,Mission,sustained,late500,r,0.289788754917684,0.2513636744317022
42,Mission,sustained,late1s,p,0.8752419070168989,0.7519115269229127
42,Mission,sustained,late1s,q,0.7448458762674143,0.7097798088898574
42,Mission,sustained,late1s,r,0.2792579099766719,0.2274552508726313
42,Mission,reversing,early,p,0.752484232630942,0.6957173307740974
42,Mission,reversing,early,q,0.7714260040069908,0.6720527897273718
42,Mission,reversing,early,r,0.15901634218517394,0.08285867037995961
42,Mission,reversing,late500,p,0.9018525235816768,0.7472806669248884
42,Mission,reversing,late500,q,0.9682231865185698,0.8113411935393489
42,Mission,reversing,late500,r,0.3914397050796492,0.3470595730836282
42,Mission,reversing,late1s,p,0.8772354773765593,0.7310087909992147
42,Mission,reversing,late1s,q,0.8138710926289194,0.8026568939552867
42,Mission,reversing,late1s,r,0.44462784263891275,0.34626912987673386
42,Mission,mixed_change,early,p,0.7691833687360249,0.6056170505865104
42,Mission,mixed_change,early,q,0.7195027622367722,0.6522719702746336
42,Mission,mixed_change,early,r,0.15125981760604687,0.09677452640072866
42,Mission,mixed_change,late500,p,0.7557334608721131,0.6617600110195142
42,Mission,mixed_change,late500,q,0.7391978618006053,0.724247224145484
42,Mission,mixed_change,late500,r,0.31253265097517297,0.25265952995100105
42,Mission,mixed_change,late1s,p,0.8160464848307679,0.6669023621280673
42,Mission,mixed_change,late1s,q,0.7328327805981601,0.6963900489693194
42,Mission,mixed_change,late1s,r,0.28286285450089876,0.22410375554584833
42,Mission,multi_high,early,p,0.8275998521835272,0.6877212514263272
42,Mission,multi_high,early,q,0.7548791406738005,0.6986017924393505
42,Mission,multi_high,early,r,0.14959676006319936,0.10417783650015056
42,Mission,multi_high,late500,p,0.9107770219567075,0.8087988698393777
42,Mission,multi_high,late500,q,0.7619788600470399,0.7148235913323884
42,Mission,multi_high,late500,r,0.3031835448101907,0.2528960030568118
42,Mission,multi_high,late1s,p,0.9380462059947114,0.8007543507738392
42,Mission,multi_high,late1s,q,0.7392469125810144,0.6998778390053181
42,Mission,multi_high,late1s,r,0.3011535803591176,0.23703033843221175
42,Other_or_transition,ALL,early,p,0.7435024614832185,0.438232895633645
42,Other_or_transition,ALL,early,q,0.6563394030906873,0.6305082187926585
42,Other_or_transition,ALL,early,r,0.07638406565064171,0.08244140302342887
42,Other_or_transition,ALL,late500,p,0.6709652312997433,0.4394549782790141
42,Other_or_transition,ALL,late500,q,0.6106098361080086,0.6080419645254376
42,Other_or_transition,ALL,late500,r,0.16887792272011692,0.11574544416165769
42,Other_or_transition,ALL,late1s,p,0.7344553063283932,0.5427548145995652
42,Other_or_transition,ALL,late1s,q,0.6540050975493423,0.6438058925999061
42,Other_or_transition,ALL,late1s,r,0.20375284066584748,0.10017202364453458
42,Other_or_transition,lower_change,early,p,0.9535184410720128,0.6814351287149987
42,Other_or_transition,lower_change,early,q,0.7356016149188012,0.7534286746222729
42,Other_or_transition,lower_change,early,r,0.0887650935542104,0.07844127265448869
42,Other_or_transition,lower_change,late500,p,0.6481901162061601,0.5550785395613241
42,Other_or_transition,lower_change,late500,q,0.8227206529352418,0.7412643795876099
42,Other_or_transition,lower_change,late500,r,0.33377160318412286,0.22012526821801784
42,Other_or_transition,lower_change,late1s,p,0.6947529165822394,0.6068020402254405
42,Other_or_transition,lower_change,late1s,q,0.6736529904471623,0.6997088712482754
42,Other_or_transition,lower_change,late1s,r,0.23735398977252864,0.16220708718733678
42,Other_or_transition,sustained,early,p,0.6946465844773617,0.4221806943164789
42,Other_or_transition,sustained,early,q,0.6990101519050563,0.6680117946613158
42,Other_or_transition,sustained,early,r,0.07852155600513758,0.07818904457173706
42,Other_or_transition,sustained,late500,p,0.7898123767259869,0.5296500021677615
42,Other_or_transition,sustained,late500,q,0.5383351130548104,0.5775859809079711
42,Other_or_transition,sustained,late500,r,0.07785612702958038,0.07936300210716682
42,Other_or_transition,sustained,late1s,p,0.8224954385546399,0.6433156597149682
42,Other_or_transition,sustained,late1s,q,0.6600866667060177,0.6358504143257906
42,Other_or_transition,sustained,late1s,r,0.2045846582939616,0.08724032113026899
42,Other_or_transition,multi_high,early,p,0.4729534764611415,0.22104274057229417
42,Other_or_transition,multi_high,early,q,0.7722078924628297,0.7962295006880793
42,Other_or_transition,multi_high,early,r,0.0720984360132422,0.06615733216310792
42,Other_or_transition,multi_high,late500,p,0.9603451163656568,0.6144061051723286
42,Other_or_transition,multi_high,late500,q,0.6331176664554294,0.6859685641255171
42,Other_or_transition,multi_high,late500,r,0.060827503747329835,0.09321576182991795
42,Other_or_transition,multi_high,late1s,p,0.9065431580667067,0.7788734432224442
42,Other_or_transition,multi_high,late1s,q,0.659197356320204,0.6903329614724403
42,Other_or_transition,multi_high,late1s,r,0.134286391490614,0.07001397281371532
