mode,pattern,flight_id,cohort,n_origins
ALL_original,ALL,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,168
ALL_original,ALL,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,182
ALL_original,ALL,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,160
ALL_original,ALL,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,161
ALL_original,ALL,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,150
ALL_original,ALL,2026.9.7/log_27_2026-9-7-06-37-24.ulg,Sep7,155
ALL_original,ALL,2026.9.7/log_28_2026-9-7-06-44-02.ulg,Sep7,140
ALL_original,ALL,2026.9.7/log_29_2026-9-7-06-51-04.ulg,Sep7,201
ALL_original,ALL,2026.9.7/log_30_2026-9-7-06-58-22.ulg,Sep7,164
ALL_original,ALL,9.17数据/log_10_2026-9-17-06-34-34.ulg,Sep17,130
ALL_original,ALL,9.17数据/log_11_2026-9-17-06-40-30.ulg,Sep17,145
ALL_original,ALL,9.17数据/log_12_2026-9-17-06-46-02.ulg,Sep17,144
ALL_original,ALL,9.17数据/log_13_2026-9-17-06-52-30.ulg,Sep17,153
ALL_original,ALL,9.17数据/log_6_2026-9-17-06-02-24.ulg,Sep17,138
ALL_original,ALL,9.17数据/log_7_2026-9-17-06-12-16.ulg,Sep17,131
ALL_original,ALL,9.17数据/log_8_2026-9-17-06-17-52.ulg,Sep17,146
ALL_original,ALL,9.17数据/log_9_2026-9-17-06-28-10.ulg,Sep17,114
ALL_original,lower_change,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,111
ALL_original,lower_change,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,113
ALL_original,lower_change,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,78
ALL_original,lower_change,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,83
ALL_original,lower_change,2026.9.7/log_26_2026-9-7-06-30-26.ulg,Sep7,109
