mode,pattern,attitude_deg,body_rate_rad_s,velocity_m_s
Mission,lower_change,3.308736261676128,0.5284828694211323,0.2672484787486823
Mission,mixed_change,4.401965928970248,0.6130593809481508,0.333512710450275
Mission,reversing,7.937671589849717,0.8150897059976293,0.43969938643951
Mission,sustained,3.98737008616048,0.5509256548383948,0.3069045150828244
Stabilized,lower_change,3.92717145832839,0.571004892785499,0.3316892582693508
Stabilized,mixed_change,5.234402160946694,0.6829220776707037,0.4854370219424355
Stabilized,reversing,7.117843826576043,0.7541836345573243,0.7374676735649409
Stabilized,sustained,4.679931441104888,0.6113796228268557,0.4491897511502504
