mode,pattern,step,metric,mean,std,elapsed_median_s,elapsed_p05_s,elapsed_p95_s
ALL_original,ALL,1,attitude_deg,0.3824843798403313,0.0013335376015908861,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,1,body_rate_rad_s,0.5064967954192476,0.003565995051597655,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,1,p_rad_s,0.47289383364621856,0.003123457704317603,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,1,position_m,0.008603064861377798,4.273092218322916e-06,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,1,q_rad_s,0.16164655906188344,0.0020516619515456593,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,1,r_rad_s,0.08076947549035825,0.0003436243188282129,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,1,roll_deg,0.28150232625761995,0.0008518433910138283,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,1,velocity_m_s,0.05133327424146109,0.0007968627063960277,0.019868,0.00998905,0.029610849999999998
ALL_original,ALL,2,attitude_deg,0.73037599999246,0.001565787850485195,0.0397,0.02995105,0.049379
ALL_original,ALL,2,body_rate_rad_s,0.5290421177745209,0.004156805609914348,0.0397,0.02995105,0.049379
ALL_original,ALL,2,p_rad_s,0.48218312417547887,0.0033809585798045476,0.0397,0.02995105,0.049379
ALL_original,ALL,2,position_m,0.015676265358232435,1.996497753660565e-05,0.0397,0.02995105,0.049379
ALL_original,ALL,2,q_rad_s,0.1917581758523851,0.003745543977789424,0.0397,0.02995105,0.049379
ALL_original,ALL,2,r_rad_s,0.10038684636956981,0.0011564411934040257,0.0397,0.02995105,0.049379
ALL_original,ALL,2,roll_deg,0.5783054990003133,0.007482293917018786,0.0397,0.02995105,0.049379
ALL_original,ALL,2,velocity_m_s,0.07910991617805639,0.00178713549173147,0.0397,0.02995105,0.049379
ALL_original,ALL,3,attitude_deg,1.032070847972844,0.010846990065946697,0.0596015,0.058936,0.068976
ALL_original,ALL,3,body_rate_rad_s,0.5589675165266045,0.0016037360515437308,0.0596015,0.058936,0.068976
ALL_original,ALL,3,p_rad_s,0.5035648655190011,0.0036858342789618313,0.0596015,0.058936,0.068976
ALL_original,ALL,3,position_m,0.022336742593945264,5.3391131870925994e-05,0.0596015,0.058936,0.068976
ALL_original,ALL,3,q_rad_s,0.2090043849206377,0.00391164528079311,0.0596015,0.058936,0.068976
ALL_original,ALL,3,r_rad_s,0.11942247772806451,0.0015608380802303757,0.0596015,0.058936,0.068976
ALL_original,ALL,3,roll_deg,0.8146633045949114,0.016574829056947217,0.0596015,0.058936,0.068976
ALL_original,ALL,3,velocity_m_s,0.1054353866918429,0.0028854529039516502,0.0596015,0.058936,0.068976
ALL_original,ALL,4,attitude_deg,1.2349136006871522,0.019520739702594467,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,4,body_rate_rad_s,0.5441516199227657,0.002907582439956424,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,4,p_rad_s,0.4806919632278957,0.005195849755157378,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,4,position_m,0.02865410331931166,9.478427809618454e-05,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,4,q_rad_s,0.21723692998315988,0.002783484600868515,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,4,r_rad_s,0.1281480079114571,0.0021716416556226046,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,4,roll_deg,0.9493788054858969,0.022443955934059616,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,4,velocity_m_s,0.1270658719723364,0.0038473892105097027,0.0796505,0.07855909999999999,0.088748
ALL_original,ALL,5,attitude_deg,1.4073877652708784,0.020646258362099133,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,5,body_rate_rad_s,0.545328817446893,0.002643354718696412,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,5,p_rad_s,0.4768284816407711,0.0040431722462370475,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,5,position_m,0.03533975990047323,0.00015990873590763545,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,5,q_rad_s,0.22417155639852027,0.002371296648200166,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,5,r_rad_s,0.13540866448959998,0.002326861500170139,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,5,roll_deg,1.0592107968095477,0.02379864865448481,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,5,velocity_m_s,0.14492896236407948,0.004558853008184936,0.0996335,0.0901122,0.10864744999999999
ALL_original,ALL,6,attitude_deg,1.5601333231040968,0.024755517930611502,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,6,body_rate_rad_s,0.5560959095445691,0.0017445500692211467,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,6,p_rad_s,0.4913348610931347,0.0037757252748959,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,6,position_m,0.04206337723346376,0.00023139908771750332,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,6,q_rad_s,0.2159893016995009,0.003593068344486816,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,6,r_rad_s,0.13987917698020894,0.0019479179799510062,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,6,roll_deg,1.1542876369799733,0.027021525044719597,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,6,velocity_m_s,0.1604757728103721,0.004986675073135995,0.1196145,0.11802205,0.12828235000000002
ALL_original,ALL,7,attitude_deg,1.720186686011336,0.029090034165764195,0.139635,0.1378791,0.147883
ALL_original,ALL,7,body_rate_rad_s,0.5593218777764422,0.0031892869631960545,0.139635,0.1378791,0.147883
ALL_original,ALL,7,p_rad_s,0.493713311223454,0.005215591673830519,0.139635,0.1378791,0.147883
ALL_original,ALL,7,position_m,0.048730471815774605,0.0003096216936697182,0.139635,0.1378791,0.147883
ALL_original,ALL,7,q_rad_s,0.21657997426102396,0.005007768887118238,0.139635,0.1378791,0.147883
ALL_original,ALL,7,r_rad_s,0.14466184534454357,0.0015821840436243814,0.139635,0.1378791,0.147883
ALL_original,ALL,7,roll_deg,1.2511628852302188,0.026681367773617272,0.139635,0.1378791,0.147883
ALL_original,ALL,7,velocity_m_s,0.1739042092030719,0.0048170360870540075,0.139635,0.1378791,0.147883
ALL_original,ALL,8,attitude_deg,1.8738838767491517,0.03204649271660624,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,8,body_rate_rad_s,0.5658493571139546,0.0026821490729616315,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,8,p_rad_s,0.5013397718779026,0.006047279451929099,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,8,position_m,0.05575468805633029,0.0003742982237255682,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,8,q_rad_s,0.21509548670866474,0.007151813989325808,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,8,r_rad_s,0.14498133617685324,0.001215139162593971,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,8,roll_deg,1.3302390245221678,0.02941870233122421,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,8,velocity_m_s,0.1829346436243978,0.00424930705497224,0.15959800000000002,0.15744399999999997,0.16789549999999995
ALL_original,ALL,9,attitude_deg,2.0404176806504384,0.03455706230887311,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,9,body_rate_rad_s,0.563329122211324,0.001909275738350926,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,9,p_rad_s,0.49645612595837546,0.0027014695579195202,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,9,position_m,0.06329336716187293,0.000446311324212739,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,9,q_rad_s,0.22115062808865174,0.007218680987271683,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,9,r_rad_s,0.14392968401868209,0.0011198280654272012,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,9,roll_deg,1.4171142236007885,0.03591685754293187,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,9,velocity_m_s,0.18986594396536072,0.003870496822342802,0.179566,0.17715104999999998,0.18784569999999998
ALL_original,ALL,10,attitude_deg,2.196485009819066,0.03851340851663964,0.199567,0.19703705,0.20708195
ALL_original,ALL,10,body_rate_rad_s,0.5662829067172569,0.002845070392982461,0.199567,0.19703705,0.20708195
ALL_original,ALL,10,p_rad_s,0.4994811318038901,0.0009135545351173382,0.199567,0.19703705,0.20708195
ALL_original,ALL,10,position_m,0.07037587473612035,0.0004976476671810874,0.199567,0.19703705,0.20708195
ALL_original,ALL,10,q_rad_s,0.22084057214700303,0.00732570900139725,0.199567,0.19703705,0.20708195
ALL_original,ALL,10,r_rad_s,0.1444989766728577,0.0011656327126167293,0.199567,0.19703705,0.20708195
ALL_original,ALL,10,roll_deg,1.508996124972091,0.04368273769397709,0.199567,0.19703705,0.20708195
ALL_original,ALL,10,velocity_m_s,0.19543232868331303,0.0037720954832714806,0.199567,0.19703705,0.20708195
ALL_original,ALL,11,attitude_deg,2.3247114774185547,0.03785261309069842,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,11,body_rate_rad_s,0.5603306224299734,0.0026986192699319468,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,11,p_rad_s,0.4938902575947619,0.0013512657466378279,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,11,position_m,0.07769272634476214,0.0005563144589153588,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,11,q_rad_s,0.21982780433410232,0.008671737232786582,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,11,r_rad_s,0.14372105824404124,0.0013560928600831912,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,11,roll_deg,1.5910180642006466,0.048664110880951045,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,11,velocity_m_s,0.20083932848613326,0.003204762372987878,0.21950599999999998,0.21668815,0.226945
ALL_original,ALL,12,attitude_deg,2.4466423906744397,0.03248081681344553,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,12,body_rate_rad_s,0.5703817559224378,0.004423614575207487,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,12,p_rad_s,0.5004435853921939,0.004648613650425325,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,12,position_m,0.08528638769805684,0.0006194761375832849,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,12,q_rad_s,0.231356636217154,0.007280001343615372,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,12,r_rad_s,0.13948127637466512,0.001619686299722062,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,12,roll_deg,1.6719315471873415,0.04589197945896994,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,12,velocity_m_s,0.21050957299665216,0.0024547194439172486,0.23947000000000002,0.23632904999999998,0.24926059999999997
ALL_original,ALL,13,attitude_deg,2.560222281699339,0.025228586765562958,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,13,body_rate_rad_s,0.5598843394132496,0.002630513020695365,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,13,p_rad_s,0.488305667453191,0.0029669872342083605,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,13,position_m,0.09265732526040904,0.0006586483301509816,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,13,q_rad_s,0.23337199071340528,0.006028165444211911,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,13,r_rad_s,0.13707645189431422,0.0016627812835544817,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,13,roll_deg,1.745105793916305,0.044427883330869444,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,13,velocity_m_s,0.2216422242451284,0.0015831033172874803,0.259434,0.25610404999999997,0.26642879999999997
ALL_original,ALL,14,attitude_deg,2.6871168389110096,0.02071716743759683,0.279411,0.27588205,0.28594395
ALL_original,ALL,14,body_rate_rad_s,0.5813651390059676,0.003122997728694525,0.279411,0.27588205,0.28594395
ALL_original,ALL,14,p_rad_s,0.5165914271647846,0.0037520174407713832,0.279411,0.27588205,0.28594395
