horizon_s,state,ratio_median,ratio_p10,ratio_p90,below_half_count,count
0.2,velocity,0.34630552628622435,0.2155495350874485,0.515140601357883,636,722
0.2,body_rate,0.5846433449023389,0.33602780313575975,0.879084719533168,241,722
0.2,frequency,0.21510843753843,0.07306377513270916,0.3751011633907733,716,722
0.5,velocity,0.512169579547628,0.30395326299924014,0.7230081446706046,337,722
0.5,body_rate,0.45000797302325257,0.26550276360575653,0.7000603941387308,429,722
0.5,frequency,0.2607063556301433,0.1193831566133831,0.5109609814477459,639,722
1.0,velocity,0.6353808611043481,0.36992323438954766,0.9296944552242085,197,722
1.0,body_rate,0.3479584039898443,0.21656806803505796,0.5687005715454023,595,722
1.0,frequency,0.36913221726432077,0.1611002222484713,0.6485449803961466,514,722
2.0,velocity,0.6582912871762683,0.3792929791878888,1.0303644412690136,173,722
2.0,body_rate,0.2873819302822669,0.197401321998709,0.4500115368105247,690,722
2.0,frequency,0.5342964738828057,0.21154102536213748,0.8195490397860848,323,722
3.0,velocity,0.636294315070161,0.3403386488404475,1.0558486232589723,215,722
3.0,body_rate,0.2725549946215239,0.18883522830874575,0.40333002293625225,709,722
3.0,frequency,0.6197569979231737,0.253439425701414,0.8491833167966885,246,722
5.0,velocity,0.6074543785016704,0.2899768108460965,1.1175911061508206,251,722
5.0,body_rate,0.2458189283263572,0.17183355810212225,0.3605859975320693,720,722
5.0,frequency,0.6757280338726894,0.29145743932345075,0.8461556771812501,175,722
