window_id,split,log_id,segment_id,start_sample_in_segment,end_sample_in_segment,start_sample_in_log,end_sample_in_log,start_timestamp_us,end_timestamp_us,observed_horizon_s,horizon_s,state_sample_count,control_step_count
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:0,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0,100,338,438,706491653,708482977,1.9913239999999999,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:890,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,890,990,1228,1328,724285249,726286392,2.001143,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:90,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,90,190,2317,2417,746061005,748062100,2.001095,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:990,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,990,1090,3217,3317,764060883,766061948,2.001065,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:1880,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,1880,1980,4107,4207,781863346,783864381,2.001035,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:2770,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,2770,2870,4997,5097,799665577,801666590,2.001013,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:3670,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,3,3670,3770,5897,5997,817664767,819665762,2.000995,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:230,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,230,330,6987,7087,839468610,841459727,1.9911169999999998,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:1120,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,1120,1220,7877,7977,857270319,859261420,1.991101,2.0,101,100
train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:2020,train,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,5,2020,2120,8777,8877,875259164,877269962,2.010798,2.0,101,100
train:2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg:0:0,train,2026.8.10-8.20/log_15_2026-8-19-06-52-42.ulg,0,0,100,1158,1258,70948801,72954914,2.006113,2.0,101,100
