experiment,partition,window_id,log_id,step,actual_duration_s,dt_s,epsilon,epsilon_control,epsilon_max_matrix_difference,singular_epsilon_difference,radius_epsilon_difference,largest_singular,spectral_radius,dynamic_largest_singular,dynamic_spectral_radius
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:0,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.009857999999999999,0.001,0.002,0.0003405991,2.2404214264692968e-05,9.781045120482723e-05,1.0782110270685492,1.00190130350717,1.0782084757122674,1.00190130350717
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:0:890,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019715999999999997,0.001,0.002,0.0019073486,8.707939910035378e-06,0.0,1.161899799316911,1.0004042387008667,1.1618943165096036,0.9981348749971991
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:90,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.029573,0.001,0.002,0.0019073486,0.00010756552477686476,0.0006336736397395404,1.2488448424169751,0.9997705650611272,1.2488346652589264,0.9997705650611268
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:990,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.029571999999999998,0.001,0.002,0.007629335,3.9102523748502094e-05,0.00667572021484375,1.2480563046928164,1.0070799589157104,1.2480507501092477,0.992600075655922
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:1880,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019715,0.001,0.002,0.0019073486,0.00015221100177309488,7.535634416444559e-05,1.1630089691082868,1.0008702122105064,1.1629959353228008,1.0008702122105055
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:2770,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,1.4342097236719198e-05,0.0009536147117614746,1.1659928695753243,0.9994506239891052,1.1659907278577542,0.9993774327457607
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:3:3670,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,3.888942764929126e-06,0.0005563686320698702,1.1596001031503298,0.9998478700687968,1.1595972054023373,0.9998478700687967
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:230,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.019714,0.001,0.002,0.0019073486,1.109981885050182e-05,9.124273578065001e-05,1.1595178951459362,1.000994813954841,1.1595134934857307,1.0009948139548435
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:1120,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.009856,0.001,0.002,0.0076293936,9.101654305876394e-05,0.005847744318727921,1.0790304484489355,1.0070799589157104,1.0790293365890433,1.0013101273225107
S0,train,train:2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg:5:2020,2026.8.10-8.20/log_14_2026-8-19-06-27-52.ulg,0,0.0,0.02957,0.001,0.002,0.0009536147,2.151700677321955e-05,0.0004023313522338867,1.245251421957853,1.0000019073486328,1.2452306043511487,0.9983040610029347
