experiment,partition,signal,source,frequency_hz,power
A3_dynamic_delta,validation,velocity_n,pred,0.0,0.04953899108772375
A3_dynamic_delta,validation,velocity_n,pred,0.390625,0.5726031350909851
A3_dynamic_delta,validation,velocity_n,pred,0.78125,0.04289811215625335
A3_dynamic_delta,validation,velocity_n,pred,1.171875,0.0016128557548999991
A3_dynamic_delta,validation,velocity_n,pred,1.5625,0.00023535444895750606
A3_dynamic_delta,validation,velocity_n,pred,1.953125,7.105005984384325e-05
A3_dynamic_delta,validation,velocity_n,pred,2.34375,0.00015155923985725234
A3_dynamic_delta,validation,velocity_n,pred,2.734375,0.0006173191786577031
A3_dynamic_delta,validation,velocity_n,pred,3.125,0.0020739599045943263
A3_dynamic_delta,validation,velocity_n,pred,3.515625,0.004910128811809624
A3_dynamic_delta,validation,velocity_n,pred,3.90625,0.006319693057669722
A3_dynamic_delta,validation,velocity_n,pred,4.296875,0.004776304098073158
A3_dynamic_delta,validation,velocity_n,pred,4.6875,0.001288174726340531
A3_dynamic_delta,validation,velocity_n,pred,5.078125,7.812193725803329e-05
A3_dynamic_delta,validation,velocity_n,pred,5.46875,3.317323329037776e-06
A3_dynamic_delta,validation,velocity_n,pred,5.859375,9.765759158374935e-07
A3_dynamic_delta,validation,velocity_n,pred,6.25,6.579430960597892e-07
A3_dynamic_delta,validation,velocity_n,pred,6.640625,7.251295419241639e-07
A3_dynamic_delta,validation,velocity_n,pred,7.03125,1.0317165095207466e-06
A3_dynamic_delta,validation,velocity_n,pred,7.421875,1.5283797888115548e-06
A3_dynamic_delta,validation,velocity_n,pred,7.8125,1.9491740108713672e-06
A3_dynamic_delta,validation,velocity_n,pred,8.203125,2.6820432666970212e-06
A3_dynamic_delta,validation,velocity_n,pred,8.59375,2.615924846706133e-06
A3_dynamic_delta,validation,velocity_n,pred,8.984375,9.558766047634853e-07
A3_dynamic_delta,validation,velocity_n,pred,9.375,2.8009503639558166e-07
A3_dynamic_delta,validation,velocity_n,pred,9.765625,3.6639779055044095e-07
A3_dynamic_delta,validation,velocity_n,pred,10.15625,7.814735840776145e-07
A3_dynamic_delta,validation,velocity_n,pred,10.546875,9.069620938886152e-07
A3_dynamic_delta,validation,velocity_n,pred,10.9375,6.145241330818626e-07
A3_dynamic_delta,validation,velocity_n,pred,11.328125,3.5427194682086786e-07
A3_dynamic_delta,validation,velocity_n,pred,11.71875,2.1078293221069392e-07
A3_dynamic_delta,validation,velocity_n,pred,12.109375,1.7923019721939175e-07
A3_dynamic_delta,validation,velocity_n,pred,12.5,2.1129377451416913e-07
A3_dynamic_delta,validation,velocity_n,pred,12.890625,2.2575217447611951e-07
A3_dynamic_delta,validation,velocity_n,pred,13.28125,1.2504511881723324e-07
A3_dynamic_delta,validation,velocity_n,pred,13.671875,6.23354761895841e-08
A3_dynamic_delta,validation,velocity_n,pred,14.0625,3.535282859135483e-08
A3_dynamic_delta,validation,velocity_n,pred,14.453125,2.7082810628771824e-08
A3_dynamic_delta,validation,velocity_n,pred,14.84375,2.27985709892508e-08
A3_dynamic_delta,validation,velocity_n,pred,15.234375,1.9544537598006854e-08
A3_dynamic_delta,validation,velocity_n,pred,15.625,2.8452467121620368e-08
A3_dynamic_delta,validation,velocity_n,pred,16.015625,4.1953506172943714e-08
A3_dynamic_delta,validation,velocity_n,pred,16.40625,4.7982987532812284e-08
A3_dynamic_delta,validation,velocity_n,pred,16.796875,4.4966434754002485e-08
A3_dynamic_delta,validation,velocity_n,pred,17.1875,4.8666225008773206e-08
A3_dynamic_delta,validation,velocity_n,pred,17.578125,4.785789151091957e-08
A3_dynamic_delta,validation,velocity_n,pred,17.96875,6.304373383391676e-08
A3_dynamic_delta,validation,velocity_n,pred,18.359375,9.995211761208138e-08
A3_dynamic_delta,validation,velocity_n,pred,18.75,1.2962497714909926e-07
A3_dynamic_delta,validation,velocity_n,pred,19.140625,9.41171166932485e-08
A3_dynamic_delta,validation,velocity_n,pred,19.53125,3.765782020908787e-08
A3_dynamic_delta,validation,velocity_n,pred,19.921875,1.2415043425756822e-08
A3_dynamic_delta,validation,velocity_n,pred,20.3125,9.791246342357643e-09
A3_dynamic_delta,validation,velocity_n,pred,20.703125,1.1494139728306769e-08
A3_dynamic_delta,validation,velocity_n,pred,21.09375,1.2213031745361048e-08
A3_dynamic_delta,validation,velocity_n,pred,21.484375,9.809797494252024e-09
A3_dynamic_delta,validation,velocity_n,pred,21.875,6.677472917651151e-09
A3_dynamic_delta,validation,velocity_n,pred,22.265625,7.3668066740500764e-09
A3_dynamic_delta,validation,velocity_n,pred,22.65625,8.710862396744917e-09
A3_dynamic_delta,validation,velocity_n,pred,23.046875,9.041123498490696e-09
A3_dynamic_delta,validation,velocity_n,pred,23.4375,7.110887593003152e-09
A3_dynamic_delta,validation,velocity_n,pred,23.828125,1.2662464731425196e-08
A3_dynamic_delta,validation,velocity_n,pred,24.21875,2.6431949441404306e-08
A3_dynamic_delta,validation,velocity_n,pred,24.609375,3.2129738758008626e-08
A3_dynamic_delta,validation,velocity_n,pred,25.0,1.4162676115500083e-08
A3_dynamic_delta,validation,velocity_n,truth,0.0,0.15479131249045047
A3_dynamic_delta,validation,velocity_n,truth,0.390625,1.628440134557062
A3_dynamic_delta,validation,velocity_n,truth,0.78125,0.16266341266595305
A3_dynamic_delta,validation,velocity_n,truth,1.171875,0.012897726495131254
A3_dynamic_delta,validation,velocity_n,truth,1.5625,0.005262026078363976
A3_dynamic_delta,validation,velocity_n,truth,1.953125,0.002314967295307607
A3_dynamic_delta,validation,velocity_n,truth,2.34375,0.005205783144130253
A3_dynamic_delta,validation,velocity_n,truth,2.734375,0.02408147774745802
A3_dynamic_delta,validation,velocity_n,truth,3.125,0.07141354304227199
A3_dynamic_delta,validation,velocity_n,truth,3.515625,0.13763271504286492
A3_dynamic_delta,validation,velocity_n,truth,3.90625,0.14702831065945526
A3_dynamic_delta,validation,velocity_n,truth,4.296875,0.07243508071175003
A3_dynamic_delta,validation,velocity_n,truth,4.6875,0.012793301677616756
A3_dynamic_delta,validation,velocity_n,truth,5.078125,0.0010705036144379686
A3_dynamic_delta,validation,velocity_n,truth,5.46875,0.00016195918273411916
A3_dynamic_delta,validation,velocity_n,truth,5.859375,0.00018598510623359083
A3_dynamic_delta,validation,velocity_n,truth,6.25,0.00032777206698674633
A3_dynamic_delta,validation,velocity_n,truth,6.640625,0.0005423731536847528
A3_dynamic_delta,validation,velocity_n,truth,7.03125,0.0007573186751620825
A3_dynamic_delta,validation,velocity_n,truth,7.421875,0.0009631588779703674
A3_dynamic_delta,validation,velocity_n,truth,7.8125,0.0010582357449697023
A3_dynamic_delta,validation,velocity_n,truth,8.203125,0.0009686959270018851
A3_dynamic_delta,validation,velocity_n,truth,8.59375,0.0006044648165900822
A3_dynamic_delta,validation,velocity_n,truth,8.984375,0.00023302551605274203
A3_dynamic_delta,validation,velocity_n,truth,9.375,0.00010076762112187008
A3_dynamic_delta,validation,velocity_n,truth,9.765625,7.775546708638735e-05
A3_dynamic_delta,validation,velocity_n,truth,10.15625,7.415040990591132e-05
A3_dynamic_delta,validation,velocity_n,truth,10.546875,7.914786591048254e-05
A3_dynamic_delta,validation,velocity_n,truth,10.9375,8.532978541736007e-05
A3_dynamic_delta,validation,velocity_n,truth,11.328125,8.84763365318134e-05
A3_dynamic_delta,validation,velocity_n,truth,11.71875,7.982493338915094e-05
A3_dynamic_delta,validation,velocity_n,truth,12.109375,7.18045865467676e-05
A3_dynamic_delta,validation,velocity_n,truth,12.5,5.7138324574217086e-05
A3_dynamic_delta,validation,velocity_n,truth,12.890625,4.0719384455776575e-05
A3_dynamic_delta,validation,velocity_n,truth,13.28125,2.9150943649268457e-05
A3_dynamic_delta,validation,velocity_n,truth,13.671875,2.03805577109448e-05
A3_dynamic_delta,validation,velocity_n,truth,14.0625,1.8549555569035958e-05
A3_dynamic_delta,validation,velocity_n,truth,14.453125,1.8007160287582044e-05
A3_dynamic_delta,validation,velocity_n,truth,14.84375,1.6285678396960624e-05
A3_dynamic_delta,validation,velocity_n,truth,15.234375,1.5991727277631097e-05
A3_dynamic_delta,validation,velocity_n,truth,15.625,1.4436751656046836e-05
A3_dynamic_delta,validation,velocity_n,truth,16.015625,1.3088377770793301e-05
A3_dynamic_delta,validation,velocity_n,truth,16.40625,1.2512540914239669e-05
A3_dynamic_delta,validation,velocity_n,truth,16.796875,1.0863953982826463e-05
A3_dynamic_delta,validation,velocity_n,truth,17.1875,9.46874796556215e-06
A3_dynamic_delta,validation,velocity_n,truth,17.578125,8.696215674672433e-06
A3_dynamic_delta,validation,velocity_n,truth,17.96875,8.31153184693908e-06
A3_dynamic_delta,validation,velocity_n,truth,18.359375,8.021715841430311e-06
A3_dynamic_delta,validation,velocity_n,truth,18.75,7.655821489769662e-06
A3_dynamic_delta,validation,velocity_n,truth,19.140625,7.338863154406901e-06
A3_dynamic_delta,validation,velocity_n,truth,19.53125,7.669823832523256e-06
A3_dynamic_delta,validation,velocity_n,truth,19.921875,7.595092072619471e-06
A3_dynamic_delta,validation,velocity_n,truth,20.3125,7.96188798057419e-06
A3_dynamic_delta,validation,velocity_n,truth,20.703125,8.162505099579464e-06
A3_dynamic_delta,validation,velocity_n,truth,21.09375,7.337255879266885e-06
A3_dynamic_delta,validation,velocity_n,truth,21.484375,7.120400902571061e-06
A3_dynamic_delta,validation,velocity_n,truth,21.875,6.725338924036578e-06
A3_dynamic_delta,validation,velocity_n,truth,22.265625,6.043364445312843e-06
A3_dynamic_delta,validation,velocity_n,truth,22.65625,5.71853738451994e-06
A3_dynamic_delta,validation,velocity_n,truth,23.046875,5.932500481849254e-06
A3_dynamic_delta,validation,velocity_n,truth,23.4375,6.619261704613415e-06
A3_dynamic_delta,validation,velocity_n,truth,23.828125,6.9541758690206954e-06
A3_dynamic_delta,validation,velocity_n,truth,24.21875,7.32636565031881e-06
A3_dynamic_delta,validation,velocity_n,truth,24.609375,7.250450096654139e-06
A3_dynamic_delta,validation,velocity_n,truth,25.0,3.754945638693825e-06
A3_dynamic_delta,validation,angular_velocity_b,pred,0.0,0.0015137844364483486
A3_dynamic_delta,validation,angular_velocity_b,pred,0.390625,0.009145265748699784
A3_dynamic_delta,validation,angular_velocity_b,pred,0.78125,0.0012317710149133297
A3_dynamic_delta,validation,angular_velocity_b,pred,1.171875,0.00010540685664144724
