experiment,horizon_s,signal,median,p10,p90
A3_dynamic_delta,0.2,omega,0.7293027518502174,0.5021704767495737,0.9740794370482152
A3_dynamic_delta,0.2,velocity,0.5757401131425939,0.3717077960350575,0.7449944257436305
A3_dynamic_delta,0.2,frequency,0.28067338730792935,0.1411322279166639,0.4607480917959413
A3_dynamic_delta,0.5,omega,0.6155129586661728,0.4513757861145375,0.8064702818059207
A3_dynamic_delta,0.5,velocity,0.590651476277265,0.40875629719974893,0.749392033204431
A3_dynamic_delta,0.5,frequency,0.2862170957541015,0.17199373798107076,0.49007408512870465
A3_dynamic_delta,1.0,omega,0.4904670473783427,0.34800620051631626,0.6637434921327882
A3_dynamic_delta,1.0,velocity,0.6502258475274606,0.41421133619907685,0.9149914959587384
A3_dynamic_delta,1.0,frequency,0.3569348365278392,0.19320666271026413,0.6051224368083632
A3_dynamic_delta,2.0,omega,0.38142783630332167,0.26982984677527705,0.5387206719037835
A3_dynamic_delta,2.0,velocity,0.6421393729518798,0.38629123155238115,1.0043159666459227
A3_dynamic_delta,2.0,frequency,0.5037874761785439,0.21628573992705674,0.7729275749093878
A3_dynamic_delta,3.0,omega,0.3374593739913823,0.24209828486383708,0.4761312134327231
A3_dynamic_delta,3.0,velocity,0.6150465669210692,0.33603422904650215,1.0605740422509673
A3_dynamic_delta,3.0,frequency,0.5837163247635193,0.2398700371871891,0.8042094289148958
A3_dynamic_delta,5.0,omega,0.2909754428170579,0.2101597959721657,0.400390986789383
A3_dynamic_delta,5.0,velocity,0.6164284041778789,0.28899875146419285,1.2004078385259989
A3_dynamic_delta,5.0,frequency,0.6384680501453044,0.2852011990249618,0.8067353417180466
A3_dynamic_delta,5.0,omega_last1s,0.1069860340740807,0.07067580204288881,0.1683664206662867
