experiment,start_step,end_step,elapsed_s,signal,norm_median,variation_median,truth_variation_median,variation_ratio_median
A0_baseline_retrain,0,10,0.199593,angular_acceleration_b,8.032649040222168,7.486453056335449,28.42363754783537,0.27176183780734964
A0_baseline_retrain,0,10,0.199593,angular_velocity_b,0.4780423045158386,0.38607943058013916,0.6410667799995876,0.5939021597885676
A0_baseline_retrain,0,10,0.199593,gru_hidden,2.3335447311401367,1.0842839479446411,,
A0_baseline_retrain,10,20,0.39918999999999993,angular_acceleration_b,4.555606842041016,4.548618793487549,28.388951674900667,0.16509226516784492
A0_baseline_retrain,10,20,0.39918999999999993,angular_velocity_b,0.3353596031665802,0.2080003321170807,0.6412688158704121,0.3218513741701233
A0_baseline_retrain,10,20,0.39918999999999993,gru_hidden,2.1516549587249756,0.7725737690925598,,
A0_baseline_retrain,20,30,0.5987919999999999,angular_acceleration_b,3.058326244354248,2.9999866485595703,28.08404988307515,0.1070706422373255
A0_baseline_retrain,20,30,0.5987919999999999,angular_velocity_b,0.27933287620544434,0.13229484856128693,0.6327497852936758,0.2185142090048373
A0_baseline_retrain,20,30,0.5987919999999999,gru_hidden,2.09893798828125,0.709483802318573,,
A0_baseline_retrain,30,40,0.798395,angular_acceleration_b,2.0890331268310547,1.9844605922698975,28.423622029235652,0.07547367837386101
A0_baseline_retrain,30,40,0.798395,angular_velocity_b,0.2502215802669525,0.0930476039648056,0.6375359986779339,0.15136282617697744
A0_baseline_retrain,30,40,0.798395,gru_hidden,2.008643627166748,0.6624066829681396,,
A0_baseline_retrain,40,50,0.997981,angular_acceleration_b,1.5566966533660889,1.554614782333374,28.47340969569772,0.056169347367091484
A0_baseline_retrain,40,50,0.997981,angular_velocity_b,0.2195984423160553,0.07099635154008865,0.6408600990206579,0.11269251281320791
A0_baseline_retrain,40,50,0.997981,gru_hidden,1.9476239681243896,0.6471806764602661,,
A0_baseline_retrain,50,60,1.1975915,angular_acceleration_b,1.36869215965271,1.3410377502441406,28.404138131417934,0.04764064906742445
A0_baseline_retrain,50,60,1.1975915,angular_velocity_b,0.19361473619937897,0.05861002206802368,0.639985296224117,0.0936591177429845
A0_baseline_retrain,50,60,1.1975915,gru_hidden,1.8832027912139893,0.6416605114936829,,
A0_baseline_retrain,60,70,1.3972149999999999,angular_acceleration_b,1.2330026626586914,1.201585292816162,28.388951674900667,0.044459622098584055
A0_baseline_retrain,60,70,1.3972149999999999,angular_velocity_b,0.1741768717765808,0.05597595125436783,0.6412688158704121,0.08930469092296392
A0_baseline_retrain,60,70,1.3972149999999999,gru_hidden,1.8427468538284302,0.6347472667694092,,
A0_baseline_retrain,70,80,1.596826,angular_acceleration_b,1.1678149700164795,1.1239988803863525,27.993781432430026,0.04122293685629374
A0_baseline_retrain,70,80,1.596826,angular_velocity_b,0.16404440999031067,0.05128020793199539,0.6308368779423108,0.08174985215297699
A0_baseline_retrain,70,80,1.596826,gru_hidden,1.8209233283996582,0.6343844532966614,,
A0_baseline_retrain,80,90,1.7964095000000002,angular_acceleration_b,1.132615089416504,1.0763092041015625,28.41948163800849,0.039908653042171574
A0_baseline_retrain,80,90,1.7964095000000002,angular_velocity_b,0.15665413439273834,0.05019347369670868,0.6357668155932259,0.07944295120165415
A0_baseline_retrain,80,90,1.7964095000000002,gru_hidden,1.7957737445831299,0.6284716725349426,,
A0_baseline_retrain,90,100,1.996114,angular_acceleration_b,1.085557460784912,1.0494470596313477,28.43998135763167,0.03836867895822971
A0_baseline_retrain,90,100,1.996114,angular_velocity_b,0.1462554931640625,0.04874610900878906,0.6443639587793807,0.0773695935838409
A0_baseline_retrain,90,100,1.996114,gru_hidden,1.7889103889465332,0.6307910680770874,,
A0_baseline_retrain,100,110,2.198139500000001,angular_acceleration_b,1.0710586309432983,1.0389764308929443,28.42363754783537,0.03773751658994639
A0_baseline_retrain,100,110,2.198139500000001,angular_velocity_b,0.1412489414215088,0.04751138389110565,0.6420470850541519,0.07577400755262753
A0_baseline_retrain,100,110,2.198139500000001,gru_hidden,1.7701916694641113,0.6234698295593262,,
A0_baseline_retrain,110,120,2.3954715,angular_acceleration_b,1.0398995876312256,0.9939583539962769,28.334747378670706,0.0369204074876692
A0_baseline_retrain,110,120,2.3954715,angular_velocity_b,0.1373465657234192,0.04611431434750557,0.641465769171423,0.07389484890347887
A0_baseline_retrain,110,120,2.3954715,gru_hidden,1.749908685684204,0.6284278631210327,,
A0_baseline_retrain,120,130,2.60236,angular_acceleration_b,1.0241286754608154,0.9816542267799377,27.95483011227267,0.036959877405031365
A0_baseline_retrain,120,130,2.60236,angular_velocity_b,0.13133816421031952,0.044707369059324265,0.6303724730081302,0.073158565168195
A0_baseline_retrain,120,130,2.60236,gru_hidden,1.7470026016235352,0.6246471405029297,,
A0_baseline_retrain,130,140,2.799681,angular_acceleration_b,1.009047508239746,0.9588656425476074,28.351307576005283,0.03698080618084171
A0_baseline_retrain,130,140,2.799681,angular_velocity_b,0.12891891598701477,0.04478619247674942,0.6349170937442126,0.07222080150384971
A0_baseline_retrain,130,140,2.799681,gru_hidden,1.7314133644104004,0.6260285377502441,,
A0_baseline_retrain,140,150,3.0037700000000003,angular_acceleration_b,0.9938913583755493,0.9589391946792603,28.2879501373258,0.035097930345556444
A0_baseline_retrain,140,150,3.0037700000000003,angular_velocity_b,0.12332174181938171,0.04315142333507538,0.6466287162767559,0.06817125712835753
A0_baseline_retrain,140,150,3.0037700000000003,gru_hidden,1.737036943435669,0.6206992864608765,,
A0_baseline_retrain,150,160,3.2033965,angular_acceleration_b,0.9677438139915466,0.9423340559005737,28.25632621887349,0.0349927118968326
A0_baseline_retrain,150,160,3.2033965,angular_velocity_b,0.12351963669061661,0.042842648923397064,0.639985296224117,0.06886125367925912
A0_baseline_retrain,150,160,3.2033965,gru_hidden,1.7277806997299194,0.6225227117538452,,
A0_baseline_retrain,160,170,3.4029420000000004,angular_acceleration_b,0.9711912870407104,0.9344233274459839,28.334747378670706,0.03492134779922598
A0_baseline_retrain,160,170,3.4029420000000004,angular_velocity_b,0.12120901793241501,0.04196386784315109,0.641465769171423,0.06722415486598016
A0_baseline_retrain,160,170,3.4029420000000004,gru_hidden,1.7225675582885742,0.6216591000556946,,
A0_baseline_retrain,170,180,3.602533,angular_acceleration_b,0.9502547383308411,0.9046177268028259,27.88200789360553,0.033231603948090216
A0_baseline_retrain,170,180,3.602533,angular_velocity_b,0.12063702940940857,0.04238106310367584,0.6298384547660012,0.0679327647762287
A0_baseline_retrain,170,180,3.602533,gru_hidden,1.73065185546875,0.6215474009513855,,
A0_baseline_retrain,180,190,3.8021995000000004,angular_acceleration_b,0.9227473735809326,0.892792820930481,28.30164699283144,0.033219633839365145
A0_baseline_retrain,180,190,3.8021995000000004,angular_velocity_b,0.11736942827701569,0.04061656445264816,0.6326317269002845,0.06505756059791498
A0_baseline_retrain,180,190,3.8021995000000004,gru_hidden,1.7431720495224,0.6212718486785889,,
A0_baseline_retrain,190,200,4.001841499999999,angular_acceleration_b,0.9203495979309082,0.8883925676345825,28.2660357394924,0.032573481462768616
A0_baseline_retrain,190,200,4.001841499999999,angular_velocity_b,0.119563989341259,0.04123672842979431,0.644527061900104,0.06598701889801038
A0_baseline_retrain,190,200,4.001841499999999,gru_hidden,1.736950159072876,0.6176230311393738,,
A0_baseline_retrain,200,210,4.201353,angular_acceleration_b,0.9323806762695312,0.9001035690307617,28.34756727036188,0.03296677484931751
A0_baseline_retrain,200,210,4.201353,angular_velocity_b,0.120115265250206,0.039886362850666046,0.639985296224117,0.06340198192312625
A0_baseline_retrain,200,210,4.201353,gru_hidden,1.7517763376235962,0.6176732182502747,,
A0_baseline_retrain,210,220,4.400984500000001,angular_acceleration_b,0.9185671806335449,0.8872209191322327,28.280171408208687,0.032020720850870626
A0_baseline_retrain,210,220,4.400984500000001,angular_velocity_b,0.11717841029167175,0.04053456336259842,0.641465769171423,0.06441472239242038
A0_baseline_retrain,210,220,4.400984500000001,gru_hidden,1.7641534805297852,0.616957426071167,,
A0_baseline_retrain,220,230,4.600636500000001,angular_acceleration_b,0.9103403091430664,0.8749853372573853,27.897244955559454,0.03225741878582713
A0_baseline_retrain,220,230,4.600636500000001,angular_velocity_b,0.11786623299121857,0.04068699851632118,0.6293659837160122,0.06378578689687492
A0_baseline_retrain,220,230,4.600636500000001,gru_hidden,1.7711436748504639,0.6169757843017578,,
A0_baseline_retrain,230,240,4.800267,angular_acceleration_b,0.9044480323791504,0.8832040429115295,28.18889070975961,0.032089761895646295
