experiment,signal,lag_steps,median_correlation
A0_baseline_retrain,angular_velocity_b,1,0.9505182504653931
A0_baseline_retrain,angular_velocity_b,2,0.817171573638916
A0_baseline_retrain,angular_velocity_b,3,0.6344598531723022
A0_baseline_retrain,angular_velocity_b,5,0.26998621225357056
A0_baseline_retrain,angular_velocity_b,10,0.5295571088790894
A0_baseline_retrain,angular_velocity_b,25,0.6191733479499817
A0_baseline_retrain,angular_acceleration_b,1,0.902143120765686
A0_baseline_retrain,angular_acceleration_b,2,0.6257165670394897
A0_baseline_retrain,angular_acceleration_b,3,0.22362086176872253
A0_baseline_retrain,angular_acceleration_b,5,-0.5977067947387695
A0_baseline_retrain,angular_acceleration_b,10,-0.06560632586479187
A0_baseline_retrain,angular_acceleration_b,25,0.3267420530319214
A0_baseline_retrain,velocity_n,1,0.999457836151123
A0_baseline_retrain,velocity_n,2,0.9979482889175415
A0_baseline_retrain,velocity_n,3,0.9956415295600891
A0_baseline_retrain,velocity_n,5,0.9896657466888428
A0_baseline_retrain,velocity_n,10,0.9772751331329346
A0_baseline_retrain,velocity_n,25,0.8829216361045837
A0_baseline_retrain,acceleration_b,1,0.9265916347503662
A0_baseline_retrain,acceleration_b,2,0.7226644158363342
A0_baseline_retrain,acceleration_b,3,0.42731136083602905
A0_baseline_retrain,acceleration_b,5,-0.1958167850971222
A0_baseline_retrain,acceleration_b,10,0.1591016799211502
A0_baseline_retrain,acceleration_b,25,0.47852152585983276
A0_baseline_retrain,gru_hidden,1,0.9528423547744751
A0_baseline_retrain,gru_hidden,2,0.820909857749939
A0_baseline_retrain,gru_hidden,3,0.6315978765487671
A0_baseline_retrain,gru_hidden,5,0.23302620649337769
A0_baseline_retrain,gru_hidden,10,0.4774709641933441
A0_baseline_retrain,gru_hidden,25,0.5981984734535217
A1_longer_rollout,angular_velocity_b,1,0.9850088357925415
A1_longer_rollout,angular_velocity_b,2,0.9451441764831543
A1_longer_rollout,angular_velocity_b,3,0.8876345157623291
A1_longer_rollout,angular_velocity_b,5,0.772495687007904
A1_longer_rollout,angular_velocity_b,10,0.7338306307792664
A1_longer_rollout,angular_velocity_b,25,0.6468246579170227
A1_longer_rollout,angular_acceleration_b,1,0.9384942054748535
A1_longer_rollout,angular_acceleration_b,2,0.7630541324615479
A1_longer_rollout,angular_acceleration_b,3,0.4879070222377777
A1_longer_rollout,angular_acceleration_b,5,-0.182834193110466
A1_longer_rollout,angular_acceleration_b,10,-0.14734908938407898
A1_longer_rollout,angular_acceleration_b,25,0.20797306299209595
A1_longer_rollout,velocity_n,1,0.999738335609436
A1_longer_rollout,velocity_n,2,0.9989904165267944
A1_longer_rollout,velocity_n,3,0.9977806806564331
A1_longer_rollout,velocity_n,5,0.994184136390686
A1_longer_rollout,velocity_n,10,0.9809627532958984
A1_longer_rollout,velocity_n,25,0.8823935985565186
A1_longer_rollout,acceleration_b,1,0.9683799743652344
A1_longer_rollout,acceleration_b,2,0.8814957141876221
A1_longer_rollout,acceleration_b,3,0.7560006976127625
A1_longer_rollout,acceleration_b,5,0.4910513162612915
A1_longer_rollout,acceleration_b,10,0.6170816421508789
A1_longer_rollout,acceleration_b,25,0.68434739112854
A1_longer_rollout,gru_hidden,1,0.9621064066886902
A1_longer_rollout,gru_hidden,2,0.8570845127105713
A1_longer_rollout,gru_hidden,3,0.7039557695388794
A1_longer_rollout,gru_hidden,5,0.3737456202507019
A1_longer_rollout,gru_hidden,10,0.5502665042877197
A1_longer_rollout,gru_hidden,25,0.652755618095398
A2_multi_horizon,angular_velocity_b,1,0.9172136783599854
A2_multi_horizon,angular_velocity_b,2,0.6934491395950317
A2_multi_horizon,angular_velocity_b,3,0.3814547657966614
A2_multi_horizon,angular_velocity_b,5,-0.22674337029457092
A2_multi_horizon,angular_velocity_b,10,0.2932097613811493
A2_multi_horizon,angular_velocity_b,25,0.5698102116584778
A2_multi_horizon,angular_acceleration_b,1,0.8889406323432922
A2_multi_horizon,angular_acceleration_b,2,0.5865660905838013
A2_multi_horizon,angular_acceleration_b,3,0.15865789353847504
A2_multi_horizon,angular_acceleration_b,5,-0.681608259677887
A2_multi_horizon,angular_acceleration_b,10,0.001567237195558846
A2_multi_horizon,angular_acceleration_b,25,0.4835391640663147
A2_multi_horizon,velocity_n,1,0.998651385307312
A2_multi_horizon,velocity_n,2,0.994990348815918
A2_multi_horizon,velocity_n,3,0.9896982908248901
A2_multi_horizon,velocity_n,5,0.9777199029922485
A2_multi_horizon,velocity_n,10,0.9734899401664734
A2_multi_horizon,velocity_n,25,0.8877830505371094
A2_multi_horizon,acceleration_b,1,0.9042989611625671
A2_multi_horizon,acceleration_b,2,0.6365249156951904
A2_multi_horizon,acceleration_b,3,0.25685688853263855
A2_multi_horizon,acceleration_b,5,-0.5080206394195557
A2_multi_horizon,acceleration_b,10,0.10801993310451508
A2_multi_horizon,acceleration_b,25,0.5033049583435059
A2_multi_horizon,gru_hidden,1,0.9323133230209351
A2_multi_horizon,gru_hidden,2,0.7453851699829102
A2_multi_horizon,gru_hidden,3,0.481819212436676
A2_multi_horizon,gru_hidden,5,-0.05879625678062439
A2_multi_horizon,gru_hidden,10,0.34194809198379517
A2_multi_horizon,gru_hidden,25,0.5694667100906372
A3_dynamic_delta,angular_velocity_b,1,0.9255757331848145
A3_dynamic_delta,angular_velocity_b,2,0.7274535298347473
A3_dynamic_delta,angular_velocity_b,3,0.4507981836795807
A3_dynamic_delta,angular_velocity_b,5,-0.0928090438246727
A3_dynamic_delta,angular_velocity_b,10,0.35565513372421265
A3_dynamic_delta,angular_velocity_b,25,0.5504529476165771
A3_dynamic_delta,angular_acceleration_b,1,0.889578640460968
A3_dynamic_delta,angular_acceleration_b,2,0.5866380333900452
A3_dynamic_delta,angular_acceleration_b,3,0.16495156288146973
A3_dynamic_delta,angular_acceleration_b,5,-0.6749633550643921
A3_dynamic_delta,angular_acceleration_b,10,-0.013859481550753117
A3_dynamic_delta,angular_acceleration_b,25,0.4295605421066284
A3_dynamic_delta,velocity_n,1,0.9991220235824585
A3_dynamic_delta,velocity_n,2,0.9967621564865112
A3_dynamic_delta,velocity_n,3,0.9933059811592102
A3_dynamic_delta,velocity_n,5,0.9854319095611572
A3_dynamic_delta,velocity_n,10,0.9778942465782166
A3_dynamic_delta,velocity_n,25,0.8927620649337769
A3_dynamic_delta,acceleration_b,1,0.9110172986984253
A3_dynamic_delta,acceleration_b,2,0.6644266843795776
A3_dynamic_delta,acceleration_b,3,0.31082141399383545
A3_dynamic_delta,acceleration_b,5,-0.42653143405914307
A3_dynamic_delta,acceleration_b,10,0.1229785606265068
A3_dynamic_delta,acceleration_b,25,0.4691321849822998
A3_dynamic_delta,gru_hidden,1,0.9380069971084595
A3_dynamic_delta,gru_hidden,2,0.7653184533119202
A3_dynamic_delta,gru_hidden,3,0.519653856754303
A3_dynamic_delta,gru_hidden,5,0.02292593941092491
A3_dynamic_delta,gru_hidden,10,0.36055049300193787
A3_dynamic_delta,gru_hidden,25,0.5459129214286804
