candidate,reference,horizon_s,metric,change_pct,ci95_lower,ci95_upper,improved_flights,n_flights
A1_longer_rollout,A0_baseline_retrain,0.2,position_m,13.329375786122078,12.062946198953872,14.46806299525425,0,5
A1_longer_rollout,A0_baseline_retrain,0.2,velocity_m_s,16.947146415760518,16.344393358846542,17.6146463112695,0,5
A1_longer_rollout,A0_baseline_retrain,0.2,attitude_deg,19.943758147699864,18.104501340446767,22.438472915833163,0,5
A1_longer_rollout,A0_baseline_retrain,0.2,body_rate_rad_s,5.639366408892954,4.520138640591176,6.9963498586129935,0,5
A1_longer_rollout,A0_baseline_retrain,0.2,frequency_hz,8.10360217782864,7.520537852214848,8.806950627599752,0,5
A1_longer_rollout,A0_baseline_retrain,0.2,phase_rad,6.99866804342979,6.147655378184136,8.110761063753081,0,5
A1_longer_rollout,A0_baseline_retrain,0.5,position_m,11.494909435434186,9.632394303516278,13.26184078955328,0,5
A1_longer_rollout,A0_baseline_retrain,0.5,velocity_m_s,6.041148024214649,4.944572329784114,7.788691359571209,0,5
A1_longer_rollout,A0_baseline_retrain,0.5,attitude_deg,3.6499726021586465,2.0660004204133386,5.7994676617458385,0,5
A1_longer_rollout,A0_baseline_retrain,0.5,body_rate_rad_s,3.547209327411638,1.3061526384469113,6.053545742426292,1,5
A1_longer_rollout,A0_baseline_retrain,0.5,frequency_hz,5.890081633294719,3.920708623611069,7.256877500939796,0,5
A1_longer_rollout,A0_baseline_retrain,0.5,phase_rad,11.414287591281402,11.128265325454034,11.704741874181135,0,5
A1_longer_rollout,A0_baseline_retrain,1.0,position_m,5.070182718230387,1.9672211144379892,7.576394970221134,0,5
A1_longer_rollout,A0_baseline_retrain,1.0,velocity_m_s,3.506966536854672,1.295316240197164,5.496388906300664,1,5
A1_longer_rollout,A0_baseline_retrain,1.0,attitude_deg,0.42488618107963116,-0.8824778223392005,1.852670051549321,2,5
A1_longer_rollout,A0_baseline_retrain,1.0,body_rate_rad_s,0.7447234413529458,-0.31704173812593384,1.9617581426464525,3,5
A1_longer_rollout,A0_baseline_retrain,1.0,frequency_hz,4.749498708364852,3.0781556665636645,6.26650584409818,0,5
A1_longer_rollout,A0_baseline_retrain,1.0,phase_rad,10.595585817111264,9.07000045751467,12.377047154472166,0,5
A1_longer_rollout,A0_baseline_retrain,2.0,position_m,6.0139722232514625,4.047413536262923,8.029705426453958,0,5
A1_longer_rollout,A0_baseline_retrain,2.0,velocity_m_s,7.988875355160219,5.626090047185972,10.81540068267608,0,5
A1_longer_rollout,A0_baseline_retrain,2.0,attitude_deg,5.413384581761371,2.551285366292677,8.23407020908611,0,5
A1_longer_rollout,A0_baseline_retrain,2.0,body_rate_rad_s,0.5281148979850103,-0.5944050848634141,1.5876482471853803,2,5
A1_longer_rollout,A0_baseline_retrain,2.0,frequency_hz,2.941826515765844,1.6199951612247743,3.876125670611974,0,5
A1_longer_rollout,A0_baseline_retrain,2.0,phase_rad,6.453185543811446,3.8915221379934417,8.862679770435488,0,5
A1_longer_rollout,A0_baseline_retrain,3.0,position_m,7.851398290166078,5.515018669499794,10.80111407753581,0,5
A1_longer_rollout,A0_baseline_retrain,3.0,velocity_m_s,8.094753001545785,3.733282539213101,12.901680081564493,0,5
A1_longer_rollout,A0_baseline_retrain,3.0,attitude_deg,7.361926185583623,3.4587704867093283,11.365997834238971,0,5
A1_longer_rollout,A0_baseline_retrain,3.0,body_rate_rad_s,0.13544093583157668,-0.7663541485973369,1.0988121892239189,2,5
A1_longer_rollout,A0_baseline_retrain,3.0,frequency_hz,2.518036405221702,1.3590735076609795,3.6422867283138594,0,5
A1_longer_rollout,A0_baseline_retrain,3.0,phase_rad,-1.2131275412920028,-2.7137089802653835,0.7741430053182397,4,5
A1_longer_rollout,A0_baseline_retrain,5.0,position_m,8.941241600801831,4.9382517821273675,13.140676301027465,0,5
A1_longer_rollout,A0_baseline_retrain,5.0,velocity_m_s,8.161979687669518,4.7347632828420805,11.317881967254362,0,5
A1_longer_rollout,A0_baseline_retrain,5.0,attitude_deg,6.492424003125397,3.427117067440366,9.562181830846338,0,5
A1_longer_rollout,A0_baseline_retrain,5.0,body_rate_rad_s,0.3137583445949499,-0.1859783074711352,0.8370307502481467,2,5
A1_longer_rollout,A0_baseline_retrain,5.0,frequency_hz,3.016786914985925,1.9286397970909919,3.8647760134870257,0,5
A1_longer_rollout,A0_baseline_retrain,5.0,phase_rad,-2.6450550020548524,-8.236504871883621,2.3198649349630562,4,5
A2_multi_horizon,A1_longer_rollout,0.2,position_m,-40.492934405846995,-43.51571777500145,-37.21508351964976,5,5
