name,steps,prefix_weights,delta_weight
A0_baseline_retrain,50,[],0.0
A1_longer_rollout,100,[],0.0
A2_multi_horizon,100,"[(10, 0.40026808460712626), (25, 0.3195496420498283), (50, 0.20841277832705898), (100, 0.07176949501598646)]",0.0
A3_dynamic_delta,100,"[(10, 0.40026808460712626), (25, 0.3195496420498283), (50, 0.20841277832705898), (100, 0.07176949501598646)]",0.5819227674796867
