experiment,steps,base_epochs,actuator_epochs,wall_time_s,base_windows_per_s,actuator_windows_per_s,peak_gpu_bytes,base_final_loss,actuator_final_loss,checkpoint_sha256,base_optimizer_steps,actuator_optimizer_steps,legacy_checkpoint_max_parameter_difference,device,concurrent_jobs
A0_baseline_retrain,50,40,25,1013.7547335624696,306.86880933987754,227.5275853811407,144401920,0.610094124296575,0.5670920796002831,cfbff6f384fffe7f04a2735861bc729f7c276022ff09271827d3170c960904ff,680,425,0.0,cuda:1,4
A1_longer_rollout,100,40,25,2003.107353925705,148.12168939343283,121.96217259047177,200081920,1.831249289338375,1.6499152046048815,c48af41028b039b93c36721446c6921e8e49479318c22272e238c7ae5daf37a1,680,425,,cuda:0,4
A2_multi_horizon,100,40,25,2177.4741904735565,135.6764529054952,112.81133951548672,200081920,0.439243443059197,0.4116652099425384,bb61a0a361986f21f9d352c411dae61a791bff95ca9d971c7d883d013b73e497,680,425,,cuda:1,4
A3_dynamic_delta,100,40,25,2039.9810330867767,150.44538689377242,114.76407924970314,200081920,0.6316805930289262,0.5972205757189544,2d143ac04c6e0bab894e2f795e13172a2652ef822eef5781395ec6ed43ccd4be,680,425,,cuda:0,4
