experiment,horizon_s,target,pearson_abs_phase,frequency_integral_error_rms,measured_phase_frequency_residual_rms,integration_reconstruction_max_error
A0_baseline_retrain,0.2,body_rate_error,0.04648571020636352,0.15622270332424962,0.10149706027087828,1.035596399967531e-06
A0_baseline_retrain,0.2,angular_acceleration_rmse,-0.175052157254923,0.15622270332424962,0.10149706027087828,1.035596399967531e-06
A0_baseline_retrain,0.2,linear_acceleration_rmse,-0.2393508193629259,0.15622270332424962,0.10149706027087828,1.035596399967531e-06
A0_baseline_retrain,0.5,body_rate_error,-0.018723564088355356,0.26986829564618287,0.11364495878549202,1.994580150321834e-06
A0_baseline_retrain,0.5,angular_acceleration_rmse,-0.06836273657119207,0.26986829564618287,0.11364495878549202,1.994580150321834e-06
A0_baseline_retrain,0.5,linear_acceleration_rmse,-0.10721035789328548,0.26986829564618287,0.11364495878549202,1.994580150321834e-06
A0_baseline_retrain,1.0,body_rate_error,0.08024822237991569,0.5052524317818512,0.14255208913203798,2.649982760338787e-06
A0_baseline_retrain,1.0,angular_acceleration_rmse,-0.00992741950387006,0.5052524317818512,0.14255208913203798,2.649982760338787e-06
A0_baseline_retrain,1.0,linear_acceleration_rmse,-0.04543438136013802,0.5052524317818512,0.14255208913203798,2.649982760338787e-06
A0_baseline_retrain,2.0,body_rate_error,0.0732281725131667,0.8451877840457002,0.1542589253679007,4.118871980374195e-06
A0_baseline_retrain,2.0,angular_acceleration_rmse,0.1379291689723614,0.8451877840457002,0.1542589253679007,4.118871980374195e-06
A0_baseline_retrain,2.0,linear_acceleration_rmse,0.03501973525205765,0.8451877840457002,0.1542589253679007,4.118871980374195e-06
A0_baseline_retrain,3.0,body_rate_error,0.06157410005160601,1.1538057956910197,0.1493749815677553,5.582961783989759e-06
A0_baseline_retrain,3.0,angular_acceleration_rmse,0.22803683736527958,1.1538057956910197,0.1493749815677553,5.582961783989759e-06
A0_baseline_retrain,3.0,linear_acceleration_rmse,0.12146496327410045,1.1538057956910197,0.1493749815677553,5.582961783989759e-06
