experiment,horizon_s,signal,median,p10,p90
A0_baseline_retrain,0.2,omega,0.5846433703486571,0.3360278226732821,0.8790848133689448
A0_baseline_retrain,0.2,velocity,0.3463055782674026,0.2155495583892213,0.5151406917506584
A0_baseline_retrain,0.2,frequency,0.21510843753843,0.0730637751327091,0.3751011633907733
A0_baseline_retrain,0.5,omega,0.450007953251283,0.2655027666377111,0.700060439481001
A0_baseline_retrain,0.5,velocity,0.5121695527944405,0.3039532165736259,0.7230079053415464
A0_baseline_retrain,0.5,frequency,0.2607061506615528,0.1193831566133831,0.5109610009653179
A0_baseline_retrain,1.0,omega,0.3479583930325793,0.2165680638050476,0.5687005214256429
A0_baseline_retrain,1.0,velocity,0.6353807232575621,0.3699233831303972,0.9296947629107656
A0_baseline_retrain,1.0,frequency,0.3691321525471936,0.1611002548858588,0.6485449870491117
A0_baseline_retrain,2.0,omega,0.2873819211911566,0.1974013028675087,0.4500115253441964
A0_baseline_retrain,2.0,velocity,0.6582913188805011,0.3792927408516099,1.030364132807423
A0_baseline_retrain,2.0,frequency,0.5342963265986886,0.2115409845447784,0.8195490082978383
A0_baseline_retrain,3.0,omega,0.2725549946215239,0.1888352132950635,0.4033299490650214
A0_baseline_retrain,3.0,velocity,0.636294310913606,0.3403385471879743,1.0558492298895628
A0_baseline_retrain,3.0,frequency,0.6197571230679835,0.2534394200192368,0.8491831953051774
A0_baseline_retrain,5.0,omega,0.2458189002250995,0.1718335403426226,0.3605859804538436
A0_baseline_retrain,5.0,velocity,0.6074545365069863,0.2899766801496917,1.1175909964069228
A0_baseline_retrain,5.0,frequency,0.675728031679239,0.2914573652067005,0.8461558556207949
A0_baseline_retrain,5.0,omega_last1s,0.0741098181869122,0.0541803462716397,0.113558161333847
A1_longer_rollout,0.2,omega,0.4015936820573998,0.1960320761705799,0.6266191358050872
A1_longer_rollout,0.2,velocity,0.2677332541242311,0.1335791782393675,0.4308123068329522
A1_longer_rollout,0.2,frequency,0.170670934469452,0.0401979739569704,0.3186197139929799
A1_longer_rollout,0.5,omega,0.3094327336994586,0.1669910639540888,0.4769207181332236
A1_longer_rollout,0.5,velocity,0.475156453811783,0.2342520844349812,0.6899316795873629
A1_longer_rollout,0.5,frequency,0.2453290358196866,0.0822889428495426,0.4761725781659389
