experiment,partition,signal,source,frequency_hz,power
frozen_MainV2,train,velocity_n,pred,0.0,0.06441902356728509
frozen_MainV2,train,velocity_n,pred,0.390625,1.1069143088674063
frozen_MainV2,train,velocity_n,pred,0.78125,0.07308454576391671
frozen_MainV2,train,velocity_n,pred,1.171875,0.003240581381116578
frozen_MainV2,train,velocity_n,pred,1.5625,0.0004883451531437246
frozen_MainV2,train,velocity_n,pred,1.953125,0.00013218094306736785
frozen_MainV2,train,velocity_n,pred,2.34375,0.00017823570464378698
frozen_MainV2,train,velocity_n,pred,2.734375,0.0004531756802640325
frozen_MainV2,train,velocity_n,pred,3.125,0.0010812759893592246
frozen_MainV2,train,velocity_n,pred,3.515625,0.0021306476115546297
frozen_MainV2,train,velocity_n,pred,3.90625,0.0023056526875427034
frozen_MainV2,train,velocity_n,pred,4.296875,0.0014189276780892121
frozen_MainV2,train,velocity_n,pred,4.6875,0.00036457281344990424
frozen_MainV2,train,velocity_n,pred,5.078125,7.61293237612439e-05
frozen_MainV2,train,velocity_n,pred,5.46875,1.4860259657140048e-05
frozen_MainV2,train,velocity_n,pred,5.859375,6.069641822320357e-07
frozen_MainV2,train,velocity_n,pred,6.25,1.8938651592504126e-07
frozen_MainV2,train,velocity_n,pred,6.640625,1.420150199979428e-07
frozen_MainV2,train,velocity_n,pred,7.03125,1.3119467067929972e-07
frozen_MainV2,train,velocity_n,pred,7.421875,1.3529466280096496e-07
frozen_MainV2,train,velocity_n,pred,7.8125,1.5458117407775069e-07
frozen_MainV2,train,velocity_n,pred,8.203125,2.07225018149501e-07
frozen_MainV2,train,velocity_n,pred,8.59375,1.7671927822748196e-07
frozen_MainV2,train,velocity_n,pred,8.984375,1.1619773703003218e-07
frozen_MainV2,train,velocity_n,pred,9.375,7.786885679310832e-08
frozen_MainV2,train,velocity_n,pred,9.765625,8.459482759012782e-08
frozen_MainV2,train,velocity_n,pred,10.15625,1.2415997969954892e-07
frozen_MainV2,train,velocity_n,pred,10.546875,1.4204001596807723e-07
frozen_MainV2,train,velocity_n,pred,10.9375,1.1368918328540219e-07
frozen_MainV2,train,velocity_n,pred,11.328125,6.982461908119727e-08
frozen_MainV2,train,velocity_n,pred,11.71875,4.047425545355293e-08
frozen_MainV2,train,velocity_n,pred,12.109375,2.3546543976889953e-08
frozen_MainV2,train,velocity_n,pred,12.5,1.4580397736008998e-08
frozen_MainV2,train,velocity_n,pred,12.890625,1.3947091887647937e-08
frozen_MainV2,train,velocity_n,pred,13.28125,1.6008344966264866e-08
frozen_MainV2,train,velocity_n,pred,13.671875,1.2084204044388601e-08
frozen_MainV2,train,velocity_n,pred,14.0625,7.54206620914282e-09
frozen_MainV2,train,velocity_n,pred,14.453125,8.430687149022206e-09
frozen_MainV2,train,velocity_n,pred,14.84375,8.64840535776316e-09
