lag_steps,delta_squared_mean,count
1,0.6311354189101515,1755
2,1.1606776735379845,1754
3,1.2271616484997645,1753
5,1.4899353172122751,1751
1,0.4622194820646445,4041
2,0.9202179420517921,4040
3,1.1430484796047795,4039
5,1.480163635719867,4037
1,0.3156922495446859,433
2,0.6409834507793867,432
3,0.8363341825742189,431
5,1.0407846394537357,429
1,0.2859523267849746,2096
2,0.6007665568342362,2095
3,0.7820069011075227,2094
5,0.9502964360380495,2092
1,0.5923430669911648,1671
2,1.1496355098659727,1670
3,1.3769811186565113,1669
5,1.9643483575486256,1667
1,0.4931082862999765,3974
2,0.9588602247414563,3973
3,1.1594099174995975,3972
5,1.4926583939339637,3970
1,0.5100115851833511,896
2,0.9639026703140974,895
3,1.1024182729692198,894
5,1.4229071626960421,892
1,0.34772179653183305,1940
2,0.6979063342341648,1939
3,0.9188079104810707,1938
5,1.203761893707611,1936
1,0.5644618023972187,1550
2,1.071702979795018,1549
3,1.3022352947566231,1548
5,1.7369984390594957,1546
1,0.4484962882081873,3975
2,0.8370376529225498,3974
3,1.009760124498486,3973
5,1.2417589713825106,3971
1,0.4096055849710461,921
2,0.7781063199653556,920
3,0.9477801483341143,919
5,1.155067397433547,917
1,0.38386814337055675,1941
2,0.7408731933469144,1940
3,0.8916241104132863,1939
5,1.0309718840400788,1937
1,1.007804764042528,1908
2,2.4448480133011863,1907
3,3.447158427971802,1906
5,3.694253178929629,1904
1,1.7797767757864482,3097
2,4.448520271469344,3096
3,6.415250720140773,3095
5,7.173436315786002,3093
1,0.9076176495028124,1625
2,2.361853509246835,1624
3,3.709946650339086,1623
5,4.880534479839583,1621
1,0.5793880454401037,674
2,1.252089756215747,673
3,1.62411495456021,672
5,1.6649474549808665,670
1,0.5484091835137154,3374
2,1.1623479554936804,3373
3,1.6211855510820612,3372
5,1.8177168894349427,3370
1,0.46526037399346193,1580
2,1.0609812103137606,1579
3,1.543395381021008,1578
5,1.8381485198046958,1576
1,1.0876815697320754,1119
2,2.3206114935562314,1118
3,2.702288286575612,1117
5,3.7472447339507973,1115
1,0.5936742850144363,3434
2,1.3508212761485732,3433
3,1.917248979927953,3432
5,2.50267138284727,3430
1,0.44416217879792996,1557
2,1.064361905797098,1556
3,1.626804473905503,1555
5,2.2114287070481025,1553
