signal,source,axis,mean,std,rms
velocity_n,next_pred,0,-0.10249993950128555,5.5019097328186035,5.502864837646484
velocity_n,next_pred,1,0.14237476885318756,5.125328063964844,5.127305030822754
velocity_n,next_pred,2,-0.049982357770204544,0.9043691754341125,0.9057492613792419
velocity_n,next_truth,0,-0.10580856926666657,5.504974740696168,5.5059914955467475
velocity_n,next_truth,1,0.14293361314096475,5.12745528708388,5.129447118238959
velocity_n,next_truth,2,-0.07622840386897634,0.9268690913897463,0.9299984312514004
velocity_n,derivative_pred,0,0.22102308218473032,1.26671318136158,1.2858512692740218
velocity_n,derivative_pred,1,-0.08620183252093856,1.3028673188056579,1.3057158980198607
velocity_n,derivative_pred,2,1.3319975042331487,2.1080280480105946,2.4935917072533536
velocity_n,derivative_truth,0,0.054476205336691536,3.2877336131966937,3.2881849048207847
velocity_n,derivative_truth,1,-0.060329486218985845,3.2574494323081185,3.2580080495529673
velocity_n,derivative_truth,2,0.0179775318093698,10.257711093898445,10.25772684748123
velocity_n,derivative_error,vector,,,10.774968989572775
angular_velocity_b,next_pred,0,-0.033412426710128784,0.6389570236206055,0.6398299932479858
angular_velocity_b,next_pred,1,0.05192890763282776,0.4610763192176819,0.4639914035797119
angular_velocity_b,next_pred,2,0.13228866457939148,0.28838276863098145,0.31727734208106995
angular_velocity_b,next_truth,0,-0.03728829666233997,0.7564057399285223,0.757324276954591
angular_velocity_b,next_truth,1,0.052843508845581366,0.5724915660786064,0.574925238320817
angular_velocity_b,next_truth,2,0.13172376793940505,0.30560562059602114,0.3327851354553467
angular_velocity_b,derivative_pred,0,0.20730958844254768,13.103953910039376,13.105593666137235
angular_velocity_b,derivative_pred,1,-0.040056969944501385,7.9899040850205285,7.990004496160741
angular_velocity_b,derivative_pred,2,0.030549638408666157,1.9138589888713546,1.9141027949644145
angular_velocity_b,derivative_truth,0,0.002473153898713792,32.40928855216622,32.40928864652945
angular_velocity_b,derivative_truth,1,0.004682286445927352,21.53460469829729,21.53460520733394
angular_velocity_b,derivative_truth,2,0.004503258004874042,6.718977938525412,6.718979447633686
angular_velocity_b,derivative_error,vector,,,33.808390390144076
