experiment,horizon_s,signal,median,p10,p90
S0,0.2,omega,0.5846433703486571,0.33602782267328213,0.8790848133689448
S0,0.2,velocity,0.3463055782674026,0.21554955838922132,0.5151406917506584
S0,0.2,frequency,0.21510843753843,0.07306377513270916,0.3751011633907733
S0,0.5,omega,0.45000795325128307,0.2655027666377111,0.700060439481001
S0,0.5,velocity,0.5121695527944405,0.3039532165736259,0.7230079053415464
S0,0.5,frequency,0.2607061506615528,0.1193831566133831,0.5109610009653179
S0,1.0,omega,0.34795839303257936,0.21656806380504762,0.5687005214256429
S0,1.0,velocity,0.6353807232575621,0.36992338313039724,0.9296947629107657
S0,1.0,frequency,0.36913215254719367,0.16110025488585883,0.6485449870491117
S0,2.0,omega,0.2873819211911566,0.1974013028675087,0.4500115253441964
S0,2.0,velocity,0.6582913188805011,0.3792927408516099,1.030364132807423
S0,2.0,frequency,0.5342963265986886,0.2115409845447784,0.8195490082978383
S0,3.0,omega,0.2725549946215239,0.18883521329506353,0.40332994906502145
S0,3.0,velocity,0.636294310913606,0.34033854718797435,1.0558492298895628
S0,3.0,frequency,0.6197571230679835,0.2534394200192368,0.8491831953051774
S0,5.0,omega,0.2458189002250995,0.17183354034262263,0.3605859804538436
S0,5.0,velocity,0.6074545365069863,0.28997668014969175,1.1175909964069228
S0,5.0,frequency,0.675728031679239,0.2914573652067005,0.8461558556207949
S0,5.0,omega_last1s,0.07410981818691223,0.05418034627163972,0.113558161333847
