mode,pattern,offset,cohort,axis,seed,mse,bias,bias_mse,amplitude_mse,shape_mse,pred_var,true_var,correlation,rmse,bias_rmse,amplitude_rmse,shape_rmse,endpoint_rmse
Mission,ALL,-1,ALL,p,17,0.22264229051982332,-0.01637438685202011,0.043551467836369616,0.07900299079071978,0.10008783189273394,0.059231285017226736,0.2076868469393072,0.2788820108897956,0.46970782764915137,0.2074658709111462,0.27660114658589835,0.31538639214744874,0.4724898026250069
Mission,ALL,-1,ALL,p,23,0.21882686749735444,0.003411465103611487,0.04409372041408386,0.07788518074776636,0.09684796633550423,0.06212331125178058,0.2076868469393072,0.3161742413282482,0.4650506852068006,0.208582530949875,0.27486621372614145,0.3097963105863529,0.46219117979594865
Mission,ALL,-1,ALL,p,42,0.2247377132567859,-0.02475538806470356,0.04444959819929786,0.07716864536711264,0.10311946969037539,0.06311921757565583,0.2076868469393072,0.28602153703974614,0.47166419281938676,0.20951933392612276,0.2730734860069205,0.31979676188514305,0.4735616414590796
Mission,ALL,-1,ALL,q,17,0.031406888276223226,-0.007671495069611543,0.014275084699026733,0.0058489977796561754,0.011282805797540318,0.13569798065248181,0.1692994872175896,0.9445327620631208,0.17664555386840675,0.11891841821748712,0.0760515665035581,0.10560629240859483,0.18744264992850582
Mission,ALL,-1,ALL,q,23,0.0336402971381747,0.011965692944848593,0.01627060466505025,0.0061009605572673676,0.011268731915857089,0.13223004293718413,0.1692994872175896,0.9445148845377117,0.18291558238503489,0.12711912772014977,0.07786661537351833,0.10541040654944793,0.1948196409088754
Mission,ALL,-1,ALL,q,42,0.0316693486414563,0.01166399930391116,0.015068030190730266,0.005569008425045856,0.011032310025680177,0.13685622184632149,0.1692994872175896,0.9450345426234076,0.17747953849282835,0.12240404748570148,0.07440400892524322,0.10444289571890146,0.18776824703813788
Mission,ALL,-1,ALL,r,17,0.012392133791079,0.0010815024173726027,0.00806304576304412,0.0017768199921049579,0.0025522680359299213,0.001908869059910435,0.005033517591944945,0.28143328266888984,0.11077799190725462,0.08944967358395907,0.041838088758953874,0.04992097737475959,0.1318177451457074
Mission,ALL,-1,ALL,r,23,0.013213167354999106,0.006800560747492083,0.008801565842160327,0.0018201238638023897,0.00259147764903639,0.0019074876478571417,0.005033517591944945,0.265791477952389,0.11459076243813193,0.0935794710984708,0.042396350139789575,0.050498135127483766,0.13756294532169538
Mission,ALL,-1,ALL,r,42,0.012169316852874241,0.002863399178119291,0.0078959914504262,0.0017530403816227145,0.0025202850208253286,0.001860855742862516,0.005033517591944945,0.2848454608722822,0.10975286269986649,0.08852923999906324,0.04153544634797066,0.04954993208768072,0.13097864359473713
Mission,ALL,-1,Sep17,p,17,0.2007102836492387,-0.034291732626410554,0.04333747447842856,0.05998364077590362,0.09738916839490655,0.055641715746451645,0.1728389556838832,0.22629488865994132,0.44656898427539515,0.20723661567623838,0.2439609643944875,0.3108210094807305,0.45551896261886504
Mission,ALL,-1,Sep17,p,23,0.19250962550220058,-0.020334024175004257,0.042487299432974315,0.05967338823606581,0.09034893783316048,0.057383482536656406,0.1728389556838832,0.2819670182642702,0.437215150603688,0.20506462322424351,0.2433577046405746,0.2991653691251321,0.4428932886326587
Mission,ALL,-1,Sep17,p,42,0.20190960794479673,-0.04077393014522854,0.044044502106656,0.05799202236515929,0.09987308347298145,0.059312059800155456,0.1728389556838832,0.23865225102268608,0.44767017014534854,0.2090195487790115,0.23981273769063494,0.31439595740717335,0.45687088727866887
Mission,ALL,-1,Sep17,q,17,0.031060016958747865,-0.007474890943222488,0.014588832109935237,0.006415248717616862,0.010055936131195764,0.13920692360501488,0.17776079361594202,0.952213450118419,0.17562299216283678,0.12020117500832132,0.07989164871481436,0.09992911816363723,0.18817683348255157
Mission,ALL,-1,Sep17,q,23,0.032974186817892534,0.02408110047126267,0.016669125118396817,0.006505276540144764,0.009799785159350953,0.13573328716159144,0.17776079361594202,0.9544900061085243,0.18104110679031926,0.12865379135767963,0.08048667985224217,0.09863503562804807,0.1947425624409583
Mission,ALL,-1,Sep17,q,42,0.030561005603649206,0.02050819209470665,0.01494746141415543,0.005823427469868102,0.009790116719625671,0.14230064001086634,0.17776079361594202,0.9542313976118593,0.17427359708940215,0.12181962885044495,0.07611969936584534,0.09859780574674046,0.18466095446640649
Mission,ALL,-1,Sep17,r,17,0.011581516465060709,-0.0070127771241134795,0.007715848983726998,0.0017472000572318395,0.0021184674241018706,0.0019586667899092695,0.005117788383466642,0.3363839374838778,0.10738681475953632,0.08769980143908619,0.04151198914593692,0.04585237756035842,0.12742385893710337
Mission,ALL,-1,Sep17,r,23,0.013005910912689262,0.0033124151980502593,0.008968075122279307,0.0017715550998707,0.0022662806905392545,0.0020559680565349152,0.005117788383466642,0.31849304107525156,0.1137286634198763,0.09448480439801049,0.04184209078680613,0.04742556507549296,0.1373227132153092
Mission,ALL,-1,Sep17,r,42,0.011334093160230903,-0.003602483160976718,0.007576111629610641,0.0017028780070570577,0.0020551035235632045,0.0019492578607820939,0.005117788383466642,0.3540035099787326,0.10612257673362327,0.08682929708509676,0.04095701793774638,0.045112417477836,0.12718647216986304
Mission,ALL,-1,Sep7,p,17,0.26650630426099253,0.019460304696760772,0.043979454552251725,0.11704169082035208,0.10548515888838872,0.06641042355877691,0.27738262945015524,0.38405625534950405,0.5159855143966641,0.20792438138096192,0.34188151096872005,0.3245171574808851,0.5064314826372908
Mission,ALL,-1,Sep7,p,23,0.2714613514876621,0.050902443660842976,0.04730656237630296,0.11430876577116748,0.1098460233401917,0.07160296868202894,0.27738262945015524,0.3845886874562041,0.5207217544130258,0.21561834640113797,0.33788323189727515,0.3310581935087945,0.5007869621225286
Mission,ALL,-1,Sep7,p,42,0.2703939238807642,0.007281696096346386,0.0452597903845816,0.11552189137101933,0.10961224212516328,0.0707335331266566,0.27738262945015524,0.38076010907386626,0.5196522381674632,0.21051890422034525,0.3395949826394916,0.33059837084108246,0.5069431498199011
Mission,ALL,-1,Sep7,q,17,0.03210063091117395,-0.008064703322389651,0.013647589877209721,0.004716495903734804,0.013736545130229424,0.12868009474741568,0.15237687442088482,0.929171385952524,0.17869067727954668,0.11635290463581871,0.06837140208104557,0.11696064089851005,0.1859742828204144
Mission,ALL,-1,Sep7,q,23,0.03497251777873904,-0.012265122107979556,0.015473563758357109,0.005292328591512575,0.014206625428869357,0.12522355448836953,0.15237687442088482,0.9245646413960866,0.18666453357446608,0.12404980044509006,0.07262648641607064,0.11896114839224763,0.19497379784470958
Mission,ALL,-1,Sep7,q,42,0.03388603471707048,-0.0060243862776798215,0.015309167743879932,0.005060170335401362,0.013516696637789188,0.1259673855172318,0.15237687442088482,0.926640832646504,0.18389142129968072,0.12357288475621453,0.07097262804403896,0.11613307566322346,0.19398283218160073
