seed,mode,pattern,offset,flight_id,cohort,axis,n_origins,mse,bias,bias_mse,amplitude_mse,shape_mse,pred_var,true_var,correlation,undefined_correlations,endpoint_mse,rmse,bias_rmse,amplitude_rmse,shape_rmse,endpoint_rmse
17,Stabilized,ALL,-1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,p,168,0.275339057680965,0.042166496584128466,0.05333617845918215,0.09822199312697912,0.12378088609480378,0.045348696426067814,0.2200784461084742,0.160301845565276,0,0.26679668072818813,0.5247276033152487,0.2309462674718562,0.3134038817994747,0.3518250788315179,0.5165236497278591
17,Stabilized,ALL,-1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,q,168,0.04065784419819053,0.0013493099474929532,0.019993278685107314,0.00629560995353678,0.01436895555954644,0.13703280331590423,0.16058400963198388,0.9258987521123189,0,0.047871905643205794,0.20163790367436013,0.14139759080375916,0.079344879819285,0.1198705783732874,0.21879649367210113
17,Stabilized,ALL,-1,2026.9.7/log_21_2026-9-7-05-54-56.ulg,Sep7,r,168,0.018828084058552536,0.036208235382047524,0.012204182441735024,0.0021507537995623513,0.004473147817255158,0.0020287856466930675,0.005352390344002992,0.046045511720977046,0,0.027187568588096022,0.1372154658139983,0.11047254157361922,0.046376220194862275,0.06688159550470636,0.16488653246428595
17,Stabilized,ALL,-1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,p,182,0.27169372130290287,0.011440793980083581,0.053115456599379995,0.1034875685359923,0.11509069616753057,0.057092229101046596,0.2494340648580939,0.31354336415484446,0,0.2577325923063585,0.5212424784137445,0.23046790795982852,0.32169483759611733,0.3392501970044094,0.5076737065343826
17,Stabilized,ALL,-1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,q,182,0.038966803122847574,0.00807668269844121,0.01876628031464019,0.005906371324818092,0.014294151483389295,0.12274315460365985,0.14698808557351078,0.9265725585884261,0,0.04326512607255652,0.19740010922704063,0.13699007378142472,0.07685292007996894,0.11955815105374161,0.2080027068875704
17,Stabilized,ALL,-1,2026.9.7/log_22_2026-9-7-06-01-40.ulg,Sep7,r,182,0.014650548147532107,0.019127380870239668,0.009455115693438071,0.0017895567624664787,0.0034058756916275587,0.0016699301230816122,0.004461031711551721,0.11454376923065926,0,0.021969031980985224,0.12103944872450513,0.09723741920391589,0.042303153103125525,0.058359880839730635,0.14821953980830335
17,Stabilized,ALL,-1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,p,71,0.29217376309657717,-0.030048768598229757,0.06475529486571212,0.10569484280570526,0.12172362542515985,0.07457011142209809,0.2833274953664602,0.3515892781105107,0,0.32695499919083304,0.5405310010504274,0.25447061690048245,0.3251074327137189,0.3488891305632204,0.5717997894288114
17,Stabilized,ALL,-1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,q,71,0.04859406882069543,-0.014164437662202696,0.02514868581006518,0.007421009088908169,0.016024373921722092,0.11685697968283804,0.13687579402212596,0.9084096175365416,0,0.0573786212406034,0.2204406242521905,0.1585833717956116,0.08614527897051683,0.12658741612704674,0.2395383502502332
17,Stabilized,ALL,-1,2026.9.7/log_23_2026-9-7-06-09-22.ulg,Sep7,r,71,0.014571781066311764,0.004511921055041236,0.009572869402507749,0.002094007149503629,0.0029049045143003894,0.001814588707241235,0.005250099082163879,0.2619432085935187,0,0.020375448627268478,0.12071363247915193,0.0978410415035927,0.04576032287368205,0.053897166106395514,0.14274259570033213
17,Stabilized,ALL,-1,2026.9.7/log_24_2026-9-7-06-16-04.ulg,Sep7,p,80,0.2951344336204216,0.025992084846855834,0.0626439784298273,0.12206998640617561,0.11042046878441866,0.05903643087198799,0.27404098542061384,0.2628097059493939,0,0.2743666751508065,0.5432627666428297,0.2502877912120911,0.34938515481653715,0.332295754990067,0.5238002244661666
