split,flight_id,firmware,valid_rows,stabilized_rows,fresh_chain_rows,stabilized_duration_s,fresh_duration_s,yaw_neutral_rows,roll_active_rows,roll_setpoint_formula_rmse_deg,rudder_rms_yaw_neutral
train,9.13数据/log_1_2026-9-13-06-11-06.ulg,3f42d7052c958c7f65e2f26a763d909bb84fa7f6,7329,0,0,0.0,0.0,0,0,,
train,9.13数据/log_2_2026-9-13-06-20-06.ulg,3f42d7052c958c7f65e2f26a763d909bb84fa7f6,7306,0,0,0.0,0.0,0,0,,
train,9.13数据/log_3_2026-9-13-06-31-26.ulg,3f42d7052c958c7f65e2f26a763d909bb84fa7f6,7519,0,0,0.0,0.0,0,0,,
train,9.13数据/log_4_2026-9-13-06-36-26.ulg,3f42d7052c958c7f65e2f26a763d909bb84fa7f6,7239,0,0,0.0,0.0,0,0,,
train,9.13数据/log_5_2026-9-13-06-42-40.ulg,3f42d7052c958c7f65e2f26a763d909bb84fa7f6,7660,0,0,0.0,0.0,0,0,,
train,9.13数据/log_7_2026-9-13-18-12-52.ulg,74be66f2be14340838aed6732a379d124124b5f2,4847,0,0,0.0,0.0,0,0,,
train,9.14数据/log_11_2026-9-14-18-13-22.ulg,4cd4d0ac56bc193bcab2abd3ba9eb4f6e1c9a7da,7770,0,0,0.0,0.0,0,0,,
train,9.14数据/log_12_2026-9-14-18-20-30.ulg,4cd4d0ac56bc193bcab2abd3ba9eb4f6e1c9a7da,7895,0,0,0.0,0.0,0,0,,
train,9.14数据/log_13_2026-9-14-18-28-32.ulg,4cd4d0ac56bc193bcab2abd3ba9eb4f6e1c9a7da,9065,0,0,0.0,0.0,0,0,,
train,9.14数据/log_14_2026-9-14-18-34-22.ulg,4cd4d0ac56bc193bcab2abd3ba9eb4f6e1c9a7da,6148,0,0,0.0,0.0,0,0,,
train,9.15数据/log_10_2026-9-15-17-44-04.ulg,d0dd2354fdeadfbe505211a17b54d728309fedff,6155,0,0,0.0,0.0,0,0,,
train,9.15数据/log_11_2026-9-15-17-51-56.ulg,d0dd2354fdeadfbe505211a17b54d728309fedff,5583,0,0,0.0,0.0,0,0,,
train,9.15数据/log_12_2026-9-15-18-03-58.ulg,d0dd2354fdeadfbe505211a17b54d728309fedff,7253,0,0,0.0,0.0,0,0,,
train,9.15数据/log_13_2026-9-15-18-10-58.ulg,d0dd2354fdeadfbe505211a17b54d728309fedff,7117,0,0,0.0,0.0,0,0,,
train,9.15数据/log_14_2026-9-15-18-17-26.ulg,d0dd2354fdeadfbe505211a17b54d728309fedff,7063,0,0,0.0,0.0,0,0,,
train,9.15数据/log_15_2026-9-15-18-23-44.ulg,d0dd2354fdeadfbe505211a17b54d728309fedff,7241,0,0,0.0,0.0,0,0,,
train,9.16数据/log_1_2026-9-16-18-02-34.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,6184,0,0,0.0,0.0,0,0,,
train,9.16数据/log_2_2026-9-16-18-08-46.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,7122,0,0,0.0,0.0,0,0,,
train,9.16数据/log_3_2026-9-16-18-13-58.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,5429,0,0,0.0,0.0,0,0,,
train,9.16数据/log_4_2026-9-16-18-20-50.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,7101,0,0,0.0,0.0,0,0,,
train,9.16数据/log_5_2026-9-16-18-26-48.ulg,a644ca7868f07004e45658d4ae9a7a8c880c6bb5,6795,0,0,0.0,0.0,0,0,,
train,9.18数据/log_0_2026-9-18-18-15-06.ulg,e624a99f2955addbf76681e636c44162a0c03055,7635,0,0,0.0,0.0,0,0,,
train,9.18数据/log_1_2026-9-18-18-23-36.ulg,e624a99f2955addbf76681e636c44162a0c03055,7133,0,0,0.0,0.0,0,0,,
