model,seed,cohort,log_id,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s,delta_v_rmse_m_s,delta_omega_rmse_rad_s,velocity_x_rmse_m_s,velocity_y_rmse_m_s,velocity_z_rmse_m_s,body_rate_p_rmse_rad_s,body_rate_q_rmse_rad_s,body_rate_r_rmse_rad_s,n_windows,group
ensemble,0,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.1,0.01863134741980512,0.12962112237018752,1.3887538556134185,0.5510038871573156,0.12962112237018752,0.5510038871573156,0.055909284352699214,0.048618261070762135,0.10635813075703883,0.48324459649574353,0.22517886661613826,0.13919203155931478,130,ALL
ensemble,0,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.2,0.038421811738683656,0.18962973243280073,2.341638167444603,0.5301223367631902,0.18962973243280073,0.5301223367631902,0.08112385149560383,0.07133632326111751,0.15585084255351384,0.46730774832442284,0.2067836410230408,0.14104497898357585,130,ALL
ensemble,0,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,0.5,0.12615526602789062,0.3687671351571412,4.842701647376428,0.5915286105746419,0.3687671351571412,0.5915286105746419,0.16949323542543376,0.19512131244279032,0.26303786143372354,0.5166044996659194,0.23242938137664923,0.17030111780654766,130,ALL
ensemble,0,Sep17,9.17数据/log_10_2026-9-17-06-34-34.ulg,1.0,0.39352147737529286,0.7705093611480676,8.354782001866703,0.6860076591818812,0.7705093611480676,0.6860076591818812,0.42220978894454986,0.5152684495132056,0.387197617080037,0.5452459984093709,0.3642377674918178,0.20160396426496432,130,ALL
ensemble,0,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.1,0.020175081709281756,0.15131440795934198,1.5732577997351094,0.5375015461283144,0.15131440795934198,0.5375015461283144,0.05864711491893873,0.06655298604308994,0.1225857496470093,0.4877769442435327,0.17972040746585494,0.13668262470071738,145,ALL
ensemble,0,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.2,0.041439667067212305,0.22093285111634936,2.223145506915113,0.5548042545124786,0.22093285111634936,0.5548042545124786,0.08038225300579652,0.11018002377662722,0.17381133583484412,0.4810096007798918,0.2250862127594201,0.16054196214179414,145,ALL
ensemble,0,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,0.5,0.12188183080487645,0.35247004052247954,4.394157055517475,0.571745245252532,0.35247004052247954,0.571745245252532,0.1630996175613659,0.1976269318973629,0.2420273538385478,0.4878726114917617,0.2503126715821468,0.16191512242682843,145,ALL
ensemble,0,Sep17,9.17数据/log_11_2026-9-17-06-40-30.ulg,1.0,0.3505658265065768,0.6397162486867548,7.008100386279395,0.6346736557789342,0.6397162486867548,0.6346736557789342,0.36278006328596357,0.4060056495673132,0.33583763493019986,0.5157454368571153,0.313917803042822,0.1956346253443609,145,ALL
ensemble,0,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.1,0.0159322198769377,0.12707139653712218,1.34570196560921,0.4439941598723006,0.12707139653712218,0.4439941598723006,0.05970057120861449,0.045706563641813226,0.10243969765338322,0.3779138283921716,0.1946309300091402,0.12818250034407763,144,ALL
ensemble,0,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.2,0.03457618759094619,0.19109836327719498,2.0249942515912034,0.5066954306457756,0.19109836327719498,0.5066954306457756,0.0936493210807201,0.07835852522081194,0.14699772322577775,0.4339801917801133,0.21789201658510662,0.14465310811828277,144,ALL
ensemble,0,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,0.5,0.11420386046662152,0.3785029264289056,4.147221123148862,0.5633434404902095,0.3785029264289056,0.5633434404902095,0.22730127619572696,0.1736109950950553,0.24790687271058875,0.48971985421947295,0.22925416790057276,0.1580279178715593,144,ALL
ensemble,0,Sep17,9.17数据/log_12_2026-9-17-06-46-02.ulg,1.0,0.34719212828126267,0.6712274837855111,6.384386603323668,0.535737159150044,0.6712274837855111,0.535737159150044,0.42047642042671224,0.3945213487826444,0.34365508901933967,0.4324265100030299,0.27111375250291053,0.16284640107951326,144,ALL
ensemble,0,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.1,0.018173200002214163,0.16452142726245947,1.5558579229405523,0.5358896557010916,0.16452142726245947,0.5358896557010916,0.058848453125874764,0.061061349330642826,0.14098110231903307,0.47188202537505514,0.22489852207807234,0.11800733868056275,153,ALL
ensemble,0,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.2,0.03977903880803006,0.22560003971908824,2.557013454188319,0.5594713035396485,0.22560003971908824,0.5594713035396485,0.08751107074770814,0.07574518288657289,0.1936487998602714,0.4813447599907561,0.24646646408300094,0.14342121041260836,153,ALL
ensemble,0,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,0.5,0.1359407789955904,0.3846164083660492,4.952965471538087,0.5607880298527462,0.3846164083660492,0.5607880298527462,0.1945662168457924,0.18098972027950372,0.2780584291113337,0.47496548073743183,0.25530577666159376,0.1539804108878963,153,ALL
ensemble,0,Sep17,9.17数据/log_13_2026-9-17-06-52-30.ulg,1.0,0.38938335369609856,0.6921103314262883,7.718540851190099,0.6521398083873611,0.6921103314262883,0.6521398083873611,0.43437515072061134,0.37662033006498824,0.3853466832414574,0.5521457152594111,0.29696503499522797,0.179536087721829,153,ALL
ensemble,0,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.1,0.021608950835255304,0.13054233201213508,1.3493351163265663,0.5249547946956776,0.13054233201213508,0.5249547946956776,0.05393867827853202,0.05015999184232434,0.10777705994834656,0.42254969355693434,0.28234589614457317,0.13156780715372546,138,ALL
ensemble,0,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.2,0.04046091651218239,0.18842296283733798,2.5812325926585187,0.5152692751696701,0.18842296283733798,0.5152692751696701,0.06733848194728961,0.10985701423809403,0.1374779189401942,0.42943907945090287,0.23220057110640718,0.16482535530705442,138,ALL
ensemble,0,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,0.5,0.12304407028672244,0.33710565505583145,4.631641663811659,0.501542988499678,0.33710565505583145,0.501542988499678,0.14178164058599266,0.13977253181942006,0.2720327708423285,0.41662001806483534,0.23704660502801705,0.1475873873524964,138,ALL
ensemble,0,Sep17,9.17数据/log_6_2026-9-17-06-02-24.ulg,1.0,0.34421383327385274,0.5976714063110204,7.28100404369057,0.4839735875033553,0.5976714063110204,0.4839735875033553,0.3258692637598951,0.3795821776796648,0.3270133074453396,0.35924768043473365,0.27151546118452163,0.1773439929653325,138,ALL
