model,group,cohort,horizon_s,position_rmse_m,velocity_rmse_m_s,attitude_error_deg,body_rate_rmse_rad_s
baseline,ALL,ALL,0.1,0.03533975990047323,0.14492896236407948,1.4073877652708784,0.545328817446893
baseline,ALL,ALL,0.2,0.07037587473612036,0.19543232868331306,2.1964850098190665,0.5662829067172568
baseline,ALL,ALL,0.5,0.1923954762294216,0.3572876015314527,4.078397323464925,0.5965765681119546
baseline,ALL,ALL,1.0,0.474013589738189,0.6477484181435842,6.692491015924361,0.6210730627049943
baseline,ALL,Sep17,0.1,0.01878042327859422,0.1532833700603315,1.4698279819084552,0.52739142123691
baseline,ALL,Sep17,0.2,0.0403758876117629,0.2205278318103619,2.3761638357920534,0.5370344702811892
baseline,ALL,Sep17,0.5,0.12928485762202166,0.37361017372723937,4.56950906185081,0.5609187370666632
baseline,ALL,Sep17,1.0,0.36816914881962737,0.6881681494601165,7.565419632078857,0.6173651306076728
baseline,ALL,Sep7,0.1,0.050059170231032346,0.13750282218963328,1.3518853504819213,0.5612731696335447
baseline,ALL,Sep7,0.2,0.09704252995777145,0.17312521479260298,2.0367704978430776,0.5922815168826501
baseline,ALL,Sep7,0.5,0.24849380388044373,0.3427786484685312,3.641853556010805,0.6282724179299914
baseline,ALL,Sep7,1.0,0.568097537221355,0.6118197680844444,5.9165544682314755,0.6243690023470578
baseline,high_change,ALL,0.1,0.039222991711452604,0.20910301575290563,1.601493871522064,0.6205551139481141
baseline,high_change,ALL,0.2,0.08338965115903638,0.2796795709029425,2.749382054709997,0.5932157785122898
baseline,high_change,ALL,0.5,0.22687586931427842,0.5080968531719824,5.062935710283232,0.6687925217397871
baseline,high_change,ALL,1.0,0.548856031940546,0.8110474865808979,7.757304177573739,0.6609362764215074
baseline,high_change,Sep17,0.1,0.021211394032685182,0.20883248060192705,1.7948372345284724,0.6275765364589716
baseline,high_change,Sep17,0.2,0.048714471264363915,0.31156987990770435,3.1141731448863554,0.6086982476129712
baseline,high_change,Sep17,0.5,0.16795584145766387,0.506142872395544,5.771197760658232,0.6269487031941505
baseline,high_change,Sep17,1.0,0.467404851299219,0.8640209884646474,8.58517229514974,0.661371650527016
baseline,high_change,Sep7,0.1,0.05523330075924587,0.20934349144266434,1.4296331044052561,0.6143138494940187
baseline,high_change,Sep7,0.2,0.11421203328763412,0.2513326295653764,2.4251233078865675,0.5794535837561284
baseline,high_change,Sep7,0.5,0.2792492274090469,0.509833724973261,4.4333694432832305,0.7059870271136863
baseline,high_change,Sep7,1.0,0.6212570813995033,0.7639599293508984,7.0214214063950715,0.660549277216611
ensemble,ALL,ALL,0.1,0.03522799433787843,0.13849882453514578,1.3737558836199777,0.5393853075568352
ensemble,ALL,ALL,0.2,0.0699404776274854,0.18812523451200278,2.1374334460651423,0.5603706507913744
ensemble,ALL,ALL,0.5,0.19010405361878954,0.34588354578667224,3.965192476913224,0.5903064776578847
ensemble,ALL,ALL,1.0,0.4649208177230034,0.6227489484439912,6.4885226834123975,0.6100183868998524
ensemble,ALL,Sep17,0.1,0.018622466921881718,0.14692806698721922,1.4337616943738447,0.5203077096544708
ensemble,ALL,Sep17,0.2,0.039819832492329794,0.21331326692660796,2.309404303982975,0.5310234172868165
ensemble,ALL,Sep17,0.5,0.12639254659735844,0.3609288630077474,4.442802311467924,0.5531590243146729
ensemble,ALL,Sep17,1.0,0.35693077643401855,0.6613475129523458,7.358630720622687,0.6047167796711211
ensemble,ALL,Sep7,0.1,0.049988463152097734,0.1310061645777472,1.320417385172096,0.5563431723589369
ensemble,ALL,Sep7,0.2,0.0967143844142904,0.16573587236568707,1.9845704612492914,0.5864570805732036
ensemble,ALL,Sep7,0.5,0.2467365043045061,0.3325099304790499,3.5406504017534908,0.6233264361851841
ensemble,ALL,Sep7,1.0,0.5609119655354343,0.5884391133254538,5.715093317003251,0.6147309266587248
ensemble,high_change,ALL,0.1,0.03904624051157529,0.20133014377456418,1.5560624562375782,0.6124551037653059
ensemble,high_change,ALL,0.2,0.08275001508296403,0.27012321270368633,2.662522660540519,0.5849939183954685
ensemble,high_change,ALL,0.5,0.2234273637064374,0.4938427003362566,4.91121201054929,0.6601009733534136
ensemble,high_change,ALL,1.0,0.5375185593065877,0.7848738214575616,7.521047634189568,0.6482141641593565
ensemble,high_change,Sep17,0.1,0.020964454284864598,0.200739680302902,1.7450545010885397,0.6183412542397372
ensemble,high_change,Sep17,0.2,0.04790416528610016,0.3017861871716288,3.019853737451489,0.6008699633533154
ensemble,high_change,Sep17,0.5,0.16397040852417943,0.49302054325520706,5.621296038884511,0.6159556509511573
ensemble,high_change,Sep17,1.0,0.4557418315845121,0.8387383727728337,8.349993582640202,0.6470662230242115
ensemble,high_change,Sep7,0.1,0.05511893937976258,0.20185500019381947,1.388069527481168,0.6072229700102559
ensemble,high_change,Sep7,0.2,0.1137241037912875,0.24197834650995967,2.344895036619656,0.570881878432938
ensemble,high_change,Sep7,0.5,0.27627799053511115,0.49457350663052296,4.28002620758465,0.6993412599331968
ensemble,high_change,Sep7,1.0,0.6102089839484326,0.7369942202884308,6.784206791122337,0.6492345562794853
