group,cohort,horizon_s,metric,baseline,ensemble,relative_gain
ALL,ALL,0.1,position_rmse_m,0.03533975990047323,0.03522799433787843,0.0031626010733960953
ALL,ALL,0.1,velocity_rmse_m_s,0.14492896236407948,0.13849882453514578,0.044367514429451305
ALL,ALL,0.1,attitude_error_deg,1.4073877652708784,1.3737558836199777,0.023896670470506476
ALL,ALL,0.1,body_rate_rmse_rad_s,0.545328817446893,0.5393853075568352,0.010898947020412273
ALL,ALL,0.2,position_rmse_m,0.07037587473612036,0.0699404776274854,0.006186738143824434
ALL,ALL,0.2,velocity_rmse_m_s,0.19543232868331306,0.18812523451200278,0.037389382916022125
ALL,ALL,0.2,attitude_error_deg,2.1964850098190665,2.1374334460651423,0.02688457398522765
ALL,ALL,0.2,body_rate_rmse_rad_s,0.5662829067172568,0.5603706507913744,0.010440463336878317
ALL,ALL,0.5,position_rmse_m,0.1923954762294216,0.19010405361878954,0.011909960959267347
ALL,ALL,0.5,velocity_rmse_m_s,0.3572876015314527,0.34588354578667224,0.03191842005123864
ALL,ALL,0.5,attitude_error_deg,4.078397323464925,3.965192476913224,0.027757189300900247
ALL,ALL,0.5,body_rate_rmse_rad_s,0.5965765681119546,0.5903064776578847,0.010510118548426197
ALL,ALL,1.0,position_rmse_m,0.474013589738189,0.4649208177230034,0.019182513354116693
ALL,ALL,1.0,velocity_rmse_m_s,0.6477484181435842,0.6227489484439912,0.03859441258265094
ALL,ALL,1.0,attitude_error_deg,6.692491015924361,6.4885226834123975,0.030477191829863297
ALL,ALL,1.0,body_rate_rmse_rad_s,0.6210730627049943,0.6100183868998524,0.01779931616579023
ALL,Sep17,0.1,position_rmse_m,0.01878042327859422,0.018622466921881718,0.008410692047209685
ALL,Sep17,0.1,velocity_rmse_m_s,0.1532833700603315,0.14692806698721922,0.04146113874330177
ALL,Sep17,0.1,attitude_error_deg,1.4698279819084552,1.4337616943738447,0.02453776086626224
ALL,Sep17,0.1,body_rate_rmse_rad_s,0.52739142123691,0.5203077096544708,0.013431601837256781
ALL,Sep17,0.2,position_rmse_m,0.0403758876117629,0.039819832492329794,0.01377196025459291
ALL,Sep17,0.2,velocity_rmse_m_s,0.2205278318103619,0.21331326692660796,0.032714985788995316
ALL,Sep17,0.2,attitude_error_deg,2.3761638357920534,2.309404303982975,0.02809550873701653
ALL,Sep17,0.2,body_rate_rmse_rad_s,0.5370344702811892,0.5310234172868165,0.011193048727813324
ALL,Sep17,0.5,position_rmse_m,0.12928485762202166,0.12639254659735844,0.022371614726290765
ALL,Sep17,0.5,velocity_rmse_m_s,0.37361017372723937,0.3609288630077474,0.033942626864198244
ALL,Sep17,0.5,attitude_error_deg,4.56950906185081,4.442802311467924,0.027728744744312948
ALL,Sep17,0.5,body_rate_rmse_rad_s,0.5609187370666632,0.5531590243146729,0.013833933935902846
ALL,Sep17,1.0,position_rmse_m,0.36816914881962737,0.35693077643401855,0.03052502476549087
ALL,Sep17,1.0,velocity_rmse_m_s,0.6881681494601165,0.6613475129523458,0.03897395793282799
ALL,Sep17,1.0,attitude_error_deg,7.565419632078857,7.358630720622687,0.027333435752769763
ALL,Sep17,1.0,body_rate_rmse_rad_s,0.6173651306076728,0.6047167796711211,0.020487634155984678
ALL,Sep7,0.1,position_rmse_m,0.050059170231032346,0.049988463152097734,0.0014124700551025068
ALL,Sep7,0.1,velocity_rmse_m_s,0.13750282218963328,0.1310061645777472,0.04724744924090647
ALL,Sep7,0.1,attitude_error_deg,1.3518853504819213,1.320417385172096,0.02327709616692539
ALL,Sep7,0.1,body_rate_rmse_rad_s,0.5612731696335447,0.5563431723589369,0.008783596903138164
