group,cohort,horizon_s,metric,baseline,ensemble,relative_gain
ALL,Sep7,0.2,position_rmse_m,0.09704252995777145,0.0967143844142904,0.003381461134863734
ALL,Sep7,0.2,velocity_rmse_m_s,0.17312521479260298,0.16573587236568707,0.04268206936677622
ALL,Sep7,0.2,attitude_error_deg,2.0367704978430776,1.9845704612492914,0.02562882595219522
ALL,Sep7,0.2,body_rate_rmse_rad_s,0.5922815168826501,0.5864570805732036,0.009833898481421834
ALL,Sep7,0.5,position_rmse_m,0.24849380388044373,0.2467365043045061,0.007071804401139512
ALL,Sep7,0.5,velocity_rmse_m_s,0.3427786484685312,0.3325099304790499,0.029957285949285078
ALL,Sep7,0.5,attitude_error_deg,3.641853556010805,3.5406504017534908,0.027788913722321607
ALL,Sep7,0.5,body_rate_rmse_rad_s,0.6282724179299914,0.6233264361851841,0.00787235218936262
ALL,Sep7,1.0,position_rmse_m,0.568097537221355,0.5609119655354343,0.012648482373407835
ALL,Sep7,1.0,velocity_rmse_m_s,0.6118197680844444,0.5884391133254538,0.0382149384159217
ALL,Sep7,1.0,attitude_error_deg,5.9165544682314755,5.715093317003251,0.03405041774058808
ALL,Sep7,1.0,body_rate_rmse_rad_s,0.6243690023470578,0.6147309266587248,0.015436505739558994
high_change,ALL,0.1,position_rmse_m,0.039222991711452604,0.03904624051157529,0.004506316121360597
high_change,ALL,0.1,velocity_rmse_m_s,0.20910301575290563,0.20133014377456418,0.03717245277574836
high_change,ALL,0.1,attitude_error_deg,1.601493871522064,1.5560624562375782,0.028368148072466588
high_change,ALL,0.1,body_rate_rmse_rad_s,0.6205551139481141,0.6124551037653059,0.013052845751724024
high_change,ALL,0.2,position_rmse_m,0.08338965115903638,0.08275001508296403,0.007670449116671101
high_change,ALL,0.2,velocity_rmse_m_s,0.2796795709029425,0.27012321270368633,0.034168953307542466
high_change,ALL,0.2,attitude_error_deg,2.749382054709997,2.662522660540519,0.031592333273827336
high_change,ALL,0.2,body_rate_rmse_rad_s,0.5932157785122898,0.5849939183954685,0.013859813603476007
high_change,ALL,0.5,position_rmse_m,0.22687586931427842,0.2234273637064374,0.015199966476223157
high_change,ALL,0.5,velocity_rmse_m_s,0.5080968531719824,0.4938427003362566,0.0280540073152175
high_change,ALL,0.5,attitude_error_deg,5.062935710283232,4.91121201054929,0.029967534335025903
high_change,ALL,0.5,body_rate_rmse_rad_s,0.6687925217397871,0.6601009733534136,0.012995881538512827
high_change,ALL,1.0,position_rmse_m,0.548856031940546,0.5375185593065877,0.02065655103374442
high_change,ALL,1.0,velocity_rmse_m_s,0.8110474865808979,0.7848738214575616,0.03227143361688429
high_change,ALL,1.0,attitude_error_deg,7.757304177573739,7.521047634189568,0.030456011260611118
high_change,ALL,1.0,body_rate_rmse_rad_s,0.6609362764215074,0.6482141641593565,0.01924862156308316
high_change,Sep17,0.1,position_rmse_m,0.021211394032685182,0.020964454284864598,0.0116418443521472
high_change,Sep17,0.1,velocity_rmse_m_s,0.20883248060192705,0.200739680302902,0.03875259382878948
high_change,Sep17,0.1,attitude_error_deg,1.7948372345284724,1.7450545010885397,0.027736628415228618
high_change,Sep17,0.1,body_rate_rmse_rad_s,0.6275765364589716,0.6183412542397372,0.01471578633475279
high_change,Sep17,0.2,position_rmse_m,0.048714471264363915,0.04790416528610016,0.016633783703950716
high_change,Sep17,0.2,velocity_rmse_m_s,0.31156987990770435,0.3017861871716288,0.03140127902919803
high_change,Sep17,0.2,attitude_error_deg,3.1141731448863554,3.019853737451489,0.03028714302213543
high_change,Sep17,0.2,body_rate_rmse_rad_s,0.6086982476129712,0.6008699633533154,0.012860697875104153
high_change,Sep17,0.5,position_rmse_m,0.16795584145766387,0.16397040852417943,0.02372905222524836
high_change,Sep17,0.5,velocity_rmse_m_s,0.506142872395544,0.49302054325520706,0.02592613638562122
high_change,Sep17,0.5,attitude_error_deg,5.771197760658232,5.621296038884511,0.02597410936003422
high_change,Sep17,0.5,body_rate_rmse_rad_s,0.6269487031941505,0.6159556509511573,0.01753421322507929
high_change,Sep17,1.0,position_rmse_m,0.467404851299219,0.4557418315845121,0.02495271429530066
high_change,Sep17,1.0,velocity_rmse_m_s,0.8640209884646474,0.8387383727728337,0.02926157585215668
high_change,Sep17,1.0,attitude_error_deg,8.58517229514974,8.349993582640202,0.027393592629748748
high_change,Sep17,1.0,body_rate_rmse_rad_s,0.661371650527016,0.6470662230242115,0.0216299375569019
high_change,Sep7,0.1,position_rmse_m,0.05523330075924587,0.05511893937976258,0.002070515031896617
high_change,Sep7,0.1,velocity_rmse_m_s,0.20934349144266434,0.20185500019381947,0.03577131152843052
high_change,Sep7,0.1,attitude_error_deg,1.4296331044052561,1.388069527481168,0.029072897651862224
high_change,Sep7,0.1,body_rate_rmse_rad_s,0.6143138494940187,0.6072229700102559,0.011542763506964997
high_change,Sep7,0.2,position_rmse_m,0.11421203328763412,0.1137241037912875,0.004272137377309466
high_change,Sep7,0.2,velocity_rmse_m_s,0.2513326295653764,0.24197834650995967,0.037218737064076635
high_change,Sep7,0.2,attitude_error_deg,2.4251233078865675,2.344895036619656,0.03308214102186352
high_change,Sep7,0.2,body_rate_rmse_rad_s,0.5794535837561284,0.570881878432938,0.014792738475490959
high_change,Sep7,0.5,position_rmse_m,0.2792492274090469,0.27627799053511115,0.01064008986346612
high_change,Sep7,0.5,velocity_rmse_m_s,0.509833724973261,0.49457350663052296,0.029931755384637104
high_change,Sep7,0.5,attitude_error_deg,4.4333694432832305,4.28002620758465,0.03458841805545952
high_change,Sep7,0.5,body_rate_rmse_rad_s,0.7059870271136863,0.6993412599331968,0.009413440934827974
high_change,Sep7,1.0,position_rmse_m,0.6212570813995033,0.6102089839484326,0.017783455161883566
high_change,Sep7,1.0,velocity_rmse_m_s,0.7639599293508984,0.7369942202884308,0.03529728199930482
high_change,Sep7,1.0,attitude_error_deg,7.0214214063950715,6.784206791122337,0.03378441508391464
high_change,Sep7,1.0,body_rate_rmse_rad_s,0.660549277216611,0.6492345562794853,0.0171292609459859
