mode,horizon_s,n_rollouts,failure_pct,position_m_change_pct,velocity_m_s_change_pct,attitude_deg_change_pct,body_rate_rad_s_change_pct,frequency_hz_change_pct,phase_rad_change_pct
C,0.2,722,0.4155124653739612,7.601386020140399,4.867822063766258,93.43676204547253,26.78468770085769,1.9311297163521646,1.137598132230755
C,0.5,722,0.6925207756232686,11.728966908015659,11.24977961552287,142.38123359401493,30.2337703288146,2.290523867741312,-0.3383080660960158
C,1.0,722,1.5235457063711912,16.732884389280667,24.877093576497987,136.8793654197046,31.858505615951337,13.055965804277104,5.569215396010074
C,2.0,722,4.986149584487535,22.5552916851155,22.312394317499983,96.91428172511016,32.88516134623094,17.056882541945594,22.018974810178115
C,3.0,722,8.448753462603879,15.773443826793399,10.759436126485756,74.90937868062551,33.24384367023385,17.801278333724202,15.182175052476786
C,5.0,722,14.81994459833795,7.3400001215052635,8.899219052641127,47.94278084200694,36.99520470346238,21.513723009948272,5.603063962263999
C_native,0.2,722,0.554016620498615,15.637964590005105,38.2627007913521,90.25687634077579,25.101150841872833,2.8602297162129586,2.406030190481001
C_native,0.5,722,1.10803324099723,47.00499835267111,63.953676170769704,132.45953193987532,26.843926880033475,1.3346093835818973,3.3760346728247015
C_native,1.0,722,3.185595567867036,69.00733684094772,67.16812097370864,125.22938996845126,27.795928971365225,10.416944461311939,7.346425640656173
C_native,2.0,722,9.002770083102494,63.34339817955159,41.841550080824774,104.87521879062047,33.115850143219674,13.989059032653106,10.51994944518626
C_native,3.0,722,13.850415512465377,44.43696346274013,25.657044155568176,101.9428794068146,35.88740472774019,16.46309182031942,-1.172651435044414
C_native,5.0,722,20.221606648199447,30.590793099884305,32.21252848984908,89.50065420984328,35.97354183300061,18.433654291533298,-8.697832815767025
R13,0.2,722,0.554016620498615,1.7363859422164785,2.1120905597901363,3.272621025018041,2.096890496881998,0.08889417184849702,0.06150769479229545
R13,0.5,722,2.0775623268698062,4.029256054616348,-0.1285715787011199,2.4221276910949108,6.942319405435793,0.5010639982302889,1.543380102278924
R13,1.0,722,4.293628808864266,1.949267326591464,0.04811730082210364,5.0831213528179875,8.239916639363365,-0.10208526808095364,0.29316728774739786
R13,2.0,722,9.556786703601109,3.866213010006514,6.828246265135496,12.275688770683747,1.9882022409929423,-1.201020422363086,-2.321156072294439
R13,3.0,722,17.174515235457065,7.158112974829134,9.783311117118366,14.57331163293869,2.740833522631325,-1.316785576070778,-5.0515951702006845
R13,5.0,722,28.80886426592798,11.666292358180064,15.090730421788145,15.875676438390851,2.0317891297655377,-0.48298099695357477,-4.102780328716371
R26,0.2,722,0.2770083102493075,0.3662821224815094,0.2909574074517751,-0.530931858069672,0.38833414324424,0.09817214789109574,0.07754349401380978
R26,0.5,722,1.5235457063711912,0.5137881229785313,-0.1211334102448891,-0.5463222869226292,0.450390551864821,0.2489428112333103,0.324017218030348
R26,1.0,722,4.1551246537396125,0.7219910876840041,0.6896833356899945,0.41126173139214295,0.8647696212460421,0.011763017249943886,0.559766452425281
R26,2.0,722,13.157894736842104,2.4461254364488427,3.0339359777194597,3.0546509894674,1.1374156375842714,0.11598393673288854,0.4869961821222901
R26,3.0,722,22.299168975069254,3.4658777691765508,3.099705374826711,3.8554467540811155,0.8627865745360452,-0.14892608140811836,-0.27013566149669543
R26,5.0,722,35.87257617728532,3.7961547931414374,3.2332876728910165,4.283580263958076,1.2637366434660846,-0.05183321721559109,-0.7904933484847665
